restart_id,seed,final_loss,final_max_abs,pass_lt_1e_10,pass_lt_1e_20
0,730000,0.03302079240550762,0.05399451261053055,False,False
1,730001,1.0087200702189263,0.4955609894580044,False,False
2,730002,1.0095067891803395,0.22250577554447792,False,False
3,730003,0.02588794119249401,0.03256711580222851,False,False
4,730004,0.20087785384992995,0.056666759335731454,False,False
5,730005,1.0526952031530186,0.2718448835268643,False,False
6,730006,1.0120288555921655,0.19522687378910075,False,False
7,730007,1.0063162644131547,0.41711841336578215,False,False
8,730008,1.0423090037093008,0.4883428270990502,False,False
9,730009,1.0341426565211238,0.7739043485106365,False,False
10,730010,0.02211482269928191,0.026472122612501314,False,False
11,730011,0.04063483982929282,0.034294022577857075,False,False
12,730012,0.0015230691396819571,0.006390291680602583,False,False
13,730013,1.0444343731767811,0.4127993054919822,False,False
14,730014,0.05276064563215938,0.03880375818763904,False,False
15,730015,0.0251256849124519,0.02132843417587932,False,False
16,730016,1.0100105082727706,0.13716235966960225,False,False
17,730017,0.02264457617737562,0.02249639611152729,False,False
18,730018,0.018980021716407447,0.026183247801028476,False,False
19,730019,1.017886621077709,0.25393713808838037,False,False
20,730020,1.006956445199516,0.23252617465576286,False,False
21,730021,0.01609715095014466,0.021362567503001903,False,False
22,730022,0.10336497571137246,0.04501206048615896,False,False
23,730023,0.09338859128686333,0.054311198012527484,False,False
