basis_id,support_size,"delta[0,0,1,0]","delta[0,0,1,1]","delta[0,0,1,2]","delta[0,0,2,0]","delta[0,0,2,1]","delta[0,0,2,2]","delta[0,1,0,0]","delta[0,1,0,1]","delta[0,1,0,2]","delta[0,1,2,0]","delta[0,1,2,1]","delta[0,1,2,2]","delta[0,2,0,0]","delta[0,2,0,1]","delta[0,2,0,2]","delta[0,2,1,0]","delta[0,2,1,1]","delta[0,2,1,2]","delta[1,0,1,0]","delta[1,0,1,1]","delta[1,0,1,2]","delta[1,0,2,0]","delta[1,0,2,1]","delta[1,0,2,2]","delta[1,1,0,0]","delta[1,1,0,1]","delta[1,1,0,2]","delta[1,1,2,0]","delta[1,1,2,1]","delta[1,1,2,2]","delta[1,2,0,0]","delta[1,2,0,1]","delta[1,2,0,2]","delta[1,2,1,0]","delta[1,2,1,1]","delta[1,2,1,2]","delta[2,0,1,0]","delta[2,0,1,1]","delta[2,0,1,2]","delta[2,0,2,0]","delta[2,0,2,1]","delta[2,0,2,2]","delta[2,1,0,0]","delta[2,1,0,1]","delta[2,1,0,2]","delta[2,1,2,0]","delta[2,1,2,1]","delta[2,1,2,2]","delta[2,2,0,0]","delta[2,2,0,1]","delta[2,2,0,2]","delta[2,2,1,0]","delta[2,2,1,1]","delta[2,2,1,2]"
11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
