order_id,step_k,term_id_added,rank_H,rank_Delta,rank_Nuisance,rank_Sigma,rank_Augmented,quotient_gain,delta_in_eta,marginal_rank_H,marginal_rank_Delta,marginal_rank_Nuisance,marginal_quotient_gain
random_17,22,t18,14,10,14,9,22,8,True,0,0,0,1
random_17,23,t21,14,10,14,9,23,9,True,0,0,0,1
random_18,1,t17,1,1,1,1,1,0,True,1,1,1,0
random_18,2,t21,2,2,2,2,2,0,True,1,1,1,0
random_18,3,t15,3,3,3,2,3,0,True,1,1,1,0
random_18,4,t10,4,4,4,3,4,0,True,1,1,1,0
random_18,5,t20,5,4,5,4,5,0,True,1,0,1,0
random_18,6,t07,6,5,6,5,6,0,True,1,1,1,0
random_18,7,t04,7,6,7,6,7,0,True,1,1,1,0
random_18,8,t05,8,7,8,7,8,0,True,1,1,1,0
random_18,9,t13,9,8,9,8,9,0,True,1,1,1,0
random_18,10,t12,10,8,10,8,10,0,True,1,0,1,0
random_18,11,t22,11,8,11,8,11,0,True,1,0,1,0
random_18,12,t14,12,8,12,8,12,0,True,1,0,1,0
random_18,13,t08,12,8,12,8,13,1,True,0,0,0,1
random_18,14,t03,13,9,13,9,14,1,True,1,1,1,0
random_18,15,t11,13,9,13,9,15,2,True,0,0,0,1
random_18,16,t09,13,9,13,9,16,3,True,0,0,0,1
random_18,17,t23,13,9,13,9,17,4,True,0,0,0,1
random_18,18,t01,14,10,14,9,18,4,True,1,1,1,0
random_18,19,t19,14,10,14,9,19,5,True,0,0,0,1
random_18,20,t16,14,10,14,9,20,6,True,0,0,0,1
random_18,21,t02,14,10,14,9,21,7,True,0,0,0,1
random_18,22,t06,14,10,14,9,22,8,True,0,0,0,1
random_18,23,t18,14,10,14,9,23,9,True,0,0,0,1
random_19,1,t15,1,1,1,1,1,0,True,1,1,1,0
random_19,2,t21,2,2,2,1,2,0,True,1,1,1,0
random_19,3,t12,3,3,3,2,3,0,True,1,1,1,0
random_19,4,t13,4,4,4,3,4,0,True,1,1,1,0
random_19,5,t01,5,5,5,4,5,0,True,1,1,1,0
random_19,6,t16,6,5,6,5,6,0,True,1,0,1,0
random_19,7,t14,7,5,7,6,7,0,True,1,0,1,0
random_19,8,t22,8,5,8,6,8,0,True,1,0,1,0
random_19,9,t05,9,6,9,7,9,0,True,1,1,1,0
random_19,10,t09,10,6,10,8,10,0,True,1,0,1,0
random_19,11,t23,11,7,11,8,11,0,True,1,1,1,0
random_19,12,t04,12,8,12,9,12,0,True,1,1,1,0
random_19,13,t10,13,9,13,9,13,0,True,1,1,1,0
random_19,14,t20,13,9,13,9,14,1,True,0,0,0,1
random_19,15,t18,13,9,13,9,15,2,True,0,0,0,1
random_19,16,t03,14,10,14,9,16,2,True,1,1,1,0
random_19,17,t07,14,10,14,9,17,3,True,0,0,0,1
random_19,18,t06,14,10,14,9,18,4,True,0,0,0,1
random_19,19,t19,14,10,14,9,19,5,True,0,0,0,1
random_19,20,t02,14,10,14,9,20,6,True,0,0,0,1
random_19,21,t08,14,10,14,9,21,7,True,0,0,0,1
random_19,22,t11,14,10,14,9,22,8,True,0,0,0,1
random_19,23,t17,14,10,14,9,23,9,True,0,0,0,1
