schema,orbit_id,rep_config_id,rep_readable,signature_key,orbit_size,stabilizer_size
CX,0,0,"CX[C[0,0],X[0,0|0,0]]","(True, True, True, True)",27,8
CX,1,1,"CX[C[0,0],X[0,0|0,1]]","(True, False, True, False)",54,4
CX,2,3,"CX[C[0,0],X[0,0|1,0]]","(False, False, True, True)",54,4
CX,3,4,"CX[C[0,0],X[0,0|1,1]]","(False, False, True, False)",108,2
CX,4,27,"CX[C[0,0],X[1,0|0,0]]","(True, False, False, True)",54,4
CX,5,28,"CX[C[0,0],X[1,0|0,1]]","(True, False, False, False)",108,2
CX,6,30,"CX[C[0,0],X[1,0|1,0]]","(False, False, False, True)",108,2
CX,7,31,"CX[C[0,0],X[1,0|1,1]]","(False, False, False, False)",216,1
