left_cxc_orbit_id,total_cxxc_count,distinct_face_pattern_count,left_cx_orbit_ids,middle_xx_orbit_ids,right_xc_orbit_ids,outer_cc_orbit_ids,rep_cxxc_config_id,rep_cxxc_readable
16,8748,54,[3],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[0, 1, 2, 3, 4, 5, 6, 7]",[1],2918,"CXXC[C[0,0],X[0,0|1,1],X[0,0|0,0],C[0,2]]"
17,17496,81,[3],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[0, 1, 2, 3, 4, 5, 6, 7]",[2],2919,"CXXC[C[0,0],X[0,0|1,1],X[0,0|0,0],C[1,0]]"
18,17496,81,[3],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],2920,"CXXC[C[0,0],X[0,0|1,1],X[0,0|0,0],C[1,1]]"
19,17496,81,[3],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],2921,"CXXC[C[0,0],X[0,0|1,1],X[0,0|0,0],C[1,2]]"
20,4374,30,[4],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[0],19683,"CXXC[C[0,0],X[1,0|0,0],X[0,0|0,0],C[0,0]]"
21,8748,45,[4],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[1],19684,"CXXC[C[0,0],X[1,0|0,0],X[0,0|0,0],C[0,1]]"
22,4374,30,[4],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[2],19686,"CXXC[C[0,0],X[1,0|0,0],X[0,0|0,0],C[1,0]]"
23,8748,45,[4],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],19687,"CXXC[C[0,0],X[1,0|0,0],X[0,0|0,0],C[1,1]]"
24,4374,30,[4],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[2],19689,"CXXC[C[0,0],X[1,0|0,0],X[0,0|0,0],C[2,0]]"
25,8748,45,[4],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],19690,"CXXC[C[0,0],X[1,0|0,0],X[0,0|0,0],C[2,1]]"
26,8748,45,[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[0],20412,"CXXC[C[0,0],X[1,0|0,1],X[0,0|0,0],C[0,0]]"
27,8748,45,[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[1],20413,"CXXC[C[0,0],X[1,0|0,1],X[0,0|0,0],C[0,1]]"
28,8748,45,[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[1],20414,"CXXC[C[0,0],X[1,0|0,1],X[0,0|0,0],C[0,2]]"
29,8748,45,[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[2],20415,"CXXC[C[0,0],X[1,0|0,1],X[0,0|0,0],C[1,0]]"
