middle_xx_orbit_id,total_cxxc_count,distinct_face_pattern_count,left_cx_orbit_ids,right_xc_orbit_ids,outer_cc_orbit_ids,left_cxc_orbit_ids,right_cxc_orbit_ids,rep_cxxc_config_id,rep_cxxc_readable
11,8748,81,"[0, 1, 4, 5]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",252,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[0,0]]"
12,8748,45,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",270,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[0,0]]"
13,17496,81,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",279,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[0,0]]"
14,8748,45,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",324,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,0],C[0,0]]"
15,17496,81,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",333,"CXXC[C[0,0],X[0,0|0,0],X[1,1|0,1],C[0,0]]"
16,8748,45,"[0, 1, 4, 5]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",351,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,0],C[0,0]]"
17,17496,81,"[0, 1, 4, 5]","[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",360,"CXXC[C[0,0],X[0,0|0,0],X[1,1|1,1],C[0,0]]"
18,8748,45,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",378,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,0],C[0,0]]"
19,17496,81,"[0, 1, 4, 5]","[4, 5, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",387,"CXXC[C[0,0],X[0,0|0,0],X[1,1|2,1],C[0,0]]"
20,4374,25,"[2, 3, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",2187,"CXXC[C[0,0],X[0,0|1,0],X[0,0|0,0],C[0,0]]"
21,8748,45,"[2, 3, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",2196,"CXXC[C[0,0],X[0,0|1,0],X[0,0|0,1],C[0,0]]"
22,4374,25,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2214,"CXXC[C[0,0],X[0,0|1,0],X[0,0|1,0],C[0,0]]"
23,8748,45,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2223,"CXXC[C[0,0],X[0,0|1,0],X[0,0|1,1],C[0,0]]"
24,4374,25,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2241,"CXXC[C[0,0],X[0,0|1,0],X[0,0|2,0],C[0,0]]"
25,8748,45,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2250,"CXXC[C[0,0],X[0,0|1,0],X[0,0|2,1],C[0,0]]"
