right_cxc_orbit_id,total_cxxc_count,distinct_face_pattern_count,left_cx_orbit_ids,middle_xx_orbit_ids,right_xc_orbit_ids,outer_cc_orbit_ids,rep_cxxc_config_id,rep_cxxc_readable
29,8748,45,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[1],[2],255,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[1,0]]"
30,8748,45,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[0],[3],256,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[1,1]]"
31,8748,45,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[1],[3],257,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[1,2]]"
32,8748,45,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[3],[2],258,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[2,0]]"
33,8748,45,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[2],[3],259,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[2,1]]"
34,8748,45,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 6, 7, 10, 11, 16, 17, 20, 21, 28, 29, 36, 37, 38, 39, 46, 47, 54, 55]",[3],[3],260,"CXXC[C[0,0],X[0,0|0,0],X[1,0|0,1],C[2,2]]"
35,8748,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[6],[0],270,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[0,0]]"
36,17496,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[7],[1],271,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[0,1]]"
37,8748,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[4],[2],273,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[1,0]]"
38,17496,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[5],[3],274,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[1,1]]"
39,8748,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[6],[2],276,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[2,0]]"
40,17496,54,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[7],[3],277,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,0],C[2,1]]"
41,17496,81,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[7],[0],279,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[0,0]]"
42,17496,81,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[6],[1],280,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[0,1]]"
43,17496,81,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[7],[1],281,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[0,2]]"
44,17496,81,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[5],[2],282,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[1,0]]"
45,17496,81,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[4],[3],283,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[1,1]]"
46,17496,81,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[5],[3],284,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[1,2]]"
47,17496,81,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[7],[2],285,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[2,0]]"
48,17496,81,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[6],[3],286,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[2,1]]"
49,17496,81,"[0, 1, 2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 8, 9, 12, 13, 14, 15, 18, 19, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 34, 35, 40, 41, 42, 43, 44, 45, 48, 49, 50, 51, 52, 53]",[7],[3],287,"CXXC[C[0,0],X[0,0|0,0],X[1,0|1,1],C[2,2]]"
