removed_term_id,init_mode,restart_id,seed,als_iterations,als_loss,als_max_abs,ls_nfev,final_loss,final_max_abs,success_lt_1e_10,success_lt_1e_15
t20,single_removal,19,20262019,503,1.000112121123927,0.8193527928062074,500,1.1375932418815112e-05,0.0007661152131220143,False,False
t08,single_removal,7,20262007,503,1.0001592134801909,0.6286680182830553,500,1.970513764842821e-05,0.0009737509569905985,False,False
t07,single_removal,6,20262006,503,0.004731804204105006,0.01316980088819264,500,0.003276464428882616,0.012014457123462607,False,False
t13,single_removal,12,20262012,503,0.018497490777380242,0.024463071728382024,500,0.015549917252227423,0.02031876677073141,False,False
t22,single_removal,21,20262021,30,1.0,1.0,27,1.0,1.0,False,False
t16,single_removal,15,20262015,503,1.0000001102166203,0.8107450480608316,34,1.0000000000000016,0.8107450244506733,False,False
t02,single_removal,1,20262001,503,1.0000001728331491,0.5280514237489808,31,1.0000000000000044,0.5280504203778362,False,False
t11,single_removal,10,20262010,503,1.0000002044876504,0.6572350254475071,31,1.0000000000000053,0.6572335885687552,False,False
t01,single_removal,0,20262000,503,1.0000000705702157,0.5667152935280595,27,1.0000000000000095,0.5667174734863416,False,False
t03,single_removal,2,20262002,503,1.000000114383431,0.5902164183400042,44,1.0000000000000306,0.5902164347388552,False,False
t04,single_removal,3,20262003,503,1.0000002498201943,0.6293518057211869,96,1.000000000000073,0.6293482969329425,False,False
t05,single_removal,4,20262004,503,1.0000003124330261,0.5480960504736371,32,1.000000000000093,0.5480967531186398,False,False
t23,single_removal,22,20262022,503,1.0000295366015561,0.7141544304993366,47,1.000000000000094,0.7142240134267284,False,False
t21,single_removal,20,20262020,503,1.0000000691739577,0.623070766292787,62,1.000000000000097,0.6230708775495462,False,False
t19,single_removal,18,20262018,503,1.0000005043225977,0.7931146553090277,31,1.0000000000001292,0.7931147748093165,False,False
t06,single_removal,5,20262005,503,1.0000000257942459,0.6391992999104614,102,1.0000000000001472,0.639195694400652,False,False
t10,single_removal,9,20262009,503,1.0000034017945199,0.6900073862522851,138,1.0000000000001614,0.6900251100358143,False,False
t17,single_removal,16,20262016,503,1.000000153547612,0.8631702806979047,42,1.0000000000002536,0.8631701115571188,False,False
t12,single_removal,11,20262011,503,1.000000064365061,0.6158885958781695,32,1.0000000000003373,0.6158923991077325,False,False
t15,single_removal,14,20262014,503,1.000002199263981,0.576168783978918,172,1.00000000000083,0.5763461851431138,False,False
t09,single_removal,8,20262008,503,1.0000000043820645,0.48809555721529574,46,1.0000000000030878,0.4880959495792615,False,False
t18,single_removal,17,20262017,503,1.0001325984633345,0.9259755708513876,500,1.0000000165830345,0.9275524389490408,False,False
t14,single_removal,13,20262013,503,1.0003660334017517,0.8122879293540797,500,1.0000003941915692,0.814295032940545,False,False
