removed_term_id,epsilon,fixed_scale,als_iterations,als_loss,als_max_abs,ls_nfev,final_loss,final_max_abs,success_lt_1e_10,success_lt_1e_15
t01,0.01,0.99,153,2.4041571621121936e-05,0.0022016938113934353,200,1.962567151290538e-05,0.001810063843009302,False,False
t01,0.05,0.95,153,0.0005167590798543033,0.009340661780175917,200,0.00034752038046813403,0.006662556089837346,False,False
t01,0.1,0.9,153,0.00151391535664176,0.014245263564755348,200,0.0013243962405343197,0.012544457700923828,False,False
t01,0.2,0.8,153,0.006405636471395446,0.028671149314611427,200,0.006103763037578301,0.026168937629109768,False,False
t01,0.3,0.7,153,0.011579451782811064,0.03234671806071825,200,0.0008239506475388957,0.008124526626985998,False,False
t01,0.4,0.6,153,0.00033198047891314656,0.00462083646358448,200,0.0001762602504013613,0.004060259008582538,False,False
t01,0.5,0.5,153,0.0001708695968015775,0.004693089884186238,200,0.00011193158508203242,0.00364181917313592,False,False
t01,0.6,0.4,153,0.00012809767813208705,0.00429903694412302,200,8.302454439516166e-05,0.002939854981949648,False,False
t01,0.7,0.30000000000000004,153,0.00010246485298809194,0.0035019891526562935,200,6.0246056983198974e-05,0.0021704943674570984,False,False
t01,0.8,0.19999999999999996,153,9.608943475813736e-05,0.0025983697340064235,200,5.754426750846648e-05,0.0016302334458574651,False,False
t01,0.9,0.09999999999999998,153,0.00020327395081966418,0.003871739632507637,200,0.00012077133528286308,0.0027834766113902366,False,False
t01,0.99,0.010000000000000009,153,0.0006363298774340202,0.007106042316091077,200,0.0005456855153028705,0.0057756276623405906,False,False
t01,1.0,0.0,153,0.0006573643667565631,0.006906860617852867,200,0.0005926309252036118,0.005979248060418607,False,False
t02,0.01,0.99,153,1.7248560899490758e-05,0.0008513162965032572,200,1.1867749090818628e-05,0.00068993094228323,False,False
t02,0.05,0.95,153,0.00031536687021309,0.0035778104914356637,200,0.0001678805531888211,0.0033332337641974875,False,False
t02,0.1,0.9,153,0.0007817696211377345,0.007243711549008463,200,0.0007189752079415116,0.006645254322943888,False,False
t02,0.2,0.8,153,0.0036703442350623154,0.01629766183858777,200,0.003509067127372079,0.01517086893528774,False,False
t02,0.3,0.7,153,0.009926028120715082,0.0262291096269374,200,0.009606540197942074,0.02539524609150212,False,False
