base_label,policy_name,rotation_cap_deg,total_budget,accepted_steps,wildcard_wins,budget_used,initial_kappa_ker,final_kappa_ker,total_gain,feasible_descent
alphatensor_rank23_transpose,rot8p0_budget2p0,8.0,2.0,10,9,1.9997877446442436,0.6245923009701738,0.3576103400295184,0.2669819609406554,1
standard_rank27,rot8p0_budget2p0,8.0,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot10p0_budget0p05,10.0,0.05,2,2,0.04995039211536645,0.6245923009701738,0.6162002492582687,0.008392051711905157,1
standard_rank27,rot10p0_budget0p05,10.0,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot10p0_budget0p1,10.0,0.1,1,0,0.09713266268428107,0.6245923009701738,0.6053488503195167,0.019243450650657135,1
standard_rank27,rot10p0_budget0p1,10.0,0.1,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot10p0_budget0p2,10.0,0.2,2,2,0.19732039878405533,0.6245923009701738,0.5882551276190179,0.03633717335115594,1
standard_rank27,rot10p0_budget0p2,10.0,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot10p0_budget0p4,10.0,0.4,2,2,0.3999719893751947,0.6245923009701738,0.5630198145369546,0.06157248643321922,1
standard_rank27,rot10p0_budget0p4,10.0,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot10p0_budget0p8,10.0,0.8,4,4,0.7996946213834996,0.6245923009701738,0.49803319467723767,0.12655910629293615,1
standard_rank27,rot10p0_budget0p8,10.0,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot10p0_budget1p2,10.0,1.2,7,6,1.1999468591444027,0.6245923009701738,0.4430350306751666,0.18155727029500723,1
standard_rank27,rot10p0_budget1p2,10.0,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot10p0_budget2p0,10.0,2.0,10,10,1.9992766003735456,0.6245923009701738,0.35899593169953203,0.2655963692706418,1
standard_rank27,rot10p0_budget2p0,10.0,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,rot12p0_budget0p05,12.0,0.05,1,1,0.048679160705619964,0.6245923009701738,0.6170289881286156,0.007563312841558201,1
standard_rank27,rot12p0_budget0p05,12.0,0.05,2,1,0.049527776998825296,0.9999999999999996,0.9676463008111179,0.032353699188881646,1
alphatensor_rank23_transpose,rot12p0_budget0p1,12.0,0.1,1,0,0.09713266268428107,0.6245923009701738,0.6053488503195167,0.019243450650657135,1
standard_rank27,rot12p0_budget0p1,12.0,0.1,2,2,0.09990938382144013,0.9999999999999996,0.9398077656148316,0.060192234385167964,1
alphatensor_rank23_transpose,rot12p0_budget0p2,12.0,0.2,1,1,0.19908785732771914,0.6245923009701738,0.5898369053787382,0.03475539559143559,1
standard_rank27,rot12p0_budget0p2,12.0,0.2,4,3,0.19948309597127312,0.9999999999999996,0.8833560373082118,0.11664396269178778,1
alphatensor_rank23_transpose,rot12p0_budget0p4,12.0,0.4,3,2,0.39970885895457736,0.6245923009701738,0.5523548832013903,0.07223741776878356,1
standard_rank27,rot12p0_budget0p4,12.0,0.4,7,7,0.3998844874203067,0.9999999999999996,0.8169223621120194,0.18307763788798015,1
alphatensor_rank23_transpose,rot12p0_budget0p8,12.0,0.8,4,4,0.7970809463340992,0.6245923009701738,0.5056818863680889,0.11891041460208496,1
standard_rank27,rot12p0_budget0p8,12.0,0.8,7,7,0.7993314681082355,0.9999999999999996,0.654927730266011,0.3450722697339885,1
alphatensor_rank23_transpose,rot12p0_budget1p2,12.0,1.2,7,7,1.1981311219784307,0.6245923009701738,0.4523052774236255,0.17228702354654835,1
standard_rank27,rot12p0_budget1p2,12.0,1.2,11,10,1.1988433190285863,0.9999999999999996,0.5306709250054731,0.4693290749945265,1
alphatensor_rank23_transpose,rot12p0_budget2p0,12.0,2.0,10,9,1.999622952328953,0.6245923009701738,0.3654970615899114,0.2590952393802624,1
standard_rank27,rot12p0_budget2p0,12.0,2.0,16,16,1.907775273024959,0.9999999999999996,0.36880525008538395,0.6311947499146155,1
alphatensor_rank23_transpose,rot14p0_budget0p05,14.0,0.05,2,2,0.04791168942257601,0.6245923009701738,0.616340398244306,0.008251902725867843,1
