pattern_id,kind,label,restricted_shape,flattening_rank_A_BC,flattening_rank_B_AC,flattening_rank_C_AB,lower_bound,provenance
P4,A_column_zero,A_column_0=0,6x9x6,6,6,6,6,EXACT_DERIVED
P4,A_column_zero,A_column_1=0,6x9x6,6,6,6,6,EXACT_DERIVED
P4,A_column_zero,A_column_2=0,6x9x6,6,6,6,6,EXACT_DERIVED
P4,B_row_zero,B_row_0=0,9x6x6,6,6,6,6,EXACT_DERIVED
P4,B_row_zero,B_row_1=0,9x6x6,6,6,6,6,EXACT_DERIVED
P4,B_row_zero,B_row_2=0,9x6x6,6,6,6,6,EXACT_DERIVED
P4,B_column_zero,B_column_0=0,9x6x6,9,6,4,9,EXACT_DERIVED
P4,B_column_zero,B_column_1=0,9x6x6,9,6,4,9,EXACT_DERIVED
P4,B_column_zero,B_column_2=0,9x6x6,9,6,4,9,EXACT_DERIVED
P4,Gamma_row_zero,Gamma_row_0=0,9x9x4,6,9,4,9,EXACT_DERIVED
P4,Gamma_row_zero,Gamma_row_1=0,9x9x4,6,9,4,9,EXACT_DERIVED
P4,Gamma_row_zero,Gamma_row_2=0,9x9x4,6,9,4,9,EXACT_DERIVED
P4,Gamma_column_zero,Gamma_col_0=0,9x9x4,9,6,4,9,EXACT_DERIVED
P4,Gamma_column_zero,Gamma_col_1=0,9x9x4,9,6,4,9,EXACT_DERIVED
P4,Gamma_column_zero,Gamma_col_2=0,9x9x4,9,6,4,9,EXACT_DERIVED
P5,none,no_substitution,9x9x6,6,9,6,9,EXACT_DERIVED
P5,A_row_zero,A_row_0=0,6x9x6,3,9,3,9,EXACT_DERIVED
P5,A_row_zero,A_row_1=0,6x9x6,3,9,3,9,EXACT_DERIVED
P5,A_row_zero,A_row_2=0,6x9x6,6,9,6,9,EXACT_DERIVED
P5,A_column_zero,A_column_0=0,6x9x6,4,6,6,6,EXACT_DERIVED
P5,A_column_zero,A_column_1=0,6x9x6,4,6,6,6,EXACT_DERIVED
P5,A_column_zero,A_column_2=0,6x9x6,4,6,6,6,EXACT_DERIVED
P5,B_row_zero,B_row_0=0,9x6x6,4,6,6,6,EXACT_DERIVED
P5,B_row_zero,B_row_1=0,9x6x6,4,6,6,6,EXACT_DERIVED
P5,B_row_zero,B_row_2=0,9x6x6,4,6,6,6,EXACT_DERIVED
P5,B_column_zero,B_column_0=0,9x6x6,6,6,4,6,EXACT_DERIVED
P5,B_column_zero,B_column_1=0,9x6x6,6,6,4,6,EXACT_DERIVED
P5,B_column_zero,B_column_2=0,9x6x6,6,6,4,6,EXACT_DERIVED
P5,Gamma_row_zero,Gamma_row_0=0,9x9x3,3,9,3,9,EXACT_DERIVED
P5,Gamma_row_zero,Gamma_row_1=0,9x9x3,3,9,3,9,EXACT_DERIVED
P5,Gamma_row_zero,Gamma_row_2=0,9x9x6,6,9,6,9,EXACT_DERIVED
P5,Gamma_column_zero,Gamma_col_0=0,9x9x4,6,6,4,6,EXACT_DERIVED
P5,Gamma_column_zero,Gamma_col_1=0,9x9x4,6,6,4,6,EXACT_DERIVED
P5,Gamma_column_zero,Gamma_col_2=0,9x9x4,6,6,4,6,EXACT_DERIVED
P6,none,no_substitution,9x9x6,9,6,6,9,EXACT_DERIVED
P6,A_row_zero,A_row_0=0,6x9x6,6,6,4,6,EXACT_DERIVED
P6,A_row_zero,A_row_1=0,6x9x6,6,6,4,6,EXACT_DERIVED
P6,A_row_zero,A_row_2=0,6x9x6,6,6,4,6,EXACT_DERIVED
P6,A_column_zero,A_column_0=0,6x9x6,6,4,6,6,EXACT_DERIVED
P6,A_column_zero,A_column_1=0,6x9x6,6,4,6,6,EXACT_DERIVED
P6,A_column_zero,A_column_2=0,6x9x6,6,4,6,6,EXACT_DERIVED
P6,B_row_zero,B_row_0=0,9x6x6,6,4,6,6,EXACT_DERIVED
P6,B_row_zero,B_row_1=0,9x6x6,6,4,6,6,EXACT_DERIVED
P6,B_row_zero,B_row_2=0,9x6x6,6,4,6,6,EXACT_DERIVED
P6,B_column_zero,B_column_0=0,9x6x6,9,3,3,9,EXACT_DERIVED
P6,B_column_zero,B_column_1=0,9x6x6,9,3,3,9,EXACT_DERIVED
P6,B_column_zero,B_column_2=0,9x6x6,9,6,6,9,EXACT_DERIVED
P6,Gamma_row_zero,Gamma_row_0=0,9x9x4,6,6,4,6,EXACT_DERIVED
P6,Gamma_row_zero,Gamma_row_1=0,9x9x4,6,6,4,6,EXACT_DERIVED
P6,Gamma_row_zero,Gamma_row_2=0,9x9x4,6,6,4,6,EXACT_DERIVED
P6,Gamma_column_zero,Gamma_col_0=0,9x9x3,9,3,3,9,EXACT_DERIVED
P6,Gamma_column_zero,Gamma_col_1=0,9x9x3,9,3,3,9,EXACT_DERIVED
P6,Gamma_column_zero,Gamma_col_2=0,9x9x6,9,6,6,9,EXACT_DERIVED
