A_orbit,B_orbit,A_stab_type,B_stab_type,total_pairs,output_both_live,output_not_both_live,output_orbit_ids,output_counts
126,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
126,1,Z2xZ2,Z2xZ2,54,54,0,[126],{126: 54}
126,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,5,Z2xZ2,Z2xZ2,54,54,0,[132],{132: 54}
126,6,Z2xZ2,Z2xZ2,54,54,0,[138],{138: 54}
126,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
126,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
127,1,Z2xZ2,Z2xZ2,54,54,0,[127],{127: 54}
127,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,5,Z2xZ2,Z2xZ2,54,54,0,[139],{139: 54}
127,6,Z2xZ2,Z2xZ2,54,54,0,[133],{133: 54}
127,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
127,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
131,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,125,Z2xZ2,Z2xZ2,54,54,0,[125],{125: 54}
131,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,131,Z2xZ2,Z2xZ2,54,54,0,[131],{131: 54}
131,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,137,Z2xZ2,Z2xZ2,54,54,0,[137],{137: 54}
131,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
131,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
132,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,126,Z2xZ2,Z2xZ2,54,54,0,[126],{126: 54}
132,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,132,Z2xZ2,Z2xZ2,54,54,0,[132],{132: 54}
132,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,137,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,138,Z2xZ2,Z2xZ2,54,54,0,[138],{138: 54}
132,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
132,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
133,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,5,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,6,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,30,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,125,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,127,Z2xZ2,Z2xZ2,54,54,0,[127],{127: 54}
133,131,Z2xZ2,Z2xZ2,0,0,0,[],{}
133,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
