label,family,c_rank,d_rank,target_pq,hadamard_dim,sigma_rank,eta_rank,delta_rank,nuisance_rank,augmented_rank,quotient_gain,nuisance_dependencies,meets_rank34_target,meets_r22_nuisance_target,meets_hadamard_quotient_target,full_quotient_target_holds,notes,provenance
dft_modes_3,dft_modes,3,4,3x4,12,3,5,9,11,12,1,61,True,True,False,False,C uses exact 3-point Fourier modes; D mixes Fourier rows with one extra row to allow q=4.,EXACT_DERIVED
toeplitz_genericD_2,toeplitz_genericD,3,4,3x4,12,3,6,12,12,12,0,60,True,True,False,False,Toeplitz C against a fixed full-rank 4x9 D.,EXACT_DERIVED
