action_id,pi_rA,pi_shared,pi_cB,alpha_cycle_lengths,beta_cycle_lengths,fixed_projective_alpha_lines,fixed_projective_beta_lines,fixed_profile_classes,provenance
172,"(2, 0, 1)","(2, 0, 1)","(2, 0, 1)","[3, 3, 3]","[3, 3, 3]",13,13,169,EXACT_DERIVED
173,"(2, 0, 1)","(2, 0, 1)","(2, 1, 0)","[3, 3, 3]","[6, 3]",13,5,65,EXACT_DERIVED
174,"(2, 0, 1)","(2, 1, 0)","(0, 1, 2)","[6, 3]","[2, 2, 2, 1, 1, 1]",5,377,1885,EXACT_DERIVED
175,"(2, 0, 1)","(2, 1, 0)","(0, 2, 1)","[6, 3]","[2, 2, 2, 1, 2]",5,161,805,EXACT_DERIVED
176,"(2, 0, 1)","(2, 1, 0)","(1, 0, 2)","[6, 3]","[2, 2, 2, 2, 1]",5,161,805,EXACT_DERIVED
177,"(2, 0, 1)","(2, 1, 0)","(1, 2, 0)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
178,"(2, 0, 1)","(2, 1, 0)","(2, 0, 1)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
179,"(2, 0, 1)","(2, 1, 0)","(2, 1, 0)","[6, 3]","[2, 2, 2, 2, 1]",5,161,805,EXACT_DERIVED
180,"(2, 1, 0)","(0, 1, 2)","(0, 1, 2)","[2, 2, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",377,9841,3710057,EXACT_DERIVED
181,"(2, 1, 0)","(0, 1, 2)","(0, 2, 1)","[2, 2, 2, 1, 1, 1]","[1, 2, 1, 2, 1, 2]",377,377,142129,EXACT_DERIVED
182,"(2, 1, 0)","(0, 1, 2)","(1, 0, 2)","[2, 2, 2, 1, 1, 1]","[2, 1, 2, 1, 2, 1]",377,377,142129,EXACT_DERIVED
183,"(2, 1, 0)","(0, 1, 2)","(1, 2, 0)","[2, 2, 2, 1, 1, 1]","[3, 3, 3]",377,13,4901,EXACT_DERIVED
184,"(2, 1, 0)","(0, 1, 2)","(2, 0, 1)","[2, 2, 2, 1, 1, 1]","[3, 3, 3]",377,13,4901,EXACT_DERIVED
185,"(2, 1, 0)","(0, 1, 2)","(2, 1, 0)","[2, 2, 2, 1, 1, 1]","[2, 1, 2, 1, 2, 1]",377,377,142129,EXACT_DERIVED
186,"(2, 1, 0)","(0, 2, 1)","(0, 1, 2)","[2, 2, 2, 1, 2]","[1, 1, 1, 2, 2, 2]",161,377,60697,EXACT_DERIVED
187,"(2, 1, 0)","(0, 2, 1)","(0, 2, 1)","[2, 2, 2, 1, 2]","[1, 2, 2, 2, 2]",161,161,25921,EXACT_DERIVED
188,"(2, 1, 0)","(0, 2, 1)","(1, 0, 2)","[2, 2, 2, 1, 2]","[2, 1, 2, 2, 2]",161,161,25921,EXACT_DERIVED
189,"(2, 1, 0)","(0, 2, 1)","(1, 2, 0)","[2, 2, 2, 1, 2]","[3, 6]",161,5,805,EXACT_DERIVED
190,"(2, 1, 0)","(0, 2, 1)","(2, 0, 1)","[2, 2, 2, 1, 2]","[3, 6]",161,5,805,EXACT_DERIVED
191,"(2, 1, 0)","(0, 2, 1)","(2, 1, 0)","[2, 2, 2, 1, 2]","[2, 1, 2, 2, 2]",161,161,25921,EXACT_DERIVED
192,"(2, 1, 0)","(1, 0, 2)","(0, 1, 2)","[2, 2, 2, 2, 1]","[2, 2, 2, 1, 1, 1]",161,377,60697,EXACT_DERIVED
193,"(2, 1, 0)","(1, 0, 2)","(0, 2, 1)","[2, 2, 2, 2, 1]","[2, 2, 2, 1, 2]",161,161,25921,EXACT_DERIVED
194,"(2, 1, 0)","(1, 0, 2)","(1, 0, 2)","[2, 2, 2, 2, 1]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
195,"(2, 1, 0)","(1, 0, 2)","(1, 2, 0)","[2, 2, 2, 2, 1]","[6, 3]",161,5,805,EXACT_DERIVED
196,"(2, 1, 0)","(1, 0, 2)","(2, 0, 1)","[2, 2, 2, 2, 1]","[6, 3]",161,5,805,EXACT_DERIVED
197,"(2, 1, 0)","(1, 0, 2)","(2, 1, 0)","[2, 2, 2, 2, 1]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
198,"(2, 1, 0)","(1, 2, 0)","(0, 1, 2)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
199,"(2, 1, 0)","(1, 2, 0)","(0, 2, 1)","[6, 3]","[3, 6]",5,5,25,EXACT_DERIVED
200,"(2, 1, 0)","(1, 2, 0)","(1, 0, 2)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
201,"(2, 1, 0)","(1, 2, 0)","(1, 2, 0)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
202,"(2, 1, 0)","(1, 2, 0)","(2, 0, 1)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
203,"(2, 1, 0)","(1, 2, 0)","(2, 1, 0)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
204,"(2, 1, 0)","(2, 0, 1)","(0, 1, 2)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
205,"(2, 1, 0)","(2, 0, 1)","(0, 2, 1)","[6, 3]","[3, 6]",5,5,25,EXACT_DERIVED
206,"(2, 1, 0)","(2, 0, 1)","(1, 0, 2)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
207,"(2, 1, 0)","(2, 0, 1)","(1, 2, 0)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
208,"(2, 1, 0)","(2, 0, 1)","(2, 0, 1)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
209,"(2, 1, 0)","(2, 0, 1)","(2, 1, 0)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
210,"(2, 1, 0)","(2, 1, 0)","(0, 1, 2)","[2, 2, 2, 2, 1]","[2, 2, 2, 1, 1, 1]",161,377,60697,EXACT_DERIVED
211,"(2, 1, 0)","(2, 1, 0)","(0, 2, 1)","[2, 2, 2, 2, 1]","[2, 2, 2, 1, 2]",161,161,25921,EXACT_DERIVED
212,"(2, 1, 0)","(2, 1, 0)","(1, 0, 2)","[2, 2, 2, 2, 1]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
213,"(2, 1, 0)","(2, 1, 0)","(1, 2, 0)","[2, 2, 2, 2, 1]","[6, 3]",161,5,805,EXACT_DERIVED
214,"(2, 1, 0)","(2, 1, 0)","(2, 0, 1)","[2, 2, 2, 2, 1]","[6, 3]",161,5,805,EXACT_DERIVED
215,"(2, 1, 0)","(2, 1, 0)","(2, 1, 0)","[2, 2, 2, 2, 1]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
