action_id,pi_rA,pi_shared,pi_cB,alpha_cycle_lengths,beta_cycle_lengths,fixed_projective_alpha_lines,fixed_projective_beta_lines,fixed_profile_classes,provenance
38,"(0, 2, 1)","(0, 1, 2)","(1, 0, 2)","[1, 1, 1, 2, 2, 2]","[2, 1, 2, 1, 2, 1]",377,377,142129,EXACT_DERIVED
39,"(0, 2, 1)","(0, 1, 2)","(1, 2, 0)","[1, 1, 1, 2, 2, 2]","[3, 3, 3]",377,13,4901,EXACT_DERIVED
40,"(0, 2, 1)","(0, 1, 2)","(2, 0, 1)","[1, 1, 1, 2, 2, 2]","[3, 3, 3]",377,13,4901,EXACT_DERIVED
41,"(0, 2, 1)","(0, 1, 2)","(2, 1, 0)","[1, 1, 1, 2, 2, 2]","[2, 1, 2, 1, 2, 1]",377,377,142129,EXACT_DERIVED
42,"(0, 2, 1)","(0, 2, 1)","(0, 1, 2)","[1, 2, 2, 2, 2]","[1, 1, 1, 2, 2, 2]",161,377,60697,EXACT_DERIVED
43,"(0, 2, 1)","(0, 2, 1)","(0, 2, 1)","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]",161,161,25921,EXACT_DERIVED
44,"(0, 2, 1)","(0, 2, 1)","(1, 0, 2)","[1, 2, 2, 2, 2]","[2, 1, 2, 2, 2]",161,161,25921,EXACT_DERIVED
45,"(0, 2, 1)","(0, 2, 1)","(1, 2, 0)","[1, 2, 2, 2, 2]","[3, 6]",161,5,805,EXACT_DERIVED
46,"(0, 2, 1)","(0, 2, 1)","(2, 0, 1)","[1, 2, 2, 2, 2]","[3, 6]",161,5,805,EXACT_DERIVED
47,"(0, 2, 1)","(0, 2, 1)","(2, 1, 0)","[1, 2, 2, 2, 2]","[2, 1, 2, 2, 2]",161,161,25921,EXACT_DERIVED
48,"(0, 2, 1)","(1, 0, 2)","(0, 1, 2)","[2, 1, 2, 2, 2]","[2, 2, 2, 1, 1, 1]",161,377,60697,EXACT_DERIVED
49,"(0, 2, 1)","(1, 0, 2)","(0, 2, 1)","[2, 1, 2, 2, 2]","[2, 2, 2, 1, 2]",161,161,25921,EXACT_DERIVED
50,"(0, 2, 1)","(1, 0, 2)","(1, 0, 2)","[2, 1, 2, 2, 2]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
51,"(0, 2, 1)","(1, 0, 2)","(1, 2, 0)","[2, 1, 2, 2, 2]","[6, 3]",161,5,805,EXACT_DERIVED
52,"(0, 2, 1)","(1, 0, 2)","(2, 0, 1)","[2, 1, 2, 2, 2]","[6, 3]",161,5,805,EXACT_DERIVED
53,"(0, 2, 1)","(1, 0, 2)","(2, 1, 0)","[2, 1, 2, 2, 2]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
54,"(0, 2, 1)","(1, 2, 0)","(0, 1, 2)","[3, 6]","[3, 3, 3]",5,13,65,EXACT_DERIVED
55,"(0, 2, 1)","(1, 2, 0)","(0, 2, 1)","[3, 6]","[3, 6]",5,5,25,EXACT_DERIVED
56,"(0, 2, 1)","(1, 2, 0)","(1, 0, 2)","[3, 6]","[6, 3]",5,5,25,EXACT_DERIVED
57,"(0, 2, 1)","(1, 2, 0)","(1, 2, 0)","[3, 6]","[3, 3, 3]",5,13,65,EXACT_DERIVED
58,"(0, 2, 1)","(1, 2, 0)","(2, 0, 1)","[3, 6]","[3, 3, 3]",5,13,65,EXACT_DERIVED
59,"(0, 2, 1)","(1, 2, 0)","(2, 1, 0)","[3, 6]","[6, 3]",5,5,25,EXACT_DERIVED
60,"(0, 2, 1)","(2, 0, 1)","(0, 1, 2)","[3, 6]","[3, 3, 3]",5,13,65,EXACT_DERIVED
61,"(0, 2, 1)","(2, 0, 1)","(0, 2, 1)","[3, 6]","[3, 6]",5,5,25,EXACT_DERIVED
62,"(0, 2, 1)","(2, 0, 1)","(1, 0, 2)","[3, 6]","[6, 3]",5,5,25,EXACT_DERIVED
63,"(0, 2, 1)","(2, 0, 1)","(1, 2, 0)","[3, 6]","[3, 3, 3]",5,13,65,EXACT_DERIVED
64,"(0, 2, 1)","(2, 0, 1)","(2, 0, 1)","[3, 6]","[3, 3, 3]",5,13,65,EXACT_DERIVED
65,"(0, 2, 1)","(2, 0, 1)","(2, 1, 0)","[3, 6]","[6, 3]",5,5,25,EXACT_DERIVED
66,"(0, 2, 1)","(2, 1, 0)","(0, 1, 2)","[2, 1, 2, 2, 2]","[2, 2, 2, 1, 1, 1]",161,377,60697,EXACT_DERIVED
67,"(0, 2, 1)","(2, 1, 0)","(0, 2, 1)","[2, 1, 2, 2, 2]","[2, 2, 2, 1, 2]",161,161,25921,EXACT_DERIVED
68,"(0, 2, 1)","(2, 1, 0)","(1, 0, 2)","[2, 1, 2, 2, 2]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
69,"(0, 2, 1)","(2, 1, 0)","(1, 2, 0)","[2, 1, 2, 2, 2]","[6, 3]",161,5,805,EXACT_DERIVED
70,"(0, 2, 1)","(2, 1, 0)","(2, 0, 1)","[2, 1, 2, 2, 2]","[6, 3]",161,5,805,EXACT_DERIVED
71,"(0, 2, 1)","(2, 1, 0)","(2, 1, 0)","[2, 1, 2, 2, 2]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
72,"(1, 0, 2)","(0, 1, 2)","(0, 1, 2)","[2, 2, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",377,9841,3710057,EXACT_DERIVED
73,"(1, 0, 2)","(0, 1, 2)","(0, 2, 1)","[2, 2, 2, 1, 1, 1]","[1, 2, 1, 2, 1, 2]",377,377,142129,EXACT_DERIVED
74,"(1, 0, 2)","(0, 1, 2)","(1, 0, 2)","[2, 2, 2, 1, 1, 1]","[2, 1, 2, 1, 2, 1]",377,377,142129,EXACT_DERIVED
75,"(1, 0, 2)","(0, 1, 2)","(1, 2, 0)","[2, 2, 2, 1, 1, 1]","[3, 3, 3]",377,13,4901,EXACT_DERIVED
76,"(1, 0, 2)","(0, 1, 2)","(2, 0, 1)","[2, 2, 2, 1, 1, 1]","[3, 3, 3]",377,13,4901,EXACT_DERIVED
77,"(1, 0, 2)","(0, 1, 2)","(2, 1, 0)","[2, 2, 2, 1, 1, 1]","[2, 1, 2, 1, 2, 1]",377,377,142129,EXACT_DERIVED
78,"(1, 0, 2)","(0, 2, 1)","(0, 1, 2)","[2, 2, 2, 1, 2]","[1, 1, 1, 2, 2, 2]",161,377,60697,EXACT_DERIVED
79,"(1, 0, 2)","(0, 2, 1)","(0, 2, 1)","[2, 2, 2, 1, 2]","[1, 2, 2, 2, 2]",161,161,25921,EXACT_DERIVED
80,"(1, 0, 2)","(0, 2, 1)","(1, 0, 2)","[2, 2, 2, 1, 2]","[2, 1, 2, 2, 2]",161,161,25921,EXACT_DERIVED
81,"(1, 0, 2)","(0, 2, 1)","(1, 2, 0)","[2, 2, 2, 1, 2]","[3, 6]",161,5,805,EXACT_DERIVED
82,"(1, 0, 2)","(0, 2, 1)","(2, 0, 1)","[2, 2, 2, 1, 2]","[3, 6]",161,5,805,EXACT_DERIVED
83,"(1, 0, 2)","(0, 2, 1)","(2, 1, 0)","[2, 2, 2, 1, 2]","[2, 1, 2, 2, 2]",161,161,25921,EXACT_DERIVED
84,"(1, 0, 2)","(1, 0, 2)","(0, 1, 2)","[2, 2, 2, 2, 1]","[2, 2, 2, 1, 1, 1]",161,377,60697,EXACT_DERIVED
85,"(1, 0, 2)","(1, 0, 2)","(0, 2, 1)","[2, 2, 2, 2, 1]","[2, 2, 2, 1, 2]",161,161,25921,EXACT_DERIVED
