family,sample_id,sigma_rank,eta_rank,delta_rank,nuisance_rank,augmented_rank,quotient_gain,meets_nuisance_cap_7,meets_r22_target,full_quotient_target_holds,provenance
ternary_sample,83,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,84,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,85,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,86,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,87,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,88,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,89,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,90,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,91,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,92,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,93,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,94,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,95,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,96,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,97,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,98,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,99,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,100,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,101,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,102,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,103,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,104,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,105,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,106,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,107,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,108,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,109,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,110,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,111,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,112,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,113,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,114,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,115,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,116,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,117,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,118,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,119,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,120,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,121,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,122,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,123,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,124,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,125,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,126,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,127,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,128,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,129,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,130,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,131,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,132,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,133,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,134,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,135,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,136,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,137,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,138,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,139,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,140,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,141,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,142,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,143,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,144,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,145,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,146,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,147,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,148,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,149,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,150,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,151,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,152,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,153,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,154,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,155,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,156,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,157,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,158,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,159,8,12,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,160,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,161,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,162,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,163,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,164,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,165,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,166,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,167,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,168,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,169,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,170,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,171,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,172,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,173,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,174,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,175,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,176,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,177,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,178,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,179,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,180,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,181,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,182,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,183,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,184,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,185,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,186,9,13,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,187,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,188,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,189,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,190,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,191,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,192,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,193,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,194,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,195,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,196,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,197,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,198,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,199,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,200,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,201,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,202,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,203,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,204,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,205,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,206,8,11,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,207,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,208,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,209,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,210,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,211,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,212,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,213,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
