orbit_A,orbit_B,compatible,total_pairs,output_orbits,deterministic,stab_type_A,stab_type_B,stab_type_out,output_counts
1,127,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,131,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,132,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,133,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,137,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,138,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,139,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,143,False,0,[],False,Z2xZ2,Z2,[],{}
1,161,False,0,[],False,Z2xZ2,Z2,[],{}
1,179,False,0,[],False,Z2xZ2,Z2,[],{}
1,185,False,0,[],False,Z2xZ2,Z2,[],{}
1,191,False,0,[],False,Z2xZ2,Z2,[],{}
1,197,False,0,[],False,Z2xZ2,Z2,[],{}
1,215,False,0,[],False,Z2xZ2,Z2,[],{}
1,296,False,0,[],False,Z2xZ2,Trivial,[],{}
1,350,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,354,False,0,[],False,Z2xZ2,Z2,[],{}
1,360,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,370,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,380,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,390,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,394,False,0,[],False,Z2xZ2,Z2,[],{}
1,400,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,410,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,420,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,430,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,434,False,0,[],False,Z2xZ2,Z2,[],{}
1,440,False,0,[],False,Z2xZ2,Z2,[],{}
1,500,False,0,[],False,Z2xZ2,Z2,[],{}
1,560,False,0,[],False,Z2xZ2,Z2,[],{}
1,980,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,982,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,984,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,986,False,0,[],False,Z2xZ2,Z2,[],{}
1,995,False,0,[],False,Z2xZ2,Z2,[],{}
1,1010,False,0,[],False,Z2xZ2,Z2,[],{}
1,1025,False,0,[],False,Z2xZ2,Z2,[],{}
1,1031,False,0,[],False,Z2xZ2,Trivial,[],{}
1,1040,False,0,[],False,Z2xZ2,Z2,[],{}
1,1055,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,1057,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,1059,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,1100,False,0,[],False,Z2xZ2,Z2,[],{}
1,1130,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,1132,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,1134,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
1,1175,False,0,[],False,Z2xZ2,Z2,[],{}
2,0,False,0,[],False,Z2xZ2,(Z2)^3,[],{}
2,1,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,2,True,54,[2],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{2: 54}
2,4,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,5,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,6,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,10,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,20,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,30,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,34,False,0,[],False,Z2xZ2,Z2,[],{}
2,40,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,50,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,52,True,54,[52],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{52: 54}
2,54,True,54,[54],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{54: 54}
2,95,False,0,[],False,Z2xZ2,Z2,[],{}
2,125,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,126,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,127,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,131,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,132,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,133,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,137,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,138,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,139,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,143,False,0,[],False,Z2xZ2,Z2,[],{}
2,161,False,0,[],False,Z2xZ2,Z2,[],{}
2,179,False,0,[],False,Z2xZ2,Z2,[],{}
2,185,False,0,[],False,Z2xZ2,Z2,[],{}
2,191,False,0,[],False,Z2xZ2,Z2,[],{}
2,197,False,0,[],False,Z2xZ2,Z2,[],{}
2,215,False,0,[],False,Z2xZ2,Z2,[],{}
2,296,False,0,[],False,Z2xZ2,Trivial,[],{}
2,350,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,354,False,0,[],False,Z2xZ2,Z2,[],{}
2,360,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,370,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,380,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,390,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,394,False,0,[],False,Z2xZ2,Z2,[],{}
2,400,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,410,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,420,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,430,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,434,False,0,[],False,Z2xZ2,Z2,[],{}
2,440,False,0,[],False,Z2xZ2,Z2,[],{}
2,500,False,0,[],False,Z2xZ2,Z2,[],{}
2,560,False,0,[],False,Z2xZ2,Z2,[],{}
2,980,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,982,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,984,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,986,False,0,[],False,Z2xZ2,Z2,[],{}
2,995,False,0,[],False,Z2xZ2,Z2,[],{}
2,1010,False,0,[],False,Z2xZ2,Z2,[],{}
2,1025,False,0,[],False,Z2xZ2,Z2,[],{}
2,1031,False,0,[],False,Z2xZ2,Trivial,[],{}
2,1040,False,0,[],False,Z2xZ2,Z2,[],{}
2,1055,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,1057,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,1059,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,1100,False,0,[],False,Z2xZ2,Z2,[],{}
2,1130,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,1132,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,1134,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
2,1175,False,0,[],False,Z2xZ2,Z2,[],{}
4,0,False,0,[],False,Z2xZ2,(Z2)^3,[],{}
4,1,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,2,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,4,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,5,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,6,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,10,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,20,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,30,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,34,False,0,[],False,Z2xZ2,Z2,[],{}
4,40,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,50,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,52,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,54,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,95,False,0,[],False,Z2xZ2,Z2,[],{}
4,125,True,54,[0],True,Z2xZ2,Z2xZ2,['(Z2)^3'],{0: 54}
4,126,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,127,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,131,True,54,[4],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{4: 54}
4,132,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,133,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,137,True,54,[4],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{4: 54}
4,138,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,139,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,143,True,108,[10],True,Z2xZ2,Z2,['Z2xZ2'],{10: 108}
4,161,True,108,[20],True,Z2xZ2,Z2,['Z2xZ2'],{20: 108}
4,179,True,108,[30],True,Z2xZ2,Z2,['Z2xZ2'],{30: 108}
4,185,True,108,[34],True,Z2xZ2,Z2,['Z2'],{34: 108}
4,191,True,108,[34],True,Z2xZ2,Z2,['Z2'],{34: 108}
4,197,True,108,[40],True,Z2xZ2,Z2,['Z2xZ2'],{40: 108}
4,215,True,108,[50],True,Z2xZ2,Z2,['Z2xZ2'],{50: 108}
4,296,True,216,[95],True,Z2xZ2,Trivial,['Z2'],{95: 216}
4,350,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,354,False,0,[],False,Z2xZ2,Z2,[],{}
4,360,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,370,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,380,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,390,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,394,False,0,[],False,Z2xZ2,Z2,[],{}
4,400,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,410,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,420,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,430,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,434,False,0,[],False,Z2xZ2,Z2,[],{}
4,440,False,0,[],False,Z2xZ2,Z2,[],{}
4,500,False,0,[],False,Z2xZ2,Z2,[],{}
4,560,False,0,[],False,Z2xZ2,Z2,[],{}
4,980,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,982,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,984,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,986,False,0,[],False,Z2xZ2,Z2,[],{}
4,995,False,0,[],False,Z2xZ2,Z2,[],{}
4,1010,False,0,[],False,Z2xZ2,Z2,[],{}
4,1025,False,0,[],False,Z2xZ2,Z2,[],{}
4,1031,False,0,[],False,Z2xZ2,Trivial,[],{}
4,1040,False,0,[],False,Z2xZ2,Z2,[],{}
4,1055,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,1057,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,1059,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,1100,False,0,[],False,Z2xZ2,Z2,[],{}
4,1130,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,1132,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,1134,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
4,1175,False,0,[],False,Z2xZ2,Z2,[],{}
5,0,False,0,[],False,Z2xZ2,(Z2)^3,[],{}
5,1,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,2,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
