cxxc_orbit0_support,cxxc_orbit30_support,n_profile_orbits,support_pair_count,example_profile
15,7,3,594,"(1, 1, 1, 1, 2, 2, 2, 2, 3)"
15,8,2,216,"(1, 1, 1, 1, 2, 2, 1, 3, 3)"
15,9,4,270,"(0, 1, 1, 1, 2, 2, 2, 3, 3)"
15,10,2,54,"(0, 0, 1, 2, 2, 3, 2, 2, 3)"
15,12,2,36,"(0, 0, 0, 2, 2, 2, 3, 3, 3)"
16,7,2,324,"(1, 1, 2, 2, 2, 2, 2, 2, 2)"
16,8,3,432,"(1, 1, 1, 2, 2, 2, 2, 2, 3)"
16,9,2,432,"(1, 1, 1, 1, 2, 2, 2, 3, 3)"
16,10,4,324,"(0, 1, 1, 2, 2, 2, 2, 3, 3)"
16,12,1,54,"(0, 1, 1, 1, 3, 3, 1, 3, 3)"
16,14,2,54,"(0, 0, 0, 2, 3, 3, 2, 3, 3)"
17,8,1,108,"(1, 2, 2, 2, 2, 2, 2, 2, 2)"
17,9,3,324,"(1, 1, 2, 2, 2, 2, 2, 2, 3)"
17,10,4,432,"(1, 1, 1, 2, 2, 2, 2, 3, 3)"
17,12,1,27,"(1, 1, 1, 1, 3, 3, 1, 3, 3)"
18,9,1,93,"(2, 2, 2, 2, 2, 2, 2, 2, 2)"
18,11,2,216,"(1, 1, 2, 2, 2, 3, 2, 2, 3)"
18,12,2,108,"(1, 1, 1, 2, 2, 2, 3, 3, 3)"
18,14,2,54,"(0, 1, 1, 2, 3, 3, 2, 3, 3)"
18,18,2,6,"(0, 0, 0, 3, 3, 3, 3, 3, 3)"
19,11,1,27,"(2, 2, 2, 2, 2, 2, 2, 2, 3)"
19,12,2,216,"(1, 2, 2, 2, 2, 2, 2, 3, 3)"
19,14,2,108,"(1, 1, 1, 2, 3, 3, 2, 3, 3)"
20,13,2,54,"(2, 2, 2, 2, 2, 2, 2, 3, 3)"
21,15,2,54,"(2, 2, 2, 2, 2, 2, 3, 3, 3)"
21,16,1,54,"(1, 2, 2, 2, 3, 3, 2, 3, 3)"
21,18,2,18,"(1, 1, 1, 3, 3, 3, 3, 3, 3)"
22,17,1,27,"(2, 2, 2, 2, 3, 3, 2, 3, 3)"
24,21,2,18,"(2, 2, 2, 3, 3, 3, 3, 3, 3)"
27,27,1,1,"(3, 3, 3, 3, 3, 3, 3, 3, 3)"
