fourier_fiber_count,fourier_term_count,remaining_fiber_count,available_spreaders_R19,available_spreaders_R20,available_spreaders_R21,available_spreaders_R22,available_spreaders_R23,min_flattening_lower_bound,max_flattening_lower_bound,candidate_orbits_R19_by_flattening,candidate_orbits_R20_by_flattening,candidate_orbits_R21_by_flattening,candidate_orbits_R22_by_flattening,candidate_orbits_R23_by_flattening,known_exact_ruled_out_orbits_R19,known_exact_ruled_out_orbits_R20,known_exact_ruled_out_orbits_R21,known_exact_ruled_out_orbits_R22,known_exact_ruled_out_orbits_R23,interpretation_R19,interpretation_R20,interpretation_R21,interpretation_R22,interpretation_R23,provenance
8,24,1,-5,-4,-3,-2,-1,3,3,0,0,0,0,0,1,1,1,1,1,all_flattening_ruled_out,all_flattening_ruled_out,all_flattening_ruled_out,all_flattening_ruled_out,all_flattening_ruled_out,EXACT_DERIVED
7,21,2,-2,-1,0,1,2,6,6,0,0,0,0,0,2,2,2,2,2,all_flattening_ruled_out,all_flattening_ruled_out,all_flattening_ruled_out,all_flattening_ruled_out,all_flattening_ruled_out,EXACT_DERIVED
6,18,3,1,2,3,4,5,6,9,0,0,0,0,0,2,2,2,2,2,all_flattening_ruled_out,all_flattening_ruled_out,all_flattening_ruled_out,all_flattening_ruled_out,all_flattening_ruled_out,EXACT_DERIVED
5,15,4,4,5,6,7,8,6,9,0,0,1,1,1,1,1,1,1,1,all_flattening_ruled_out,all_flattening_ruled_out,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,EXACT_DERIVED
4,12,5,7,8,9,10,11,9,9,0,0,7,7,7,0,0,0,0,0,all_flattening_ruled_out,all_flattening_ruled_out,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,EXACT_DERIVED
3,9,6,10,11,12,13,14,9,9,6,6,6,6,6,2,2,2,2,2,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,EXACT_DERIVED
2,6,7,13,14,15,16,17,9,9,3,3,3,3,3,0,0,0,0,0,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,EXACT_DERIVED
1,3,8,16,17,18,19,20,9,9,1,1,1,1,1,0,0,0,0,0,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,EXACT_DERIVED
0,0,9,19,20,21,22,23,9,9,1,1,1,1,1,0,0,0,0,0,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,flattening_candidates_remain,EXACT_DERIVED
