equation_label,xc_orbit_id,rep_config_id,rep_x_atom,rep_c_atom,r,s,t,u,r_prime,u_prime,orbit_size,rhs,structure_type,structure_condition,description,representative_equation,transparent_rewrite,p_or_q_definition,provenance
E0,0,0,"X[0,0|0,0]","C[0,0]",0,0,0,0,0,0,27,1,Type 0,"s=t, r=r', u=u'","live X, correct output","sum_k alpha_k[0,0] * beta_k[0,0] * gamma_k[0,0] = 1","sum_k p_k * gamma_k[0,0] = 1","p_k = alpha_k[0,0] * beta_k[0,0]",EXACT_DERIVED
E1,1,1,"X[0,0|0,0]","C[0,1]",0,0,0,0,0,1,54,0,Type 1,"s=t, r=r', u!=u'","live X, same row wrong column in C","sum_k alpha_k[0,0] * beta_k[0,0] * gamma_k[0,1] = 0","sum_k p_k * gamma_k[0,1] = 0","p_k = alpha_k[0,0] * beta_k[0,0]",EXACT_DERIVED
E2,2,3,"X[0,0|0,0]","C[1,0]",0,0,0,0,1,0,54,0,Type 2,"s=t, r!=r', u=u'","live X, wrong row same column in C","sum_k alpha_k[0,0] * beta_k[0,0] * gamma_k[1,0] = 0","sum_k p_k * gamma_k[1,0] = 0","p_k = alpha_k[0,0] * beta_k[0,0]",EXACT_DERIVED
E3,3,4,"X[0,0|0,0]","C[1,1]",0,0,0,0,1,1,108,0,Type 3,"s=t, r!=r', u!=u'","live X, wrong row and wrong column in C","sum_k alpha_k[0,0] * beta_k[0,0] * gamma_k[1,1] = 0","sum_k p_k * gamma_k[1,1] = 0","p_k = alpha_k[0,0] * beta_k[0,0]",EXACT_DERIVED
E4,4,27,"X[0,0|1,0]","C[0,0]",0,0,1,0,0,0,54,0,Type 4,"s!=t, r=r', u=u'","dead X, correct output position in C","sum_k alpha_k[0,0] * beta_k[1,0] * gamma_k[0,0] = 0","sum_k q_k * gamma_k[0,0] = 0","q_k = alpha_k[0,0] * beta_k[1,0]",EXACT_DERIVED
E5,5,28,"X[0,0|1,0]","C[0,1]",0,0,1,0,0,1,108,0,Type 5,"s!=t, r=r', u!=u'","dead X, same row wrong column in C","sum_k alpha_k[0,0] * beta_k[1,0] * gamma_k[0,1] = 0","sum_k q_k * gamma_k[0,1] = 0","q_k = alpha_k[0,0] * beta_k[1,0]",EXACT_DERIVED
E6,6,30,"X[0,0|1,0]","C[1,0]",0,0,1,0,1,0,108,0,Type 6,"s!=t, r!=r', u=u'","dead X, wrong row same column in C","sum_k alpha_k[0,0] * beta_k[1,0] * gamma_k[1,0] = 0","sum_k q_k * gamma_k[1,0] = 0","q_k = alpha_k[0,0] * beta_k[1,0]",EXACT_DERIVED
E7,7,31,"X[0,0|1,0]","C[1,1]",0,0,1,0,1,1,216,0,Type 7,"s!=t, r!=r', u!=u'","dead X, wrong row and wrong column in C","sum_k alpha_k[0,0] * beta_k[1,0] * gamma_k[1,1] = 0","sum_k q_k * gamma_k[1,1] = 0","q_k = alpha_k[0,0] * beta_k[1,0]",EXACT_DERIVED
