fiber_id,target_c,target_c_name,activated_live_atoms_generic,activated_atoms,coefficient_monomials
0,0,"C[0,0]",3,"['X[0,0|0,0]', 'X[0,1|1,0]', 'X[0,2|2,0]']","['a[0,0]*b[0,0]', 'a[0,1]*b[1,0]', 'a[0,2]*b[2,0]']"
1,1,"C[0,1]",3,"['X[0,0|0,1]', 'X[0,1|1,1]', 'X[0,2|2,1]']","['a[0,0]*b[0,1]', 'a[0,1]*b[1,1]', 'a[0,2]*b[2,1]']"
2,2,"C[0,2]",3,"['X[0,0|0,2]', 'X[0,1|1,2]', 'X[0,2|2,2]']","['a[0,0]*b[0,2]', 'a[0,1]*b[1,2]', 'a[0,2]*b[2,2]']"
3,3,"C[1,0]",3,"['X[1,0|0,0]', 'X[1,1|1,0]', 'X[1,2|2,0]']","['a[1,0]*b[0,0]', 'a[1,1]*b[1,0]', 'a[1,2]*b[2,0]']"
4,4,"C[1,1]",3,"['X[1,0|0,1]', 'X[1,1|1,1]', 'X[1,2|2,1]']","['a[1,0]*b[0,1]', 'a[1,1]*b[1,1]', 'a[1,2]*b[2,1]']"
5,5,"C[1,2]",3,"['X[1,0|0,2]', 'X[1,1|1,2]', 'X[1,2|2,2]']","['a[1,0]*b[0,2]', 'a[1,1]*b[1,2]', 'a[1,2]*b[2,2]']"
6,6,"C[2,0]",3,"['X[2,0|0,0]', 'X[2,1|1,0]', 'X[2,2|2,0]']","['a[2,0]*b[0,0]', 'a[2,1]*b[1,0]', 'a[2,2]*b[2,0]']"
7,7,"C[2,1]",3,"['X[2,0|0,1]', 'X[2,1|1,1]', 'X[2,2|2,1]']","['a[2,0]*b[0,1]', 'a[2,1]*b[1,1]', 'a[2,2]*b[2,1]']"
8,8,"C[2,2]",3,"['X[2,0|0,2]', 'X[2,1|1,2]', 'X[2,2|2,2]']","['a[2,0]*b[0,2]', 'a[2,1]*b[1,2]', 'a[2,2]*b[2,2]']"
