algorithm,matrix_size,R,base_dim,sigma_columns,eta_columns,dead_columns,nuisance_columns,sigma_rank,eta_rank,dead_rank,nuisance_rank,augmented_rank,criterion_holds,lower_bound_from_nuisance,saturates_lower_bound,rank_gap_R_minus_bound,provenance
standard_3x3,3x3,27,9,9,18,54,72,9,18,0,18,27,True,27,True,0,EXACT_DERIVED
strassen_2x2,2x2,7,4,4,4,8,12,4,3,2,3,7,True,7,True,0,EXACT_DERIVED
