rank_step,selected_candidate_id,selected_source,residual_norm_squared,quotient_gain,nuisance_rank,augmented_rank,exact_zero,gamma_vector_json,provenance
1,t09,alphatensor23,26.0,0,1,1,False,"[0.16666666666666674,0.1666666666666667,-0.1666666666666667,0.0,0.0,0.0,0.1666666666666667,0.1666666666666667,-0.1666666666666667]",MEASURED_FROM_CODE
2,t16,alphatensor23,25.0,0,2,2,False,"[0.16666666666666674,0.1666666666666667,-0.1666666666666667,0.0,0.0,0.0,0.1666666666666667,0.1666666666666667,-0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]",MEASURED_FROM_CODE
3,t18,alphatensor23,24.0,0,3,3,False,"[0.16666666666666674,0.1666666666666667,-0.1666666666666667,-0.0,-0.0,-0.0,0.1666666666666667,0.1666666666666667,-0.1666666666666667,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0]",MEASURED_FROM_CODE
4,t20,alphatensor23,23.0,0,4,4,False,"[0.16666666666666674,0.1666666666666667,-0.1666666666666667,-0.0,-0.0,-0.0,0.1666666666666667,0.1666666666666667,-0.1666666666666667,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0]",MEASURED_FROM_CODE
5,t22,alphatensor23,22.0,1,4,5,False,"[0.16666666666666674,0.1666666666666667,-0.1666666666666667,-0.0,-0.0,-0.0,0.1666666666666667,0.1666666666666667,-0.1666666666666667,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0]",MEASURED_FROM_CODE
6,shot5_random_037,random_ternary_neighborhood,21.40875912408759,1,5,6,False,"[0.15328467153284678,0.15328467153284686,-0.18248175182481738,-0.007299270072992595,-0.007299270072992678,2.7755575615628914e-16,0.16788321167883208,0.16788321167883222,-0.16788321167883252,-2.0816681711721685e-17,-9.020562075079397e-17,1.1102230246251565e-16,9.71445146547012e-17,0.0,-2.888314587501384e-16,-2.220446049250313e-16,2.0816681711721685e-17,1.0000000000000002,-6.980229111733238e-17,-8.465450562766819e-16,4.85722573273506e-17,-4.3021142204224816e-16,9.194034422677078e-17,1.0000000000000004,2.7755575615628914e-16,-2.7755575615628914e-16,3.885780586188048e-16,0.08029197080292035,0.0802919708029194,0.09489051094890533,0.043795620437955235,0.043795620437956026,-0.9999999999999998,-0.007299270072992747,-0.007299270072992872,0.007299270072991977,-1.1102230246251565e-16,1.1102230246251565e-16,3.608224830031759e-16,-1.1796119636642288e-16,-8.881784197001252e-16,1.0,3.608224830031759e-16,-1.5265566588595902e-16,4.996003610813204e-16,0.08029197080291953,0.0802919708029195,0.09489051094890513,0.043795620437956206,0.04379562043795637,-4.440892098500626e-16,-0.007299270072992359,-0.007299270072992636,0.007299270072992803]",MEASURED_FROM_CODE
7,t03,alphatensor23,20.729007633587784,1,6,7,False,"[0.15267175572519118,0.14885496183206148,-0.18320610687022887,-0.007633587786259853,-0.011450381679389221,-8.326672684688674e-17,0.16793893129770993,0.16793893129770998,-0.16793893129771012,5.134781488891349e-16,-1.942890293094024e-16,2.7755575615628914e-16,-2.914335439641036e-16,3.8163916471489756e-17,-1.9168694409543718e-16,-6.106226635438361e-16,-3.3306690738754696e-16,0.9999999999999997,-9.71445146547012e-17,4.425713268085829e-16,8.352693536828326e-16,-1.3877787807814457e-16,3.3306690738754696e-16,1.0,4.163336342344337e-17,1.942890293094024e-16,9.228728892196614e-16,0.08396946564885505,0.1068702290076336,0.09923664122137403,0.04580152671755713,0.06870229007633583,-0.9999999999999999,-0.007633587786259194,-0.007633587786259832,0.007633587786259751,0.0,-1.3877787807814457e-16,-1.3877787807814457e-17,-5.551115123125783e-17,1.1102230246251565e-16,0.9999999999999998,-2.7755575615628914e-16,-3.885780586188048e-16,-7.771561172376096e-16,0.08396946564885348,0.10687022900763365,0.09923664122137402,0.04580152671755733,0.06870229007633606,2.7755575615628914e-16,-0.007633587786259444,-0.00763358778625961,0.007633587786259499,0.04198473282442755,0.303435114503817,0.049618320610687494,0.022900763358778498,0.284351145038168,2.2898349882893854e-16,-0.0038167938931297496,-0.0038167938931296247,0.003816793893129944]",MEASURED_FROM_CODE
8,t01,alphatensor23,19.943561208267088,1,7,8,False,"[0.1605723370429252,0.10731319554848803,-0.18600953895071498,-0.006359300476947438,-0.059618441971382934,9.020562075079397e-17,0.17329093799681888,0.17329093799682066,-0.1732909379968187,-1.3877787807814457e-17,2.220446049250313e-16,1.1102230246251565e-16,4.163336342344337e-17,-3.0531133177191805e-16,-5.898059818321144e-16,-9.71445146547012e-17,-1.0755285551056204e-16,0.9999999999999992,-1.1796119636642288e-16,-8.881784197001252e-16,-1.0061396160665481e-16,4.510281037539698e-16,1.6653345369377348e-16,1.0,-4.371503159461554e-16,1.3877787807814457e-17,-8.066464163292153e-16,0.0858505564387918,0.09697933227344988,0.09856915739268664,0.046104928457869725,0.057233704292527776,-1.0000000000000007,-0.006359300476947837,-0.006359300476947365,0.006359300476947591,1.1102230246251565e-16,-2.7755575615628914e-17,-5.273559366969494e-16,-7.389922007661198e-16,-3.885780586188048e-16,1.0000000000000004,-1.2212453270876722e-15,-4.163336342344337e-17,-6.38378239159465e-16,0.08585055643879147,0.09697933227345013,0.09856915739268712,0.04610492845786909,0.05723370429252728,-3.7470027081099033e-16,-0.006359300476947327,-0.006359300476947199,0.006359300476947619,0.018282988871224093,0.42806041335453027,0.05802861685214655,0.019077901430842814,0.4288553259141485,-5.551115123125783e-17,-0.019872813990462007,-0.01987281399046098,0.019872813990462063,0.049284578696343284,-0.25914149443561224,-0.017488076311605497,0.007949125596184825,-0.30047694753577114,1.6653345369377348e-16,0.033386327503974064,0.03338632750397458,-0.03338632750397352]",MEASURED_FROM_CODE
9,t06,alphatensor23,18.522740873728303,2,7,9,False,"[0.1669658886894077,0.08527827648114882,-0.18132854578096955,-0.0035906642728910088,-0.08527827648114902,8.326672684688674e-17,0.17414721723518845,0.17414721723518875,-0.1741472172351884,-2.220446049250313e-16,0.0,-7.216449660063518e-16,1.8041124150158794e-16,-3.0531133177191805e-16,3.885780586188048e-16,1.942890293094024e-16,2.220446049250313e-16,1.0000000000000007,3.382710778154774e-17,-1.1102230246251565e-16,-1.3877787807814457e-17,7.28583859910259e-16,-1.1449174941446927e-16,0.9999999999999998,-5.689893001203927e-16,4.2327252813834093e-16,-5.551115123125783e-17,0.10652304009575106,0.025733093955714367,0.11370436864153115,0.05505685218432109,-0.02573309395571588,-1.0,-0.0035906642728907277,-0.003590664272890544,0.003590664272890446,-7.216449660063518e-16,-1.1102230246251565e-16,-2.0990154059319366e-16,-1.3877787807814457e-16,-1.1102230246251565e-16,1.0000000000000002,2.0816681711721685e-16,-3.400058012914542e-16,-1.942890293094024e-16,0.10652304009575123,0.025733093955715464,0.11370436864153291,0.05505685218431977,-0.025733093955714936,2.7755575615628914e-17,-0.0035906642728928823,-0.0035906642728905647,0.003590664272890237,-0.0008976660682227106,0.4941651705565525,0.0439856373429082,0.010771992818671625,0.5058348294434473,-6.938893903907228e-18,-0.02244165170556489,-0.02244165170556553,0.022441651705565654,0.1083183722321964,-0.46259724715739114,0.025733093955715408,0.03351286654697705,-0.5374027528426103,3.608224830031759e-16,0.041292639138241244,0.041292639138240717,-0.0412926391382409,0.13405146618791156,-0.4619988031119091,0.09814482345900682,0.05804907241172885,-0.5380011968880913,-3.191891195797325e-16,0.017953321364452615,0.017953321364452657,-0.01795332136445242]",MEASURED_FROM_CODE
10,shot5_random_014,random_ternary_neighborhood,17.892014225670867,2,8,10,False,"[0.16530414299570464,0.08556186781211017,-0.18304004433975324,-0.005819592628516099,-0.0855618678121102,3.0531133177191805e-16,0.17625051960648447,0.17417209366772887,-0.17347928502147678,0.04627961756962713,-0.00789801856726946,0.04766523486212416,0.06207565470418061,0.007898018567270543,8.994324382505248e-15,-0.05857697104058657,-0.000692808646251597,0.981398087848135,-1.1934897514720433e-15,6.106226635438361e-16,-2.220446049250313e-16,-6.696032617270475e-16,1.942890293094024e-16,1.000000000000001,-1.8041124150158794e-16,-1.3322676295501878e-15,-1.4432899320127035e-15,0.16285621911228143,0.01611934783612607,0.17172416978430932,0.13061752344002112,-0.01611934783612531,-1.0000000000000047,-0.07489261465983713,-0.004433975336012835,-0.019052237771926078,-0.046279617569627896,0.00789801856726944,-0.04766523486212493,-0.06207565470417885,-0.007898018567269682,0.9999999999999903,0.058576971040589086,0.0006928086462513888,0.01860191215186681,0.11657660154265392,0.02401736640340002,0.12405893492217512,0.06854186873585522,-0.02401736640339945,-3.8163916471489756e-16,-0.016315643619232767,-0.0037411666897599616,-0.00045032562006396687,0.004087571012886173,0.49331439656366916,0.04912013301925937,0.01745877788554856,0.5066856034363307,-4.440892098500626e-16,-0.02875155881945457,-0.02251628100318744,0.020437855064429987,0.1084014595168814,-0.4626114267239391,0.025818668883654583,0.033624312964758596,-0.5373885732760606,-2.220446049250313e-16,0.041187474019675374,0.04129139531661354,-0.04132603574892571,0.1300632765230244,-0.4613181839176021,0.09403722691792571,0.05269964435822755,-0.5386818160823976,-7.632783294297951e-16,0.023001247055562196,0.018013024802549488,-0.016350284051545552,0.046279617569627354,-0.007898018567271736,0.047665234862131624,0.06207565470417095,0.007898018567271108,3.3566899260151217e-16,-0.058576971040598516,-0.0006928086462515415,-0.018601912151865192]",MEASURED_FROM_CODE
