closure_step,set_size,pairs_checked,pairs_inside,pairs_outside,new_escapes,new_escape_ids
1,58,56889,49113,7776,6,"[185, 191, 296, 1031, 1100, 1175]"
2,64,86265,86265,0,0,[]
