tiling_id,piece_count,tiling_signature,pieces,class_ids,total_rank_upper_bound,canonical_class,provenance
23,4,1x domino_col + 1x domino_row + 1x monomino + 1x square_tetromino,"(0,0) | (0,1); (0,2) | (1,0); (2,0) | (1,1); (1,2); (2,1); (2,2)",monomino_class_01;domino_row_class_01;domino_col_class_01;square_tetromino_class_01,26,"(0,0) || (0,1); (0,2) || (1,0); (2,0) || (1,1); (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
24,4,1x domino_row + 1x monomino + 2x tromino_row,"(0,0) | (0,1); (0,2) | (1,0); (1,1); (1,2) | (2,0); (2,1); (2,2)",monomino_class_01;domino_row_class_01;tromino_row_class_01;tromino_row_class_01,27,"(0,0) || (0,1); (0,2) || (1,0); (1,1); (1,2) || (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
25,4,2x L_tromino + 1x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (1,1); (2,0) | (1,2); (2,1); (2,2)",monomino_class_01;domino_row_class_01;L_tromino_class_01;L_tromino_class_01,37,"(0,0) || (0,1); (0,2) || (1,0); (1,1); (2,0) || (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
26,4,2x L_tromino + 1x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (2,0); (2,1) | (1,1); (1,2); (2,2)",monomino_class_01;domino_row_class_01;L_tromino_class_01;L_tromino_class_01,37,"(0,0) || (0,1); (0,2) || (1,0); (1,1); (2,0) || (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
27,5,3x domino_col + 1x domino_row + 1x monomino,"(0,0) | (0,1); (1,1) | (0,2); (1,2) | (1,0); (2,0) | (2,1); (2,2)",monomino_class_01;domino_col_class_01;domino_col_class_01;domino_col_class_01;domino_row_class_01,27,"(0,0) || (0,1); (1,1) || (0,2); (1,2) || (1,0); (2,0) || (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
28,4,1x L_tetromino + 2x domino_col + 1x monomino,"(0,0) | (0,1); (1,1) | (0,2); (1,2) | (1,0); (2,0); (2,1); (2,2)",monomino_class_01;domino_col_class_01;domino_col_class_01;T_tetromino_class_01,32,"(0,0) || (0,1); (1,1) || (0,2); (1,2) || (1,0); (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
29,4,1x L_tromino + 1x domino_col + 1x monomino + 1x tromino_col,"(0,0) | (0,1); (1,1) | (0,2); (1,2); (2,2) | (1,0); (2,0); (2,1)",monomino_class_01;domino_col_class_01;tromino_col_class_01;L_tromino_class_01,32,"(0,0) || (0,1); (1,1) || (0,2); (1,2); (2,2) || (1,0); (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
30,3,1x L_tetromino + 1x S_Z_tetromino + 1x monomino,"(0,0) | (0,1); (0,2); (1,0); (1,1) | (1,2); (2,0); (2,1); (2,2)",monomino_class_01;S_Z_tetromino_class_01;T_tetromino_class_01,36,"(0,0) || (0,1); (0,2); (1,0); (1,1) || (1,2); (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
31,3,1x L_tetromino + 1x monomino + 1x square_tetromino,"(0,0) | (0,1); (0,2); (1,1); (1,2) | (1,0); (2,0); (2,1); (2,2)",monomino_class_01;square_tetromino_class_01;T_tetromino_class_01,31,"(0,0) || (0,1); (0,2); (1,1); (1,2) || (1,0); (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
32,3,1x L_tetromino + 1x monomino + 1x square_tetromino,"(0,0) | (0,1); (0,2); (1,2); (2,2) | (1,0); (1,1); (2,0); (2,1)",monomino_class_01;T_tetromino_class_02;square_tetromino_class_01,28,"(0,0) || (0,1); (0,2); (1,1); (2,1) || (1,0); (1,2); (2,0); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
33,3,1x L_tetromino + 1x S_Z_tetromino + 1x monomino,"(0,0) | (0,1); (1,0); (1,1); (2,0) | (0,2); (1,2); (2,1); (2,2)",monomino_class_01;S_Z_tetromino_class_02;T_tetromino_class_02,35,"(0,0) || (0,1); (1,0); (1,1); (2,0) || (0,2); (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
34,4,1x domino_col + 2x domino_row + 1x tromino_row,"(0,0); (0,1) | (0,2); (1,2) | (1,0); (1,1) | (2,0); (2,1); (2,2)",domino_row_class_01;domino_col_class_01;domino_row_class_01;tromino_row_class_01,27,"(0,0); (0,1) || (0,2); (1,2) || (1,0); (1,1) || (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
35,4,1x L_tromino + 2x domino_col + 1x domino_row,"(0,0); (0,1) | (0,2); (1,2) | (1,0); (2,0) | (1,1); (2,1); (2,2)",domino_row_class_01;domino_col_class_01;domino_col_class_01;L_tromino_class_01,32,"(0,0); (0,1) || (0,2); (1,2) || (1,0); (2,0) || (1,1); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
36,3,1x L_tetromino + 1x L_tromino + 1x domino_row,"(0,0); (0,1) | (0,2); (1,1); (1,2) | (1,0); (2,0); (2,1); (2,2)",domino_row_class_01;L_tromino_class_01;T_tetromino_class_01,37,"(0,0); (0,1) || (0,2); (1,0); (1,2) || (1,1); (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
37,3,1x domino_row + 1x square_tetromino + 1x tromino_col,"(0,0); (0,1) | (0,2); (1,2); (2,2) | (1,0); (1,1); (2,0); (2,1)",domino_row_class_01;tromino_col_class_01;square_tetromino_class_01,26,"(0,0); (0,1) || (0,2); (1,2); (2,2) || (1,0); (1,1); (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
38,4,1x domino_col + 2x domino_row + 1x tromino_row,"(0,0); (1,0) | (0,1); (0,2) | (1,1); (1,2) | (2,0); (2,1); (2,2)",domino_col_class_01;domino_row_class_01;domino_row_class_01;tromino_row_class_01,27,"(0,0); (0,1) || (0,2); (1,2) || (1,0); (1,1) || (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
39,4,3x domino_col + 1x tromino_row,"(0,0); (1,0) | (0,1); (1,1) | (0,2); (1,2) | (2,0); (2,1); (2,2)",domino_col_class_01;domino_col_class_01;domino_col_class_01;tromino_row_class_01,27,"(0,0); (0,1); (0,2) || (1,0); (2,0) || (1,1); (2,1) || (1,2); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
40,3,1x L_tetromino + 1x L_tromino + 1x domino_col,"(0,0); (1,0) | (0,1); (0,2); (1,1) | (1,2); (2,0); (2,1); (2,2)",domino_col_class_01;L_tromino_class_01;T_tetromino_class_01,37,"(0,0); (0,1); (0,2); (1,0) || (1,1); (2,0); (2,1) || (1,2); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
41,3,1x L_tromino + 1x T_tetromino + 1x domino_col,"(0,0); (1,0) | (0,1); (0,2); (1,2) | (1,1); (2,0); (2,1); (2,2)",domino_col_class_01;L_tromino_class_01;T_tetromino_class_01,37,"(0,0); (0,1); (0,2); (1,0) || (1,1); (2,0); (2,1) || (1,2); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
