term_id,source_label,mode00_norm,mode12_norm,mode21_norm,dead_x_mode_norm_total,classification,mode00_vector_json,mode12_vector_json,mode21_vector_json,step67_dominant_layer,step67_dead_x_corrector,provenance
t11,alpha_tensor_rank23_11,2.4494897427831779e+00,2.4494897427831779e+00,2.4494897427831779e+00,4.2426406871192848e+00,multi-mode,"[{""real"":1.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0}]","[{""real"":-0.4999999999999992,""imag"":0.8660254037844389},{""real"":-0.4999999999999992,""imag"":0.8660254037844389},{""real"":0.4999999999999992,""imag"":-0.8660254037844389},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-0.4999999999999992,""imag"":0.8660254037844389},{""real"":-0.4999999999999992,""imag"":0.8660254037844389},{""real"":0.4999999999999992,""imag"":-0.8660254037844389}]","[{""real"":-0.5000000000000009,""imag"":-0.8660254037844379},{""real"":-0.5000000000000009,""imag"":-0.8660254037844379},{""real"":0.5000000000000009,""imag"":0.8660254037844379},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-0.5000000000000009,""imag"":-0.8660254037844379},{""real"":-0.5000000000000009,""imag"":-0.8660254037844379},{""real"":0.5000000000000009,""imag"":0.8660254037844379}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t12,alpha_tensor_rank23_12,2.4494897427831779e+00,2.4494897427831779e+00,2.4494897427831779e+00,4.2426406871192848e+00,multi-mode,"[{""real"":-1.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0}]","[{""real"":0.4999999999999992,""imag"":-0.8660254037844389},{""real"":-0.5000000000000003,""imag"":-0.8660254037844384},{""real"":0.5000000000000003,""imag"":0.8660254037844384},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.4999999999999992,""imag"":-0.8660254037844389},{""real"":-0.5000000000000003,""imag"":-0.8660254037844384},{""real"":0.5000000000000003,""imag"":0.8660254037844384}]","[{""real"":0.5000000000000009,""imag"":0.8660254037844379},{""real"":-0.4999999999999992,""imag"":0.8660254037844389},{""real"":0.4999999999999992,""imag"":-0.8660254037844389},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.5000000000000009,""imag"":0.8660254037844379},{""real"":-0.4999999999999992,""imag"":0.8660254037844389},{""real"":0.4999999999999992,""imag"":-0.8660254037844389}]",dead_x,True,EXACT_DERIVED + MEASURED_FROM_CODE
t13,alpha_tensor_rank23_13,0.0000000000000000e+00,1.7320508075688772e+00,1.7320508075688772e+00,2.4494897427831779e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.1102230246251565e-15,""imag"":-1.7320508075688772},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":5.551115123125783e-16,""imag"":1.7320508075688772},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t14,alpha_tensor_rank23_14,1.4142135623730951e+00,4.1231056256176597e+00,4.1231056256176597e+00,5.9999999999999991e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.1102230246251565e-15,""imag"":-1.7320508075688767},{""real"":0.0,""imag"":0.0},{""real"":0.4999999999999998,""imag"":-0.8660254037844387},{""real"":-2.220446049250313e-15,""imag"":-3.464101615137754},{""real"":0.0,""imag"":0.0},{""real"":0.4999999999999998,""imag"":-0.8660254037844387}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":1.1102230246251565e-15,""imag"":1.7320508075688772},{""real"":0.0,""imag"":0.0},{""real"":0.5000000000000003,""imag"":0.8660254037844384},{""real"":1.6653345369377348e-15,""imag"":3.4641016151377544},{""real"":0.0,""imag"":0.0},{""real"":0.5000000000000003,""imag"":0.8660254037844384}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t15,alpha_tensor_rank23_15,2.0000000000000000e+00,3.9999999999999991e+00,4.0000000000000000e+00,5.9999999999999991e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-1.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.4999999999999981,""imag"":-2.5980762113533156},{""real"":0.0,""imag"":0.0},{""real"":0.4999999999999998,""imag"":-0.8660254037844387},{""real"":0.4999999999999981,""imag"":-2.5980762113533156},{""real"":0.0,""imag"":0.0},{""real"":0.4999999999999998,""imag"":-0.8660254037844387}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.5000000000000014,""imag"":2.5980762113533156},{""real"":0.0,""imag"":0.0},{""real"":0.5000000000000003,""imag"":0.8660254037844384},{""real"":0.5000000000000014,""imag"":2.5980762113533156},{""real"":0.0,""imag"":0.0},{""real"":0.5000000000000003,""imag"":0.8660254037844384}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t16,alpha_tensor_rank23_16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,silent,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t17,alpha_tensor_rank23_17,1.0000000000000000e+00,9.9999999999999978e-01,9.9999999999999989e-01,1.7320508075688770e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-0.4999999999999992,""imag"":0.8660254037844389},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-0.5000000000000003,""imag"":-0.8660254037844384},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t18,alpha_tensor_rank23_18,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,silent,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t19,alpha_tensor_rank23_19,1.0000000000000000e+00,9.9999999999999978e-01,9.9999999999999989e-01,1.7320508075688770e+00,multi-mode,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":1.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-0.4999999999999992,""imag"":0.8660254037844389},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":-0.5000000000000003,""imag"":-0.8660254037844384},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
t20,alpha_tensor_rank23_20,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,silent,"[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]","[{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0},{""real"":0.0,""imag"":0.0}]",,,EXACT_DERIVED + MEASURED_FROM_CODE
