cxc_interface_orbit,stab_type_A,stab_type_B,stab_type_output,pair_count,fraction
7,Trivial,Z2,Trivial,62208,0.8888888888888888
7,Z2,Trivial,Z2,7776,0.1111111111111111
7,Z2,Trivial,Trivial,62208,0.8888888888888888
7,Z2,Z2,Z2xZ2,972,0.1111111111111111
7,Z2,Z2,Z2,7776,0.8888888888888888
8,Trivial,Trivial,Trivial,542376,0.96875
8,Trivial,Trivial,Z2,17496,0.03125
8,Trivial,Z2,Trivial,69984,1.0
8,Z2,Trivial,Trivial,69984,1.0
8,Z2,Z2,Z2,8748,1.0
9,Trivial,Trivial,Trivial,542376,0.96875
9,Trivial,Trivial,Z2,17496,0.03125
9,Trivial,Z2,Trivial,69984,1.0
9,Z2,Trivial,Trivial,69984,1.0
9,Z2,Z2,Z2,8748,1.0
10,Trivial,Trivial,Z2,2592,0.037037037037037035
10,Trivial,Trivial,Trivial,67392,0.9629629629629629
10,Trivial,Z2,Z2,2592,0.037037037037037035
10,Trivial,Z2,Trivial,67392,0.9629629629629629
10,Trivial,Z2xZ2,Z2,648,0.037037037037037035
10,Trivial,Z2xZ2,Trivial,16848,0.9629629629629629
10,Z2,Trivial,Z2,2592,0.037037037037037035
10,Z2,Trivial,Trivial,67392,0.9629629629629629
10,Z2,Z2,Z2xZ2,1296,0.018518518518518517
10,Z2,Z2,Z2,34992,0.5
10,Z2,Z2,Trivial,33696,0.48148148148148145
10,Z2,Z2xZ2,Z2xZ2,648,0.037037037037037035
10,Z2,Z2xZ2,Z2,16848,0.9629629629629629
10,Z2xZ2,Trivial,Z2,648,0.037037037037037035
10,Z2xZ2,Trivial,Trivial,16848,0.9629629629629629
10,Z2xZ2,Z2,Z2xZ2,648,0.037037037037037035
10,Z2xZ2,Z2,Z2,16848,0.9629629629629629
10,Z2xZ2,Z2xZ2,(Z2)^3,162,0.037037037037037035
10,Z2xZ2,Z2xZ2,Z2xZ2,4212,0.9629629629629629
11,Trivial,Trivial,Z2,11664,0.037037037037037035
11,Trivial,Trivial,Trivial,303264,0.9629629629629629
11,Trivial,Z2,Z2,5832,0.037037037037037035
11,Trivial,Z2,Trivial,151632,0.9629629629629629
11,Z2,Trivial,Z2,5832,0.037037037037037035
11,Z2,Trivial,Trivial,151632,0.9629629629629629
11,Z2,Z2,Z2xZ2,2916,0.037037037037037035
11,Z2,Z2,Z2,75816,0.9629629629629629
12,Trivial,Trivial,Z2,11664,0.037037037037037035
12,Trivial,Trivial,Trivial,303264,0.9629629629629629
12,Trivial,Z2,Z2,5832,0.037037037037037035
12,Trivial,Z2,Trivial,151632,0.9629629629629629
12,Z2,Trivial,Z2,5832,0.037037037037037035
12,Z2,Trivial,Trivial,151632,0.9629629629629629
12,Z2,Z2,Z2xZ2,2916,0.037037037037037035
12,Z2,Z2,Z2,75816,0.9629629629629629
13,Trivial,Trivial,Z2,52488,0.037037037037037035
13,Trivial,Trivial,Trivial,1364688,0.9629629629629629
14,Trivial,Trivial,Z2xZ2,1296,0.00411522633744856
14,Trivial,Trivial,Z2,44064,0.13991769547325103
14,Trivial,Trivial,Trivial,269568,0.8559670781893004
14,Trivial,Z2,Z2xZ2,648,0.00411522633744856
14,Trivial,Z2,Z2,22032,0.13991769547325103
14,Trivial,Z2,Trivial,134784,0.8559670781893004
14,Z2,Trivial,Z2xZ2,648,0.00411522633744856
14,Z2,Trivial,Z2,22032,0.13991769547325103
14,Z2,Trivial,Trivial,134784,0.8559670781893004
14,Z2,Z2,(Z2)^3,324,0.00411522633744856
14,Z2,Z2,Z2xZ2,11016,0.13991769547325103
14,Z2,Z2,Z2,67392,0.8559670781893004
15,Trivial,Trivial,Z2,11664,0.037037037037037035
15,Trivial,Trivial,Trivial,303264,0.9629629629629629
15,Trivial,Z2,Z2,5832,0.037037037037037035
15,Trivial,Z2,Trivial,151632,0.9629629629629629
15,Z2,Trivial,Z2,5832,0.037037037037037035
15,Z2,Trivial,Trivial,151632,0.9629629629629629
15,Z2,Z2,Z2xZ2,2916,0.037037037037037035
15,Z2,Z2,Z2,75816,0.9629629629629629
16,Trivial,Trivial,Z2,11664,0.037037037037037035
16,Trivial,Trivial,Trivial,303264,0.9629629629629629
16,Trivial,Z2,Z2,5832,0.037037037037037035
16,Trivial,Z2,Trivial,151632,0.9629629629629629
16,Z2,Trivial,Z2,5832,0.037037037037037035
16,Z2,Trivial,Trivial,151632,0.9629629629629629
16,Z2,Z2,Z2xZ2,2916,0.037037037037037035
16,Z2,Z2,Z2,75816,0.9629629629629629
17,Trivial,Trivial,Z2xZ2,5832,0.00411522633744856
17,Trivial,Trivial,Z2,198288,0.13991769547325103
17,Trivial,Trivial,Trivial,1213056,0.8559670781893004
18,Trivial,Trivial,Z2,52488,0.037037037037037035
18,Trivial,Trivial,Trivial,1364688,0.9629629629629629
19,Trivial,Trivial,Z2,52488,0.037037037037037035
19,Trivial,Trivial,Trivial,1364688,0.9629629629629629
20,Trivial,Trivial,Z2,16848,0.13541666666666666
20,Trivial,Trivial,Trivial,107136,0.8611111111111112
20,Trivial,Trivial,Z2xZ2,432,0.003472222222222222
20,Trivial,Z2,Z2,10152,0.13055555555555556
20,Trivial,Z2,Trivial,67392,0.8666666666666667
20,Trivial,Z2,Z2xZ2,216,0.002777777777777778
20,Trivial,Z2xZ2,Z2,864,0.1111111111111111
20,Trivial,Z2xZ2,Trivial,6912,0.8888888888888888
20,Z2,Trivial,Z2,10152,0.13055555555555556
20,Z2,Trivial,Trivial,67392,0.8666666666666667
20,Z2,Trivial,Z2xZ2,216,0.002777777777777778
20,Z2,Z2,Z2xZ2,4428,0.09111111111111111
20,Z2,Z2,Z2,30240,0.6222222222222222
20,Z2,Z2,Trivial,13824,0.28444444444444444
20,Z2,Z2,(Z2)^3,108,0.0022222222222222222
20,Z2,Z2xZ2,Z2xZ2,540,0.1111111111111111
20,Z2,Z2xZ2,Z2,4320,0.8888888888888888
20,Z2xZ2,Trivial,Z2,864,0.1111111111111111
20,Z2xZ2,Trivial,Trivial,6912,0.8888888888888888
20,Z2xZ2,Z2,Z2xZ2,540,0.1111111111111111
20,Z2xZ2,Z2,Z2,4320,0.8888888888888888
20,Z2xZ2,Z2xZ2,(Z2)^3,54,0.1111111111111111
20,Z2xZ2,Z2xZ2,Z2xZ2,432,0.8888888888888888
21,Trivial,Trivial,Z2,75816,0.13541666666666666
21,Trivial,Trivial,Trivial,482112,0.8611111111111112
21,Trivial,Trivial,Z2xZ2,1944,0.003472222222222222
21,Trivial,Z2,Z2,7776,0.1111111111111111
21,Trivial,Z2,Trivial,62208,0.8888888888888888
21,Z2,Trivial,Z2,7776,0.1111111111111111
21,Z2,Trivial,Trivial,62208,0.8888888888888888
21,Z2,Z2,Z2xZ2,972,0.1111111111111111
21,Z2,Z2,Z2,7776,0.8888888888888888
22,Trivial,Trivial,Trivial,120528,0.96875
22,Trivial,Trivial,Z2,3888,0.03125
22,Trivial,Z2,Trivial,75816,0.975
22,Trivial,Z2,Z2,1944,0.025
22,Trivial,Z2xZ2,Trivial,7776,1.0
22,Z2,Trivial,Trivial,75816,0.975
22,Z2,Trivial,Z2,1944,0.025
22,Z2,Z2,Z2,32076,0.66
22,Z2,Z2,Trivial,15552,0.32
22,Z2,Z2,Z2xZ2,972,0.02
22,Z2,Z2xZ2,Z2,4860,1.0
22,Z2xZ2,Trivial,Trivial,7776,1.0
22,Z2xZ2,Z2,Z2,4860,1.0
22,Z2xZ2,Z2xZ2,Z2xZ2,486,1.0
23,Trivial,Trivial,Trivial,542376,0.96875
23,Trivial,Trivial,Z2,17496,0.03125
23,Trivial,Z2,Trivial,69984,1.0
23,Z2,Trivial,Trivial,69984,1.0
23,Z2,Z2,Z2,8748,1.0
24,Trivial,Trivial,Trivial,120528,0.96875
24,Trivial,Trivial,Z2,3888,0.03125
24,Trivial,Z2,Trivial,75816,0.975
24,Trivial,Z2,Z2,1944,0.025
24,Trivial,Z2xZ2,Trivial,7776,1.0
24,Z2,Trivial,Trivial,75816,0.975
24,Z2,Trivial,Z2,1944,0.025
24,Z2,Z2,Z2,32076,0.66
24,Z2,Z2,Trivial,15552,0.32
24,Z2,Z2,Z2xZ2,972,0.02
24,Z2,Z2xZ2,Z2,4860,1.0
24,Z2xZ2,Trivial,Trivial,7776,1.0
24,Z2xZ2,Z2,Z2,4860,1.0
24,Z2xZ2,Z2xZ2,Z2xZ2,486,1.0
25,Trivial,Trivial,Trivial,542376,0.96875
25,Trivial,Trivial,Z2,17496,0.03125
25,Trivial,Z2,Trivial,69984,1.0
25,Z2,Trivial,Trivial,69984,1.0
25,Z2,Z2,Z2,8748,1.0
26,Trivial,Trivial,Z2xZ2,10152,0.018132716049382717
26,Trivial,Trivial,Z2,120960,0.21604938271604937
26,Trivial,Trivial,Trivial,428544,0.7654320987654321
26,Trivial,Trivial,(Z2)^3,216,0.00038580246913580245
26,Trivial,Z2,Z2xZ2,864,0.012345679012345678
26,Trivial,Z2,Z2,13824,0.19753086419753085
26,Trivial,Z2,Trivial,55296,0.7901234567901234
26,Z2,Trivial,Z2xZ2,864,0.012345679012345678
26,Z2,Trivial,Z2,13824,0.19753086419753085
26,Z2,Trivial,Trivial,55296,0.7901234567901234
26,Z2,Z2,(Z2)^3,108,0.012345679012345678
26,Z2,Z2,Z2xZ2,1728,0.19753086419753085
26,Z2,Z2,Z2,6912,0.7901234567901234
27,Trivial,Trivial,Z2,75816,0.13541666666666666
27,Trivial,Trivial,Trivial,482112,0.8611111111111112
27,Trivial,Trivial,Z2xZ2,1944,0.003472222222222222
27,Trivial,Z2,Z2,7776,0.1111111111111111
27,Trivial,Z2,Trivial,62208,0.8888888888888888
27,Z2,Trivial,Z2,7776,0.1111111111111111
27,Z2,Trivial,Trivial,62208,0.8888888888888888
27,Z2,Z2,Z2xZ2,972,0.1111111111111111
27,Z2,Z2,Z2,7776,0.8888888888888888
28,Trivial,Trivial,Z2,75816,0.13541666666666666
28,Trivial,Trivial,Trivial,482112,0.8611111111111112
28,Trivial,Trivial,Z2xZ2,1944,0.003472222222222222
28,Trivial,Z2,Z2,7776,0.1111111111111111
28,Trivial,Z2,Trivial,62208,0.8888888888888888
28,Z2,Trivial,Z2,7776,0.1111111111111111
28,Z2,Trivial,Trivial,62208,0.8888888888888888
28,Z2,Z2,Z2xZ2,972,0.1111111111111111
28,Z2,Z2,Z2,7776,0.8888888888888888
29,Trivial,Trivial,Z2,75816,0.13541666666666666
29,Trivial,Trivial,Trivial,482112,0.8611111111111112
29,Trivial,Trivial,Z2xZ2,1944,0.003472222222222222
29,Trivial,Z2,Z2,7776,0.1111111111111111
29,Trivial,Z2,Trivial,62208,0.8888888888888888
29,Z2,Trivial,Z2,7776,0.1111111111111111
29,Z2,Trivial,Trivial,62208,0.8888888888888888
29,Z2,Z2,Z2xZ2,972,0.1111111111111111
29,Z2,Z2,Z2,7776,0.8888888888888888
30,Trivial,Trivial,Trivial,542376,0.96875
30,Trivial,Trivial,Z2,17496,0.03125
30,Trivial,Z2,Trivial,69984,1.0
30,Z2,Trivial,Trivial,69984,1.0
30,Z2,Z2,Z2,8748,1.0
31,Trivial,Trivial,Trivial,542376,0.96875
31,Trivial,Trivial,Z2,17496,0.03125
31,Trivial,Z2,Trivial,69984,1.0
31,Z2,Trivial,Trivial,69984,1.0
31,Z2,Z2,Z2,8748,1.0
32,Trivial,Trivial,Z2,75816,0.13541666666666666
32,Trivial,Trivial,Trivial,482112,0.8611111111111112
32,Trivial,Trivial,Z2xZ2,1944,0.003472222222222222
32,Trivial,Z2,Z2,7776,0.1111111111111111
32,Trivial,Z2,Trivial,62208,0.8888888888888888
32,Z2,Trivial,Z2,7776,0.1111111111111111
32,Z2,Trivial,Trivial,62208,0.8888888888888888
32,Z2,Z2,Z2xZ2,972,0.1111111111111111
32,Z2,Z2,Z2,7776,0.8888888888888888
33,Trivial,Trivial,Trivial,542376,0.96875
33,Trivial,Trivial,Z2,17496,0.03125
33,Trivial,Z2,Trivial,69984,1.0
33,Z2,Trivial,Trivial,69984,1.0
33,Z2,Z2,Z2,8748,1.0
34,Trivial,Trivial,Trivial,542376,0.96875
34,Trivial,Trivial,Z2,17496,0.03125
34,Trivial,Z2,Trivial,69984,1.0
34,Z2,Trivial,Trivial,69984,1.0
34,Z2,Z2,Z2,8748,1.0
35,Trivial,Trivial,Z2xZ2,1296,0.00411522633744856
35,Trivial,Trivial,Z2,44064,0.13991769547325103
35,Trivial,Trivial,Trivial,269568,0.8559670781893004
35,Trivial,Z2,Z2xZ2,648,0.00411522633744856
35,Trivial,Z2,Z2,22032,0.13991769547325103
35,Trivial,Z2,Trivial,134784,0.8559670781893004
35,Z2,Trivial,Z2xZ2,648,0.00411522633744856
35,Z2,Trivial,Z2,22032,0.13991769547325103
35,Z2,Trivial,Trivial,134784,0.8559670781893004
35,Z2,Z2,(Z2)^3,324,0.00411522633744856
35,Z2,Z2,Z2xZ2,11016,0.13991769547325103
35,Z2,Z2,Z2,67392,0.8559670781893004
36,Trivial,Trivial,Z2xZ2,5832,0.00411522633744856
36,Trivial,Trivial,Z2,198288,0.13991769547325103
36,Trivial,Trivial,Trivial,1213056,0.8559670781893004
37,Trivial,Trivial,Z2,11664,0.037037037037037035
37,Trivial,Trivial,Trivial,303264,0.9629629629629629
37,Trivial,Z2,Z2,5832,0.037037037037037035
37,Trivial,Z2,Trivial,151632,0.9629629629629629
37,Z2,Trivial,Z2,5832,0.037037037037037035
37,Z2,Trivial,Trivial,151632,0.9629629629629629
