comm_term,anti_term,max_abs_difference_after_normalization,normalized_dot_product,abs_normalized_dot_product,comm_scale,anti_scale,matched_rank1_term,cancels_in_half_sum_if_matched,provenance
c01,s01,2.8289183018736891e-01,-1.0318596313464875e-02,1.0318596313464875e-02,3.5463934824844814e+00,3.0909200616253676e+00,False,False,EXACT_DERIVED
c01,s02,2.7820556362876803e-01,1.9967864961726255e-03,1.9967864961726255e-03,3.5463934824844814e+00,2.1113969268093742e+00,False,False,EXACT_DERIVED
c01,s03,3.2775769586783782e-01,-1.0249102968036573e-01,1.0249102968036573e-01,3.5463934824844814e+00,-2.3351217510006146e+00,False,False,EXACT_DERIVED
c01,s04,3.1392863618404565e-01,2.6143442818712150e-02,2.6143442818712150e-02,3.5463934824844814e+00,4.6789327920116177e+00,False,False,EXACT_DERIVED
c01,s05,3.1216251609974310e-01,8.5891581566320180e-02,8.5891581566320180e-02,3.5463934824844814e+00,-3.4597650304208645e+00,False,False,EXACT_DERIVED
c01,s06,4.4763879620512143e-01,1.1436204986034896e-02,1.1436204986034896e-02,3.5463934824844814e+00,-2.1792202055039831e+00,False,False,EXACT_DERIVED
c01,s07,2.8774070522888434e-01,-1.8852153507003311e-02,1.8852153507003311e-02,3.5463934824844814e+00,2.5659582297407053e+00,False,False,EXACT_DERIVED
c01,s08,8.6721058343180280e-01,6.7764092112445719e-03,6.7764092112445719e-03,3.5463934824844814e+00,2.1925846888267437e+00,False,False,EXACT_DERIVED
c01,s09,2.7313949421380995e-01,-7.2028114602470375e-03,7.2028114602470375e-03,3.5463934824844814e+00,-2.7277522670412999e+00,False,False,EXACT_DERIVED
c01,s10,3.7233129503907381e-01,-2.9343419751934070e-03,2.9343419751934070e-03,3.5463934824844814e+00,3.9539790864854716e+00,False,False,EXACT_DERIVED
c01,s11,3.8499307182960657e-01,-7.6432804015284326e-03,7.6432804015284326e-03,3.5463934824844814e+00,2.3108509513644933e+00,False,False,EXACT_DERIVED
c01,s12,2.6391727809413967e-01,-6.2226019241224159e-02,6.2226019241224159e-02,3.5463934824844814e+00,-4.2274508949232361e+00,False,False,EXACT_DERIVED
