case_id,track,seed,support_signature,nnz_alpha,nnz_beta,nnz_gamma,status,viable,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,independent_variable_rank,dropped_variable_count,fixed_gauge_count,gamma_union_size,alpha_union_size,beta_union_size,full_gamma_coverage,unique_gamma_support_count,error
step83b_track2_screen_0013,track2_screen,8302013,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,78.9749972049979,9.652369668007264,55.079970997570065,133,0,38,9,9,9,True,16,
step83b_track2_screen_0014,track2_screen,8302014,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,106.63348894944879,10.547529974608484,66.85083763799453,171,0,38,9,9,9,True,16,
step83b_track2_screen_0015,track2_screen,8302015,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,98.15797651045645,10.668683394487163,63.79762409705451,152,0,38,9,9,9,True,19,
step83b_track2_screen_0016,track2_screen,8302016,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,97.76862163170907,9.407556574109455,59.39676593361723,152,0,38,9,9,9,True,17,
step83b_track2_screen_0017,track2_screen,8302017,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,174.44873906573682,12.995464486162572,83.66849426525023,190,0,38,9,9,9,True,18,
step83b_track2_screen_0018,track2_screen,8302018,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,124.7485386012325,8.660189110049924,52.26875785310896,152,0,38,9,9,9,True,14,
step83b_track2_screen_0019,track2_screen,8302019,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,104.67871983727586,11.31265167190698,57.7478682461753,133,0,38,9,9,9,True,17,
step83b_track2_screen_0020,track2_screen,8302020,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,137.41162792875883,13.238774375003679,64.9937294006672,171,0,38,9,9,9,True,17,
step83b_track2_screen_0021,track2_screen,8302021,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,62.84329809017136,10.873093780062353,65.1827976970334,152,0,38,9,9,9,True,17,
step83b_track2_screen_0022,track2_screen,8302022,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,194.14315797396702,9.607176883610176,57.88495189284275,152,0,38,9,9,9,True,18,
step83b_track2_screen_0023,track2_screen,8302023,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,167.19832822500103,12.541237401839483,85.66094859625905,190,0,38,9,9,9,True,17,
step83b_track2_screen_0024,track2_screen,8302024,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,94.0540842031357,9.46627415816393,51.49018790630397,152,0,38,9,9,9,True,17,
step83b_track2_screen_0025,track2_screen,8302025,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,78.9354625355399,11.038368758953403,55.347836538272034,133,0,38,9,9,9,True,17,
step83b_track2_screen_0026,track2_screen,8302026,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,92.49988502174483,12.016313691133867,65.93781987945952,171,0,38,9,9,9,True,15,
step83b_track2_screen_0027,track2_screen,8302027,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,109.0431072047774,9.10768872613941,59.44238250843897,152,0,38,9,9,9,True,17,
step83b_track2_screen_0028,track2_screen,8302028,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,143.2723015050163,10.872265811301903,57.883478677471984,152,0,38,9,9,9,True,19,
step83b_track2_screen_0029,track2_screen,8302029,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,119.4081300440903,17.137095221711405,84.71880913418863,190,0,38,9,9,9,True,19,
step83b_track2_screen_0030,track2_screen,8302030,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,52.37285780828317,8.590627366672875,50.273220549424636,152,0,38,9,9,9,True,17,
step83b_track2_screen_0031,track2_screen,8302031,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,54.644024976278196,7.397930410583237,46.740379681349566,133,0,38,9,9,9,True,17,
step83b_track2_screen_0032,track2_screen,8302032,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,158.5170346949583,12.875080504379211,84.17727149301314,171,0,38,9,9,9,True,18,
step83b_track2_screen_0033,track2_screen,8302033,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,78.83769861304698,12.27891474018566,62.65155242020928,152,0,38,9,9,9,True,16,
step83b_track2_screen_0034,track2_screen,8302034,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,81.84685191343179,10.301462259877589,57.31904012157933,152,0,38,9,9,9,True,17,
step83b_track2_screen_0035,track2_screen,8302035,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,145.68680530810286,15.188659541588716,83.24723491312024,190,0,38,9,9,9,True,19,
step83b_track2_screen_0036,track2_screen,8302036,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,112.7222596816939,8.967946051585367,53.82163105662478,152,0,38,8,9,9,False,16,
step83b_track2_screen_0037,track2_screen,8302037,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,128.35124187705415,10.360250268975506,47.21615823332874,133,0,38,9,9,9,True,15,
step83b_track2_screen_0038,track2_screen,8302038,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,107.62289441892818,13.288707050028094,72.94680315218751,171,0,38,9,9,9,True,17,
step83b_track2_screen_0039,track2_screen,8302039,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,77.77970916625146,11.239837977075304,63.19347157539227,152,0,38,9,9,9,True,16,
step83b_track2_screen_0040,track2_screen,8302040,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,112.8709283364128,7.905527551245966,56.13363580599358,152,0,38,9,9,9,True,16,
step83b_track2_screen_0041,track2_screen,8302041,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,107.03834322142025,12.243021120499751,88.47998945470754,190,0,38,9,9,9,True,18,
step83b_track2_screen_0042,track2_screen,8302042,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,150.48971497155526,12.361367472198634,61.16978611411767,152,0,38,9,9,9,True,15,
step83b_track2_screen_0043,track2_screen,8302043,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,64.51676379180698,10.601805472228152,53.68511113607152,133,0,38,9,9,9,True,17,
step83b_track2_screen_0044,track2_screen,8302044,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,200.1753901662761,10.193426307361436,57.54692920989,171,0,38,9,9,9,True,18,
step83b_track2_screen_0045,track2_screen,8302045,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,65.84015162455128,8.671675180185826,52.89722090330121,152,0,38,9,9,9,True,19,
step83b_track2_screen_0046,track2_screen,8302046,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,90.25537326940227,10.579489580741669,62.94460652240073,152,0,38,9,9,9,True,18,
step83b_track2_screen_0047,track2_screen,8302047,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,96.1162426242681,11.91945871946604,78.7080623674248,190,0,38,9,9,9,True,19,
step83b_track2_screen_0048,track2_screen,8302048,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,71.25345909593659,9.37144606399116,54.34732227189433,152,0,38,9,9,9,True,17,
step83b_track2_screen_0049,track2_screen,8302049,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,60.64043265353923,10.301326630020444,57.03812125502061,133,0,38,9,9,9,True,17,
step83b_track2_screen_0050,track2_screen,8302050,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,120.2351589309454,12.792533400120636,69.59140301447069,171,0,38,9,9,9,True,17,
step83b_track2_screen_0051,track2_screen,8302051,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,130.4301714149135,11.93095114125795,70.55668198466026,152,0,38,9,9,9,True,16,
step83b_track2_screen_0052,track2_screen,8302052,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,107.22566742001935,9.671571434007873,57.168513473266756,152,0,38,9,9,9,True,17,
step83b_track2_screen_0053,track2_screen,8302053,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,164.31880263929804,10.625525387928876,82.67034971154352,190,0,38,9,9,9,True,16,
step83b_track2_screen_0054,track2_screen,8302054,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,98.23308566294695,8.314546336990263,44.45757833804515,152,0,38,9,9,9,True,15,
step83b_track2_screen_0055,track2_screen,8302055,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,50.249846490146346,9.751559001601805,53.00518708152532,133,0,38,9,9,9,True,16,
step83b_track2_screen_0056,track2_screen,8302056,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,231.83775072383335,12.607198059335186,69.9268439957517,171,0,38,9,9,9,True,15,
step83b_track2_screen_0057,track2_screen,8302057,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,161.7870684777233,8.798002340204702,62.692798241610056,152,0,38,9,9,9,True,19,
step83b_track2_screen_0058,track2_screen,8302058,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,203.00645775797827,11.254465941637449,59.709025488107464,152,0,38,9,9,9,True,16,
step83b_track2_screen_0059,track2_screen,8302059,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,175.60378171220472,11.958613572311524,92.04928778924214,190,0,38,9,9,9,True,19,
step83b_track2_screen_0060,track2_screen,8302060,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,103.821473800302,7.2550801109697804,51.11823998704668,152,0,38,9,9,9,True,16,
