tiling_id,piece_count,tiling_signature,pieces,class_ids,total_verified_cost,beats_23,provenance
1,9,9x monomino,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2) | (2,0) | (2,1) | (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01,27,False,EXACT_DERIVED
2,8,1x domino_row + 7x monomino,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2) | (2,0) | (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;domino_row_class_01,27,False,EXACT_DERIVED
3,7,6x monomino + 1x tromino_row,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2) | (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
4,7,1x domino_col + 1x domino_row + 5x monomino,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2); (2,2) | (2,0); (2,1)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;domino_col_class_01;domino_row_class_01,27,False,EXACT_DERIVED
5,6,1x L_tetromino + 5x monomino,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2); (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;L_tetromino_class_01,27,False,EXACT_DERIVED
6,6,1x domino_row + 4x monomino + 1x tromino_row,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1); (1,2) | (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;domino_row_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
7,6,1x domino_col + 2x domino_row + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (1,1) | (1,2); (2,2) | (2,0); (2,1)",monomino_class_01;monomino_class_01;monomino_class_01;domino_row_class_01;domino_col_class_01;domino_row_class_01,27,False,EXACT_DERIVED
8,5,1x L_tetromino + 1x domino_row + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (1,1) | (1,2); (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;domino_row_class_01;L_tetromino_class_01,27,False,EXACT_DERIVED
9,6,1x domino_col + 2x domino_row + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (2,0) | (1,1); (1,2) | (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;domino_col_class_01;domino_row_class_01;domino_row_class_01,27,False,EXACT_DERIVED
10,6,3x domino_col + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (2,0) | (1,1); (2,1) | (1,2); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;domino_col_class_01;domino_col_class_01;domino_col_class_01,27,False,EXACT_DERIVED
11,5,1x domino_col + 3x monomino + 1x square_tetromino,"(0,0) | (0,1) | (0,2) | (1,0); (2,0) | (1,1); (1,2); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;domino_col_class_01;square_tetromino_class_01,26,False,EXACT_DERIVED
12,5,3x monomino + 2x tromino_row,"(0,0) | (0,1) | (0,2) | (1,0); (1,1); (1,2) | (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;tromino_row_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
13,5,2x L_tromino + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (1,1); (2,0) | (1,2); (2,1); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;L_tromino_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
14,5,2x L_tromino + 3x monomino,"(0,0) | (0,1) | (0,2) | (1,0); (2,0); (2,1) | (1,1); (1,2); (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;L_tromino_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
15,5,1x domino_col + 1x domino_row + 2x monomino + 1x tromino_row,"(0,0) | (0,1) | (0,2); (1,2) | (1,0); (1,1) | (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;domino_col_class_01;domino_row_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
16,5,1x L_tromino + 2x domino_col + 2x monomino,"(0,0) | (0,1) | (0,2); (1,2) | (1,0); (2,0) | (1,1); (2,1); (2,2)",monomino_class_01;monomino_class_01;domino_col_class_01;domino_col_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
17,4,1x L_tetromino + 1x L_tromino + 2x monomino,"(0,0) | (0,1) | (0,2); (1,1); (1,2) | (1,0); (2,0); (2,1); (2,2)",monomino_class_01;monomino_class_01;L_tromino_class_01;L_tetromino_class_01,27,False,EXACT_DERIVED
18,4,2x monomino + 1x square_tetromino + 1x tromino_col,"(0,0) | (0,1) | (0,2); (1,2); (2,2) | (1,0); (1,1); (2,0); (2,1)",monomino_class_01;monomino_class_01;tromino_col_class_01;square_tetromino_class_01,26,False,EXACT_DERIVED
19,5,1x domino_col + 3x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (1,1) | (1,2); (2,2) | (2,0); (2,1)",monomino_class_01;domino_row_class_01;domino_row_class_01;domino_col_class_01;domino_row_class_01,27,False,EXACT_DERIVED
20,4,1x L_tetromino + 2x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (1,1) | (1,2); (2,0); (2,1); (2,2)",monomino_class_01;domino_row_class_01;domino_row_class_01;L_tetromino_class_01,27,False,EXACT_DERIVED
21,5,1x domino_col + 3x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (2,0) | (1,1); (1,2) | (2,1); (2,2)",monomino_class_01;domino_row_class_01;domino_col_class_01;domino_row_class_01;domino_row_class_01,27,False,EXACT_DERIVED
22,5,3x domino_col + 1x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (2,0) | (1,1); (2,1) | (1,2); (2,2)",monomino_class_01;domino_row_class_01;domino_col_class_01;domino_col_class_01;domino_col_class_01,27,False,EXACT_DERIVED
23,4,1x domino_col + 1x domino_row + 1x monomino + 1x square_tetromino,"(0,0) | (0,1); (0,2) | (1,0); (2,0) | (1,1); (1,2); (2,1); (2,2)",monomino_class_01;domino_row_class_01;domino_col_class_01;square_tetromino_class_01,26,False,EXACT_DERIVED
