profile_id,alpha,beta,profile,provenance
0,"[[-1, -1], [-1, -1]]","[[-1, -1], [-1, -1]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",EXACT_DERIVED
1,"[[-1, -1], [-1, -1]]","[[-1, -1], [-1, 0]]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0]",EXACT_DERIVED
2,"[[-1, -1], [-1, -1]]","[[-1, -1], [-1, 1]]","[1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1]",EXACT_DERIVED
3,"[[-1, -1], [-1, -1]]","[[-1, -1], [0, -1]]","[1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1]",EXACT_DERIVED
4,"[[-1, -1], [-1, -1]]","[[-1, -1], [0, 0]]","[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",EXACT_DERIVED
5,"[[-1, -1], [-1, -1]]","[[-1, -1], [0, 1]]","[1, 1, 0, -1, 1, 1, 0, -1, 1, 1, 0, -1, 1, 1, 0, -1]",EXACT_DERIVED
6,"[[-1, -1], [-1, -1]]","[[-1, -1], [1, -1]]","[1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1]",EXACT_DERIVED
7,"[[-1, -1], [-1, -1]]","[[-1, -1], [1, 0]]","[1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0]",EXACT_DERIVED
8,"[[-1, -1], [-1, -1]]","[[-1, -1], [1, 1]]","[1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1]",EXACT_DERIVED
9,"[[-1, -1], [-1, -1]]","[[-1, 0], [-1, -1]]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1]",EXACT_DERIVED
10,"[[-1, -1], [-1, -1]]","[[-1, 0], [-1, 0]]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",EXACT_DERIVED
11,"[[-1, -1], [-1, -1]]","[[-1, 0], [-1, 1]]","[1, 0, 1, -1, 1, 0, 1, -1, 1, 0, 1, -1, 1, 0, 1, -1]",EXACT_DERIVED
12,"[[-1, -1], [-1, -1]]","[[-1, 0], [0, -1]]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1]",EXACT_DERIVED
13,"[[-1, -1], [-1, -1]]","[[-1, 0], [0, 0]]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",EXACT_DERIVED
14,"[[-1, -1], [-1, -1]]","[[-1, 0], [0, 1]]","[1, 0, 0, -1, 1, 0, 0, -1, 1, 0, 0, -1, 1, 0, 0, -1]",EXACT_DERIVED
15,"[[-1, -1], [-1, -1]]","[[-1, 0], [1, -1]]","[1, 0, -1, 1, 1, 0, -1, 1, 1, 0, -1, 1, 1, 0, -1, 1]",EXACT_DERIVED
16,"[[-1, -1], [-1, -1]]","[[-1, 0], [1, 0]]","[1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0]",EXACT_DERIVED
17,"[[-1, -1], [-1, -1]]","[[-1, 0], [1, 1]]","[1, 0, -1, -1, 1, 0, -1, -1, 1, 0, -1, -1, 1, 0, -1, -1]",EXACT_DERIVED
18,"[[-1, -1], [-1, -1]]","[[-1, 1], [-1, -1]]","[1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1]",EXACT_DERIVED
19,"[[-1, -1], [-1, -1]]","[[-1, 1], [-1, 0]]","[1, -1, 1, 0, 1, -1, 1, 0, 1, -1, 1, 0, 1, -1, 1, 0]",EXACT_DERIVED
20,"[[-1, -1], [-1, -1]]","[[-1, 1], [-1, 1]]","[1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1]",EXACT_DERIVED
21,"[[-1, -1], [-1, -1]]","[[-1, 1], [0, -1]]","[1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, 1]",EXACT_DERIVED
22,"[[-1, -1], [-1, -1]]","[[-1, 1], [0, 0]]","[1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0]",EXACT_DERIVED
23,"[[-1, -1], [-1, -1]]","[[-1, 1], [0, 1]]","[1, -1, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1]",EXACT_DERIVED
24,"[[-1, -1], [-1, -1]]","[[-1, 1], [1, -1]]","[1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1]",EXACT_DERIVED
25,"[[-1, -1], [-1, -1]]","[[-1, 1], [1, 0]]","[1, -1, -1, 0, 1, -1, -1, 0, 1, -1, -1, 0, 1, -1, -1, 0]",EXACT_DERIVED
26,"[[-1, -1], [-1, -1]]","[[-1, 1], [1, 1]]","[1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1]",EXACT_DERIVED
27,"[[-1, -1], [-1, -1]]","[[0, -1], [-1, -1]]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]",EXACT_DERIVED
28,"[[-1, -1], [-1, -1]]","[[0, -1], [-1, 0]]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]",EXACT_DERIVED
29,"[[-1, -1], [-1, -1]]","[[0, -1], [-1, 1]]","[0, 1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1]",EXACT_DERIVED
30,"[[-1, -1], [-1, -1]]","[[0, -1], [0, -1]]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",EXACT_DERIVED
31,"[[-1, -1], [-1, -1]]","[[0, -1], [0, 0]]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",EXACT_DERIVED
32,"[[-1, -1], [-1, -1]]","[[0, -1], [0, 1]]","[0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1]",EXACT_DERIVED
33,"[[-1, -1], [-1, -1]]","[[0, -1], [1, -1]]","[0, 1, -1, 1, 0, 1, -1, 1, 0, 1, -1, 1, 0, 1, -1, 1]",EXACT_DERIVED
34,"[[-1, -1], [-1, -1]]","[[0, -1], [1, 0]]","[0, 1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0]",EXACT_DERIVED
35,"[[-1, -1], [-1, -1]]","[[0, -1], [1, 1]]","[0, 1, -1, -1, 0, 1, -1, -1, 0, 1, -1, -1, 0, 1, -1, -1]",EXACT_DERIVED
36,"[[-1, -1], [-1, -1]]","[[0, 0], [-1, -1]]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1]",EXACT_DERIVED
37,"[[-1, -1], [-1, -1]]","[[0, 0], [-1, 0]]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",EXACT_DERIVED
38,"[[-1, -1], [-1, -1]]","[[0, 0], [-1, 1]]","[0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 1, -1]",EXACT_DERIVED
39,"[[-1, -1], [-1, -1]]","[[0, 0], [0, -1]]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]",EXACT_DERIVED
40,"[[-1, -1], [-1, 0]]","[[-1, -1], [-1, -1]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",EXACT_DERIVED
41,"[[-1, -1], [-1, 0]]","[[-1, -1], [-1, 0]]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]",EXACT_DERIVED
42,"[[-1, -1], [-1, 0]]","[[-1, -1], [-1, 1]]","[1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 0, 0, 0, 0]",EXACT_DERIVED
43,"[[-1, -1], [-1, 0]]","[[-1, -1], [0, -1]]","[1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",EXACT_DERIVED
44,"[[-1, -1], [-1, 0]]","[[-1, -1], [0, 0]]","[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",EXACT_DERIVED
45,"[[-1, -1], [-1, 0]]","[[-1, -1], [0, 1]]","[1, 1, 0, -1, 1, 1, 0, -1, 1, 1, 0, -1, 0, 0, 0, 0]",EXACT_DERIVED
46,"[[-1, -1], [-1, 0]]","[[-1, -1], [1, -1]]","[1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 0, 0, 0, 0]",EXACT_DERIVED
47,"[[-1, -1], [-1, 0]]","[[-1, -1], [1, 0]]","[1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, 0, 0, 0, 0]",EXACT_DERIVED
48,"[[-1, -1], [-1, 0]]","[[-1, -1], [1, 1]]","[1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 0, 0, 0, 0]",EXACT_DERIVED
49,"[[-1, -1], [-1, 0]]","[[-1, 0], [-1, -1]]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]",EXACT_DERIVED
50,"[[-1, -1], [-1, 0]]","[[-1, 0], [-1, 0]]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",EXACT_DERIVED
51,"[[-1, -1], [-1, 0]]","[[-1, 0], [-1, 1]]","[1, 0, 1, -1, 1, 0, 1, -1, 1, 0, 1, -1, 0, 0, 0, 0]",EXACT_DERIVED
52,"[[-1, -1], [-1, 0]]","[[-1, 0], [0, -1]]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",EXACT_DERIVED
53,"[[-1, -1], [-1, 0]]","[[-1, 0], [0, 0]]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",EXACT_DERIVED
54,"[[-1, -1], [-1, 0]]","[[-1, 0], [0, 1]]","[1, 0, 0, -1, 1, 0, 0, -1, 1, 0, 0, -1, 0, 0, 0, 0]",EXACT_DERIVED
55,"[[-1, -1], [-1, 0]]","[[-1, 0], [1, -1]]","[1, 0, -1, 1, 1, 0, -1, 1, 1, 0, -1, 1, 0, 0, 0, 0]",EXACT_DERIVED
56,"[[-1, -1], [-1, 0]]","[[-1, 0], [1, 0]]","[1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 0, 0, 0, 0]",EXACT_DERIVED
57,"[[-1, -1], [-1, 0]]","[[-1, 0], [1, 1]]","[1, 0, -1, -1, 1, 0, -1, -1, 1, 0, -1, -1, 0, 0, 0, 0]",EXACT_DERIVED
58,"[[-1, -1], [-1, 0]]","[[-1, 1], [-1, -1]]","[1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 0, 0]",EXACT_DERIVED
59,"[[-1, -1], [-1, 0]]","[[-1, 1], [-1, 0]]","[1, -1, 1, 0, 1, -1, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0]",EXACT_DERIVED
60,"[[-1, -1], [-1, 0]]","[[-1, 1], [-1, 1]]","[1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 0, 0, 0, 0]",EXACT_DERIVED
61,"[[-1, -1], [-1, 0]]","[[-1, 1], [0, -1]]","[1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, 1, 0, 0, 0, 0]",EXACT_DERIVED
62,"[[-1, -1], [-1, 0]]","[[-1, 1], [0, 0]]","[1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0]",EXACT_DERIVED
63,"[[-1, -1], [-1, 0]]","[[-1, 1], [0, 1]]","[1, -1, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, 0, 0, 0, 0]",EXACT_DERIVED
64,"[[-1, -1], [-1, 0]]","[[-1, 1], [1, -1]]","[1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, 0, 0, 0, 0]",EXACT_DERIVED
65,"[[-1, -1], [-1, 0]]","[[-1, 1], [1, 0]]","[1, -1, -1, 0, 1, -1, -1, 0, 1, -1, -1, 0, 0, 0, 0, 0]",EXACT_DERIVED
66,"[[-1, -1], [-1, 0]]","[[-1, 1], [1, 1]]","[1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1, 0, 0, 0, 0]",EXACT_DERIVED
67,"[[-1, -1], [-1, 0]]","[[0, -1], [-1, -1]]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]",EXACT_DERIVED
68,"[[-1, -1], [-1, 0]]","[[0, -1], [-1, 0]]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",EXACT_DERIVED
69,"[[-1, -1], [-1, 0]]","[[0, -1], [-1, 1]]","[0, 1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, 0, 0, 0]",EXACT_DERIVED
70,"[[-1, -1], [-1, 0]]","[[0, -1], [0, -1]]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",EXACT_DERIVED
71,"[[-1, -1], [-1, 0]]","[[0, -1], [0, 0]]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",EXACT_DERIVED
72,"[[-1, -1], [-1, 0]]","[[0, -1], [0, 1]]","[0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, 0, 0, 0]",EXACT_DERIVED
73,"[[-1, -1], [-1, 0]]","[[0, -1], [1, -1]]","[0, 1, -1, 1, 0, 1, -1, 1, 0, 1, -1, 1, 0, 0, 0, 0]",EXACT_DERIVED
74,"[[-1, -1], [-1, 0]]","[[0, -1], [1, 0]]","[0, 1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 0, 0, 0]",EXACT_DERIVED
75,"[[-1, -1], [-1, 0]]","[[0, -1], [1, 1]]","[0, 1, -1, -1, 0, 1, -1, -1, 0, 1, -1, -1, 0, 0, 0, 0]",EXACT_DERIVED
76,"[[-1, -1], [-1, 0]]","[[0, 0], [-1, -1]]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0]",EXACT_DERIVED
77,"[[-1, -1], [-1, 0]]","[[0, 0], [-1, 0]]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",EXACT_DERIVED
78,"[[-1, -1], [-1, 0]]","[[0, 0], [-1, 1]]","[0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 0, 0]",EXACT_DERIVED
79,"[[-1, -1], [-1, 0]]","[[0, 0], [0, -1]]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",EXACT_DERIVED
80,"[[-1, -1], [-1, 1]]","[[-1, -1], [-1, -1]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1]",EXACT_DERIVED
81,"[[-1, -1], [-1, 1]]","[[-1, -1], [-1, 0]]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, -1, -1, -1, 0]",EXACT_DERIVED
82,"[[-1, -1], [-1, 1]]","[[-1, -1], [-1, 1]]","[1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, -1, -1, -1, 1]",EXACT_DERIVED
83,"[[-1, -1], [-1, 1]]","[[-1, -1], [0, -1]]","[1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, -1, -1, 0, -1]",EXACT_DERIVED
84,"[[-1, -1], [-1, 1]]","[[-1, -1], [0, 0]]","[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, -1, -1, 0, 0]",EXACT_DERIVED
85,"[[-1, -1], [-1, 1]]","[[-1, -1], [0, 1]]","[1, 1, 0, -1, 1, 1, 0, -1, 1, 1, 0, -1, -1, -1, 0, 1]",EXACT_DERIVED
86,"[[-1, -1], [-1, 1]]","[[-1, -1], [1, -1]]","[1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, -1, -1, 1, -1]",EXACT_DERIVED
87,"[[-1, -1], [-1, 1]]","[[-1, -1], [1, 0]]","[1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, -1, -1, 1, 0]",EXACT_DERIVED
88,"[[-1, -1], [-1, 1]]","[[-1, -1], [1, 1]]","[1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, -1, -1, 1, 1]",EXACT_DERIVED
89,"[[-1, -1], [-1, 1]]","[[-1, 0], [-1, -1]]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, -1, 0, -1, -1]",EXACT_DERIVED
90,"[[-1, -1], [-1, 1]]","[[-1, 0], [-1, 0]]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, -1, 0, -1, 0]",EXACT_DERIVED
91,"[[-1, -1], [-1, 1]]","[[-1, 0], [-1, 1]]","[1, 0, 1, -1, 1, 0, 1, -1, 1, 0, 1, -1, -1, 0, -1, 1]",EXACT_DERIVED
92,"[[-1, -1], [-1, 1]]","[[-1, 0], [0, -1]]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, -1, 0, 0, -1]",EXACT_DERIVED
93,"[[-1, -1], [-1, 1]]","[[-1, 0], [0, 0]]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0]",EXACT_DERIVED
94,"[[-1, -1], [-1, 1]]","[[-1, 0], [0, 1]]","[1, 0, 0, -1, 1, 0, 0, -1, 1, 0, 0, -1, -1, 0, 0, 1]",EXACT_DERIVED
95,"[[-1, -1], [-1, 1]]","[[-1, 0], [1, -1]]","[1, 0, -1, 1, 1, 0, -1, 1, 1, 0, -1, 1, -1, 0, 1, -1]",EXACT_DERIVED
96,"[[-1, -1], [-1, 1]]","[[-1, 0], [1, 0]]","[1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, -1, 0, 1, 0]",EXACT_DERIVED
97,"[[-1, -1], [-1, 1]]","[[-1, 0], [1, 1]]","[1, 0, -1, -1, 1, 0, -1, -1, 1, 0, -1, -1, -1, 0, 1, 1]",EXACT_DERIVED
98,"[[-1, -1], [-1, 1]]","[[-1, 1], [-1, -1]]","[1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, -1, 1, -1, -1]",EXACT_DERIVED
99,"[[-1, -1], [-1, 1]]","[[-1, 1], [-1, 0]]","[1, -1, 1, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, -1, 0]",EXACT_DERIVED
100,"[[-1, -1], [-1, 1]]","[[-1, 1], [-1, 1]]","[1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -1, 1, -1, 1]",EXACT_DERIVED
101,"[[-1, -1], [-1, 1]]","[[-1, 1], [0, -1]]","[1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, 1, -1, 1, 0, -1]",EXACT_DERIVED
102,"[[-1, -1], [-1, 1]]","[[-1, 1], [0, 0]]","[1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, -1, 1, 0, 0]",EXACT_DERIVED
103,"[[-1, -1], [-1, 1]]","[[-1, 1], [0, 1]]","[1, -1, 0, -1, 1, -1, 0, -1, 1, -1, 0, -1, -1, 1, 0, 1]",EXACT_DERIVED
104,"[[-1, -1], [-1, 1]]","[[-1, 1], [1, -1]]","[1, -1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, -1, 1, 1, -1]",EXACT_DERIVED
105,"[[-1, -1], [-1, 1]]","[[-1, 1], [1, 0]]","[1, -1, -1, 0, 1, -1, -1, 0, 1, -1, -1, 0, -1, 1, 1, 0]",EXACT_DERIVED
106,"[[-1, -1], [-1, 1]]","[[-1, 1], [1, 1]]","[1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 1, 1]",EXACT_DERIVED
107,"[[-1, -1], [-1, 1]]","[[0, -1], [-1, -1]]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, -1, -1, -1]",EXACT_DERIVED
108,"[[-1, -1], [-1, 1]]","[[0, -1], [-1, 0]]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, -1, -1, 0]",EXACT_DERIVED
109,"[[-1, -1], [-1, 1]]","[[0, -1], [-1, 1]]","[0, 1, 1, -1, 0, 1, 1, -1, 0, 1, 1, -1, 0, -1, -1, 1]",EXACT_DERIVED
110,"[[-1, -1], [-1, 1]]","[[0, -1], [0, -1]]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, -1, 0, -1]",EXACT_DERIVED
111,"[[-1, -1], [-1, 1]]","[[0, -1], [0, 0]]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0]",EXACT_DERIVED
112,"[[-1, -1], [-1, 1]]","[[0, -1], [0, 1]]","[0, 1, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0, -1, 0, 1]",EXACT_DERIVED
113,"[[-1, -1], [-1, 1]]","[[0, -1], [1, -1]]","[0, 1, -1, 1, 0, 1, -1, 1, 0, 1, -1, 1, 0, -1, 1, -1]",EXACT_DERIVED
114,"[[-1, -1], [-1, 1]]","[[0, -1], [1, 0]]","[0, 1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, -1, 1, 0]",EXACT_DERIVED
115,"[[-1, -1], [-1, 1]]","[[0, -1], [1, 1]]","[0, 1, -1, -1, 0, 1, -1, -1, 0, 1, -1, -1, 0, -1, 1, 1]",EXACT_DERIVED
116,"[[-1, -1], [-1, 1]]","[[0, 0], [-1, -1]]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, -1, -1]",EXACT_DERIVED
117,"[[-1, -1], [-1, 1]]","[[0, 0], [-1, 0]]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -1, 0]",EXACT_DERIVED
118,"[[-1, -1], [-1, 1]]","[[0, 0], [-1, 1]]","[0, 0, 1, -1, 0, 0, 1, -1, 0, 0, 1, -1, 0, 0, -1, 1]",EXACT_DERIVED
119,"[[-1, -1], [-1, 1]]","[[0, 0], [0, -1]]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -1]",EXACT_DERIVED
120,"[[-1, -1], [0, -1]]","[[-1, -1], [-1, -1]]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",EXACT_DERIVED
121,"[[-1, -1], [0, -1]]","[[-1, -1], [-1, 0]]","[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",EXACT_DERIVED
122,"[[-1, -1], [0, -1]]","[[-1, -1], [-1, 1]]","[1, 1, 1, -1, 1, 1, 1, -1, 0, 0, 0, 0, 1, 1, 1, -1]",EXACT_DERIVED
123,"[[-1, -1], [0, -1]]","[[-1, -1], [0, -1]]","[1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",EXACT_DERIVED
124,"[[-1, -1], [0, -1]]","[[-1, -1], [0, 0]]","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",EXACT_DERIVED
125,"[[-1, -1], [0, -1]]","[[-1, -1], [0, 1]]","[1, 1, 0, -1, 1, 1, 0, -1, 0, 0, 0, 0, 1, 1, 0, -1]",EXACT_DERIVED
126,"[[-1, -1], [0, -1]]","[[-1, -1], [1, -1]]","[1, 1, -1, 1, 1, 1, -1, 1, 0, 0, 0, 0, 1, 1, -1, 1]",EXACT_DERIVED
127,"[[-1, -1], [0, -1]]","[[-1, -1], [1, 0]]","[1, 1, -1, 0, 1, 1, -1, 0, 0, 0, 0, 0, 1, 1, -1, 0]",EXACT_DERIVED
128,"[[-1, -1], [0, -1]]","[[-1, -1], [1, 1]]","[1, 1, -1, -1, 1, 1, -1, -1, 0, 0, 0, 0, 1, 1, -1, -1]",EXACT_DERIVED
129,"[[-1, -1], [0, -1]]","[[-1, 0], [-1, -1]]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",EXACT_DERIVED
130,"[[-1, -1], [0, -1]]","[[-1, 0], [-1, 0]]","[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",EXACT_DERIVED
131,"[[-1, -1], [0, -1]]","[[-1, 0], [-1, 1]]","[1, 0, 1, -1, 1, 0, 1, -1, 0, 0, 0, 0, 1, 0, 1, -1]",EXACT_DERIVED
132,"[[-1, -1], [0, -1]]","[[-1, 0], [0, -1]]","[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",EXACT_DERIVED
133,"[[-1, -1], [0, -1]]","[[-1, 0], [0, 0]]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",EXACT_DERIVED
134,"[[-1, -1], [0, -1]]","[[-1, 0], [0, 1]]","[1, 0, 0, -1, 1, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, -1]",EXACT_DERIVED
135,"[[-1, -1], [0, -1]]","[[-1, 0], [1, -1]]","[1, 0, -1, 1, 1, 0, -1, 1, 0, 0, 0, 0, 1, 0, -1, 1]",EXACT_DERIVED
136,"[[-1, -1], [0, -1]]","[[-1, 0], [1, 0]]","[1, 0, -1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, -1, 0]",EXACT_DERIVED
137,"[[-1, -1], [0, -1]]","[[-1, 0], [1, 1]]","[1, 0, -1, -1, 1, 0, -1, -1, 0, 0, 0, 0, 1, 0, -1, -1]",EXACT_DERIVED
138,"[[-1, -1], [0, -1]]","[[-1, 1], [-1, -1]]","[1, -1, 1, 1, 1, -1, 1, 1, 0, 0, 0, 0, 1, -1, 1, 1]",EXACT_DERIVED
139,"[[-1, -1], [0, -1]]","[[-1, 1], [-1, 0]]","[1, -1, 1, 0, 1, -1, 1, 0, 0, 0, 0, 0, 1, -1, 1, 0]",EXACT_DERIVED
140,"[[-1, -1], [0, -1]]","[[-1, 1], [-1, 1]]","[1, -1, 1, -1, 1, -1, 1, -1, 0, 0, 0, 0, 1, -1, 1, -1]",EXACT_DERIVED
141,"[[-1, -1], [0, -1]]","[[-1, 1], [0, -1]]","[1, -1, 0, 1, 1, -1, 0, 1, 0, 0, 0, 0, 1, -1, 0, 1]",EXACT_DERIVED
142,"[[-1, -1], [0, -1]]","[[-1, 1], [0, 0]]","[1, -1, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0]",EXACT_DERIVED
143,"[[-1, -1], [0, -1]]","[[-1, 1], [0, 1]]","[1, -1, 0, -1, 1, -1, 0, -1, 0, 0, 0, 0, 1, -1, 0, -1]",EXACT_DERIVED
144,"[[-1, -1], [0, -1]]","[[-1, 1], [1, -1]]","[1, -1, -1, 1, 1, -1, -1, 1, 0, 0, 0, 0, 1, -1, -1, 1]",EXACT_DERIVED
