output_c,block_type,coordinate,equation,rhs,provenance
"C[0,0]",dead_x,"(1,2,1,0)","sum_k gamma_k[0,0] * delta_k[1,2,1,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,2,1,1)","sum_k gamma_k[0,0] * delta_k[1,2,1,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(1,2,1,2)","sum_k gamma_k[0,0] * delta_k[1,2,1,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,1,0)","sum_k gamma_k[0,0] * delta_k[2,0,1,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,1,1)","sum_k gamma_k[0,0] * delta_k[2,0,1,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,1,2)","sum_k gamma_k[0,0] * delta_k[2,0,1,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,2,0)","sum_k gamma_k[0,0] * delta_k[2,0,2,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,2,1)","sum_k gamma_k[0,0] * delta_k[2,0,2,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,0,2,2)","sum_k gamma_k[0,0] * delta_k[2,0,2,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,1,0,0)","sum_k gamma_k[0,0] * delta_k[2,1,0,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,1,0,1)","sum_k gamma_k[0,0] * delta_k[2,1,0,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,1,0,2)","sum_k gamma_k[0,0] * delta_k[2,1,0,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,1,2,0)","sum_k gamma_k[0,0] * delta_k[2,1,2,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,1,2,1)","sum_k gamma_k[0,0] * delta_k[2,1,2,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,1,2,2)","sum_k gamma_k[0,0] * delta_k[2,1,2,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,2,0,0)","sum_k gamma_k[0,0] * delta_k[2,2,0,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,2,0,1)","sum_k gamma_k[0,0] * delta_k[2,2,0,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,2,0,2)","sum_k gamma_k[0,0] * delta_k[2,2,0,2] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,2,1,0)","sum_k gamma_k[0,0] * delta_k[2,2,1,0] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,2,1,1)","sum_k gamma_k[0,0] * delta_k[2,2,1,1] = 0",0,EXACT_DERIVED
"C[0,0]",dead_x,"(2,2,1,2)","sum_k gamma_k[0,0] * delta_k[2,2,1,2] = 0",0,EXACT_DERIVED
