piece_id,rank_tested,seed,verified_loss,best_max_abs_residual,provenance
L_tromino_class_01,8,1072354,6.8722080892235689e-03,3.7646453845139115e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1082168,1.0000000000000011e+00,5.8515217473029923e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1071653,1.0000000000081417e+00,9.4731836986781648e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1073055,4.1082351441878301e-03,2.4739863366913195e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1073756,1.0000000000000198e+00,8.1468259307891344e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1074457,3.2440887053268039e-03,2.5034080034052351e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1075158,4.1921561691339888e-03,1.9424356785436248e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1075859,5.2851404704622774e-03,2.8997066936627201e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1082869,1.0000000000000027e+00,9.7856013777967843e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1076560,3.0549587348535200e-03,2.1017849122355835e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1077962,1.0000000000648535e+00,5.7280540374416700e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1077261,3.6304451596034472e-03,2.4706106531752158e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1078663,3.7530629192878990e-03,2.3500695389091695e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1079364,5.1794526896991409e-03,3.2744058607055121e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1086374,1.0000000000000036e+00,9.2643957734606297e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1080766,3.7225618856750642e-03,2.1282261960785386e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1080065,4.3067797158601795e-03,2.3797224154769155e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1081467,3.0836877870342224e-03,1.6311818018837708e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1091982,1.0000000000000002e+00,8.2413970736903353e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1084271,2.8629177048710109e-03,1.6985512234254985e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1083570,5.4930218996162173e-03,3.0758095006757521e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1084972,3.6531510889408706e-03,1.9259051078484097e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1085673,2.8779847345918414e-03,1.8768110681357256e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1096188,1.0000000000000004e+00,5.2222802614262642e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1087075,3.1932288202036478e-03,2.2596839648447217e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1087776,5.2523371895626270e-03,2.3011911544595132e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1088477,4.9289287417428546e-03,2.3480343513231281e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1098291,1.0000000000000004e+00,8.8234346738642544e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1091281,1.0000000000000002e+00,8.4271562677349499e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1089178,6.7083448616967779e-03,3.0334199747554861e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1089879,4.6076102440836967e-03,2.2678088143535897e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1090580,4.4818029420037996e-03,2.6531062721697023e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1104600,1.0000000000000000e+00,6.0948488983577476e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1093384,3.1127932719878723e-03,2.6581038431528325e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1092683,3.8550406620021702e-03,2.0871558633943386e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1094085,2.6410269024717270e-03,1.7883025108671440e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1094786,2.6754140029555777e-03,1.4972912470164060e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1095487,4.9284439971582243e-03,2.7689485488626080e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1096889,3.9201398988588047e-03,2.4234480313546761e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1097590,5.6361523360127664e-03,2.4682778252640914e-02,MEASURED_FROM_CODE
