remaining_fiber_count,fourier_fiber_count,subset_count,orbit_count,available_spreaders_R19,available_spreaders_R20,available_spreaders_R21,available_spreaders_R22,available_spreaders_R23,min_flattening_rank_max,max_flattening_rank_max,candidate_orbits_R19_by_flattening,candidate_orbits_R20_by_flattening,candidate_orbits_R21_by_flattening,candidate_orbits_R22_by_flattening,candidate_orbits_R23_by_flattening,known_exact_ruled_out_orbits_R19,known_exact_ruled_out_orbits_R20,known_exact_ruled_out_orbits_R21,known_exact_ruled_out_orbits_R22,known_exact_ruled_out_orbits_R23,provenance
1,8,9,1,-5,-4,-3,-2,-1,3,3,0,0,0,0,0,1,1,1,1,1,EXACT_DERIVED
2,7,36,3,-2,-1,0,1,2,6,6,0,0,0,0,0,2,2,2,2,2,EXACT_DERIVED
3,6,84,6,1,2,3,4,5,6,9,0,0,0,0,0,2,2,2,2,2,EXACT_DERIVED
4,5,126,7,4,5,6,7,8,6,9,0,0,1,1,1,1,1,1,1,1,EXACT_DERIVED
5,4,126,7,7,8,9,10,11,9,9,0,0,7,7,7,0,0,0,0,0,EXACT_DERIVED
6,3,84,6,10,11,12,13,14,9,9,6,6,6,6,6,2,2,2,2,2,EXACT_DERIVED
7,2,36,3,13,14,15,16,17,9,9,3,3,3,3,3,0,0,0,0,0,EXACT_DERIVED
8,1,9,1,16,17,18,19,20,9,9,1,1,1,1,1,0,0,0,0,0,EXACT_DERIVED
9,0,1,1,19,20,21,22,23,9,9,1,1,1,1,1,0,0,0,0,0,EXACT_DERIVED
