removed_terms,remaining_R,nuisance_rank,augmented_rank,quotient_gain,gamma_reweight_feasible,provenance
"t08,t17",21,14,21,7,False,EXACT_DERIVED
"t08,t18",21,14,21,7,False,EXACT_DERIVED
"t08,t19",21,14,21,7,False,EXACT_DERIVED
"t08,t20",21,14,21,7,False,EXACT_DERIVED
"t08,t21",21,14,21,7,False,EXACT_DERIVED
"t08,t22",21,14,21,7,False,EXACT_DERIVED
"t08,t23",21,14,21,7,False,EXACT_DERIVED
"t09,t10",21,14,21,7,False,EXACT_DERIVED
"t09,t11",21,14,21,7,False,EXACT_DERIVED
"t09,t13",21,14,21,7,False,EXACT_DERIVED
"t09,t14",21,14,21,7,False,EXACT_DERIVED
"t09,t15",21,14,21,7,False,EXACT_DERIVED
"t09,t16",21,14,21,7,False,EXACT_DERIVED
"t09,t17",21,14,21,7,False,EXACT_DERIVED
"t09,t18",21,14,21,7,False,EXACT_DERIVED
"t09,t19",21,14,21,7,False,EXACT_DERIVED
"t09,t20",21,14,21,7,False,EXACT_DERIVED
"t09,t21",21,14,21,7,False,EXACT_DERIVED
"t09,t22",21,14,21,7,False,EXACT_DERIVED
"t09,t23",21,14,21,7,False,EXACT_DERIVED
"t10,t11",21,14,21,7,False,EXACT_DERIVED
"t10,t12",21,14,21,7,False,EXACT_DERIVED
"t10,t13",21,14,21,7,False,EXACT_DERIVED
"t10,t14",21,14,21,7,False,EXACT_DERIVED
"t10,t15",21,14,21,7,False,EXACT_DERIVED
"t10,t16",21,14,21,7,False,EXACT_DERIVED
"t10,t17",21,14,21,7,False,EXACT_DERIVED
"t10,t18",21,14,21,7,False,EXACT_DERIVED
"t10,t19",21,14,21,7,False,EXACT_DERIVED
"t10,t20",21,14,21,7,False,EXACT_DERIVED
"t10,t21",21,14,21,7,False,EXACT_DERIVED
"t10,t22",21,14,21,7,False,EXACT_DERIVED
"t10,t23",21,14,21,7,False,EXACT_DERIVED
"t11,t12",21,14,21,7,False,EXACT_DERIVED
"t11,t13",21,14,21,7,False,EXACT_DERIVED
"t11,t14",21,14,21,7,False,EXACT_DERIVED
"t11,t15",21,14,21,7,False,EXACT_DERIVED
"t11,t16",21,14,21,7,False,EXACT_DERIVED
"t11,t17",21,14,21,7,False,EXACT_DERIVED
"t11,t18",21,14,21,7,False,EXACT_DERIVED
"t11,t19",21,14,21,7,False,EXACT_DERIVED
"t11,t20",21,14,21,7,False,EXACT_DERIVED
"t11,t21",21,14,21,7,False,EXACT_DERIVED
"t11,t22",21,14,21,7,False,EXACT_DERIVED
"t11,t23",21,14,21,7,False,EXACT_DERIVED
"t12,t13",21,14,21,7,False,EXACT_DERIVED
"t12,t14",21,14,21,7,False,EXACT_DERIVED
"t12,t15",21,14,21,7,False,EXACT_DERIVED
"t12,t16",21,14,21,7,False,EXACT_DERIVED
"t12,t17",21,14,21,7,False,EXACT_DERIVED
"t12,t18",21,14,21,7,False,EXACT_DERIVED
"t12,t19",21,14,21,7,False,EXACT_DERIVED
"t12,t20",21,14,21,7,False,EXACT_DERIVED
"t12,t21",21,14,21,7,False,EXACT_DERIVED
"t12,t22",21,14,21,7,False,EXACT_DERIVED
"t12,t23",21,14,21,7,False,EXACT_DERIVED
"t13,t14",21,14,21,7,False,EXACT_DERIVED
"t13,t15",21,14,21,7,False,EXACT_DERIVED
"t13,t16",21,14,21,7,False,EXACT_DERIVED
"t13,t17",21,14,21,7,False,EXACT_DERIVED
"t13,t18",21,14,21,7,False,EXACT_DERIVED
"t13,t19",21,14,21,7,False,EXACT_DERIVED
"t13,t20",21,14,21,7,False,EXACT_DERIVED
"t13,t21",21,14,21,7,False,EXACT_DERIVED
"t13,t22",21,14,21,7,False,EXACT_DERIVED
"t13,t23",21,14,21,7,False,EXACT_DERIVED
"t14,t15",21,14,21,7,False,EXACT_DERIVED
"t14,t16",21,14,21,7,False,EXACT_DERIVED
"t14,t17",21,14,21,7,False,EXACT_DERIVED
"t14,t18",21,14,21,7,False,EXACT_DERIVED
"t14,t19",21,14,21,7,False,EXACT_DERIVED
"t14,t20",21,14,21,7,False,EXACT_DERIVED
"t14,t21",21,14,21,7,False,EXACT_DERIVED
"t14,t22",21,14,21,7,False,EXACT_DERIVED
"t14,t23",21,14,21,7,False,EXACT_DERIVED
"t15,t16",21,14,21,7,False,EXACT_DERIVED
"t15,t18",21,14,21,7,False,EXACT_DERIVED
"t15,t19",21,14,21,7,False,EXACT_DERIVED
"t15,t20",21,14,21,7,False,EXACT_DERIVED
"t15,t21",21,14,21,7,False,EXACT_DERIVED
"t15,t22",21,14,21,7,False,EXACT_DERIVED
"t15,t23",21,14,21,7,False,EXACT_DERIVED
"t16,t17",21,14,21,7,False,EXACT_DERIVED
"t16,t18",21,14,21,7,False,EXACT_DERIVED
"t16,t19",21,14,21,7,False,EXACT_DERIVED
"t16,t20",21,14,21,7,False,EXACT_DERIVED
"t16,t21",21,14,21,7,False,EXACT_DERIVED
"t16,t22",21,14,21,7,False,EXACT_DERIVED
"t16,t23",21,14,21,7,False,EXACT_DERIVED
"t17,t18",21,14,21,7,False,EXACT_DERIVED
"t17,t19",21,14,21,7,False,EXACT_DERIVED
"t17,t20",21,14,21,7,False,EXACT_DERIVED
"t17,t21",21,14,21,7,False,EXACT_DERIVED
"t17,t22",21,14,21,7,False,EXACT_DERIVED
"t17,t23",21,14,21,7,False,EXACT_DERIVED
"t18,t19",21,14,21,7,False,EXACT_DERIVED
"t18,t20",21,14,21,7,False,EXACT_DERIVED
"t18,t21",21,14,21,7,False,EXACT_DERIVED
"t18,t22",21,14,21,7,False,EXACT_DERIVED
"t18,t23",21,14,21,7,False,EXACT_DERIVED
"t19,t20",21,14,21,7,False,EXACT_DERIVED
"t19,t21",21,14,21,7,False,EXACT_DERIVED
"t19,t22",21,14,21,7,False,EXACT_DERIVED
"t19,t23",21,14,21,7,False,EXACT_DERIVED
"t20,t21",21,14,21,7,False,EXACT_DERIVED
"t20,t22",21,14,21,7,False,EXACT_DERIVED
"t20,t23",21,14,21,7,False,EXACT_DERIVED
"t21,t22",21,14,21,7,False,EXACT_DERIVED
"t21,t23",21,14,21,7,False,EXACT_DERIVED
"t22,t23",21,14,21,7,False,EXACT_DERIVED
