x_cell,output_cell,positive_terms,negative_terms,positive_sum,negative_sum,total,balance_status,provenance
"X[2,0|2,0]","C[0,0]",t13,t19,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,0|2,0]","C[1,0]",t14,t15,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,0|2,0]","C[2,0]",t19,t13,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,0|2,0]","C[2,1]",t13,t14,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,0|2,0]","C[2,2]",t13,t14,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,1|0,0]","C[1,0]",t14,t15,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,1|0,0]","C[2,1]",t21,t14,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,1|0,0]","C[2,2]",t21,t14,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,1|0,2]","C[1,0]",t14,t15,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,1|0,2]","C[2,1]",t21,t14,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,1|0,2]","C[2,2]",t21,t14,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,1|2,0]","C[1,0]",t15,t14,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,1|2,0]","C[2,1]",t14,t21,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,1|2,0]","C[2,2]",t14,t21,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|0,1]","C[0,0]",t07,t12,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|0,1]","C[0,2]",t05,t10,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|0,1]","C[2,1]",t05,t07,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|0,2]","C[0,0]",t12,t07,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|0,2]","C[0,2]",t10,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|0,2]","C[2,1]",t07,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|1,0]","C[0,0]",t12,t07,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|1,0]","C[2,1]",t07,t11,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|1,1]","C[0,2]",t05,t10,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|1,1]","C[2,1]",t05,t11,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|1,2]","C[0,2]",t10,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
"X[2,2|1,2]","C[2,1]",t11,t05,1,-1,0,perfect_balanced,EXACT_DERIVED
