equation_index,full_tensor_row_index,a_flat_index,b_flat_index,c_flat_index,target_value,start_parameter_value,endpoint_value,endpoint_abs_residual,provenance
94,253,3,1,1,0.0000000000000000e+00,4.9060649246523091e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
95,664,8,1,7,0.0000000000000000e+00,-1.2187362549825886e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
96,462,5,6,3,1.0000000000000000e+00,9.4067877938660682e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
97,492,6,0,6,1.0000000000000000e+00,1.0488917699972793e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
98,92,1,1,2,0.0000000000000000e+00,3.7695292915567946e-02,-2.2204460492503131e-16,2.2204460492503131e-16,MEASURED_FROM_CODE
99,67,0,7,4,0.0000000000000000e+00,-1.1811226182712886e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
100,200,2,4,2,0.0000000000000000e+00,-1.2925696464779468e-01,2.2204460492503131e-16,2.2204460492503131e-16,MEASURED_FROM_CODE
101,108,1,3,0,1.0000000000000000e+00,1.0610688468769724e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
102,246,3,0,3,1.0000000000000000e+00,1.0188370086653735e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
103,502,6,1,7,1.0000000000000000e+00,9.2681365223053613e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
104,350,4,2,8,0.0000000000000000e+00,-2.3070251885037651e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
