fiber,live_coordinates,lambda_coordinates,provenance
"(0,0)","['X[0,0|0,0]', 'X[0,1|1,0]', 'X[0,2|2,0]']","['a_k[0,0] * b_k[0,0]', 'a_k[0,1] * b_k[1,0]', 'a_k[0,2] * b_k[2,0]']",EXACT_DERIVED
"(0,1)","['X[0,0|0,1]', 'X[0,1|1,1]', 'X[0,2|2,1]']","['a_k[0,0] * b_k[0,1]', 'a_k[0,1] * b_k[1,1]', 'a_k[0,2] * b_k[2,1]']",EXACT_DERIVED
"(0,2)","['X[0,0|0,2]', 'X[0,1|1,2]', 'X[0,2|2,2]']","['a_k[0,0] * b_k[0,2]', 'a_k[0,1] * b_k[1,2]', 'a_k[0,2] * b_k[2,2]']",EXACT_DERIVED
"(1,0)","['X[1,0|0,0]', 'X[1,1|1,0]', 'X[1,2|2,0]']","['a_k[1,0] * b_k[0,0]', 'a_k[1,1] * b_k[1,0]', 'a_k[1,2] * b_k[2,0]']",EXACT_DERIVED
"(1,1)","['X[1,0|0,1]', 'X[1,1|1,1]', 'X[1,2|2,1]']","['a_k[1,0] * b_k[0,1]', 'a_k[1,1] * b_k[1,1]', 'a_k[1,2] * b_k[2,1]']",EXACT_DERIVED
"(1,2)","['X[1,0|0,2]', 'X[1,1|1,2]', 'X[1,2|2,2]']","['a_k[1,0] * b_k[0,2]', 'a_k[1,1] * b_k[1,2]', 'a_k[1,2] * b_k[2,2]']",EXACT_DERIVED
"(2,0)","['X[2,0|0,0]', 'X[2,1|1,0]', 'X[2,2|2,0]']","['a_k[2,0] * b_k[0,0]', 'a_k[2,1] * b_k[1,0]', 'a_k[2,2] * b_k[2,0]']",EXACT_DERIVED
"(2,1)","['X[2,0|0,1]', 'X[2,1|1,1]', 'X[2,2|2,1]']","['a_k[2,0] * b_k[0,1]', 'a_k[2,1] * b_k[1,1]', 'a_k[2,2] * b_k[2,1]']",EXACT_DERIVED
"(2,2)","['X[2,0|0,2]', 'X[2,1|1,2]', 'X[2,2|2,2]']","['a_k[2,0] * b_k[0,2]', 'a_k[2,1] * b_k[1,2]', 'a_k[2,2] * b_k[2,2]']",EXACT_DERIVED
