entry,serving_terms,degree,provenance
"(0,0)",t07;t08;t09;t12;t13;t19,6,EXACT_DERIVED
"(0,1)",t01;t02;t04;t08;t20,5,EXACT_DERIVED
"(0,2)",t01;t02;t05;t10;t16;t20,6,EXACT_DERIVED
"(1,0)",t14;t15;t17;t20;t23,5,EXACT_DERIVED
"(1,1)",t02;t03;t04;t06;t08;t20,6,EXACT_DERIVED
"(1,2)",t18;t20;t22,3,EXACT_DERIVED
"(2,0)",t13;t19;t23,3,EXACT_DERIVED
"(2,1)",t04;t05;t07;t11;t13;t14;t18;t21;t23,9,EXACT_DERIVED
"(2,2)",t13;t14;t16;t18;t21,5,EXACT_DERIVED
