raw_tuple_id,raw_tuple,in_CX,cx_config_id,cx_readable,in_XC,xc_config_id,xc_readable,in_AX,ax_config_id,ax_readable,in_BX,bx_config_id,bx_readable
23,"(0,2,5)",1,23,"CX[C[0,0],X[0,2|1,2]]",1,23,"XC[X[0,0|0,2],C[1,2]]",1,23,"AX[A[0,0],X[0,2|1,2]]",1,23,"BX[B[0,0],X[0,2|1,2]]"
24,"(0,2,6)",1,24,"CX[C[0,0],X[0,2|2,0]]",1,24,"XC[X[0,0|0,2],C[2,0]]",1,24,"AX[A[0,0],X[0,2|2,0]]",1,24,"BX[B[0,0],X[0,2|2,0]]"
25,"(0,2,7)",1,25,"CX[C[0,0],X[0,2|2,1]]",1,25,"XC[X[0,0|0,2],C[2,1]]",1,25,"AX[A[0,0],X[0,2|2,1]]",1,25,"BX[B[0,0],X[0,2|2,1]]"
26,"(0,2,8)",1,26,"CX[C[0,0],X[0,2|2,2]]",1,26,"XC[X[0,0|0,2],C[2,2]]",1,26,"AX[A[0,0],X[0,2|2,2]]",1,26,"BX[B[0,0],X[0,2|2,2]]"
27,"(0,3,0)",1,27,"CX[C[0,0],X[1,0|0,0]]",1,27,"XC[X[0,0|1,0],C[0,0]]",1,27,"AX[A[0,0],X[1,0|0,0]]",1,27,"BX[B[0,0],X[1,0|0,0]]"
28,"(0,3,1)",1,28,"CX[C[0,0],X[1,0|0,1]]",1,28,"XC[X[0,0|1,0],C[0,1]]",1,28,"AX[A[0,0],X[1,0|0,1]]",1,28,"BX[B[0,0],X[1,0|0,1]]"
29,"(0,3,2)",1,29,"CX[C[0,0],X[1,0|0,2]]",1,29,"XC[X[0,0|1,0],C[0,2]]",1,29,"AX[A[0,0],X[1,0|0,2]]",1,29,"BX[B[0,0],X[1,0|0,2]]"
30,"(0,3,3)",1,30,"CX[C[0,0],X[1,0|1,0]]",1,30,"XC[X[0,0|1,0],C[1,0]]",1,30,"AX[A[0,0],X[1,0|1,0]]",1,30,"BX[B[0,0],X[1,0|1,0]]"
31,"(0,3,4)",1,31,"CX[C[0,0],X[1,0|1,1]]",1,31,"XC[X[0,0|1,0],C[1,1]]",1,31,"AX[A[0,0],X[1,0|1,1]]",1,31,"BX[B[0,0],X[1,0|1,1]]"
32,"(0,3,5)",1,32,"CX[C[0,0],X[1,0|1,2]]",1,32,"XC[X[0,0|1,0],C[1,2]]",1,32,"AX[A[0,0],X[1,0|1,2]]",1,32,"BX[B[0,0],X[1,0|1,2]]"
33,"(0,3,6)",1,33,"CX[C[0,0],X[1,0|2,0]]",1,33,"XC[X[0,0|1,0],C[2,0]]",1,33,"AX[A[0,0],X[1,0|2,0]]",1,33,"BX[B[0,0],X[1,0|2,0]]"
34,"(0,3,7)",1,34,"CX[C[0,0],X[1,0|2,1]]",1,34,"XC[X[0,0|1,0],C[2,1]]",1,34,"AX[A[0,0],X[1,0|2,1]]",1,34,"BX[B[0,0],X[1,0|2,1]]"
35,"(0,3,8)",1,35,"CX[C[0,0],X[1,0|2,2]]",1,35,"XC[X[0,0|1,0],C[2,2]]",1,35,"AX[A[0,0],X[1,0|2,2]]",1,35,"BX[B[0,0],X[1,0|2,2]]"
36,"(0,4,0)",1,36,"CX[C[0,0],X[1,1|0,0]]",1,36,"XC[X[0,0|1,1],C[0,0]]",1,36,"AX[A[0,0],X[1,1|0,0]]",1,36,"BX[B[0,0],X[1,1|0,0]]"
37,"(0,4,1)",1,37,"CX[C[0,0],X[1,1|0,1]]",1,37,"XC[X[0,0|1,1],C[0,1]]",1,37,"AX[A[0,0],X[1,1|0,1]]",1,37,"BX[B[0,0],X[1,1|0,1]]"
38,"(0,4,2)",1,38,"CX[C[0,0],X[1,1|0,2]]",1,38,"XC[X[0,0|1,1],C[0,2]]",1,38,"AX[A[0,0],X[1,1|0,2]]",1,38,"BX[B[0,0],X[1,1|0,2]]"
39,"(0,4,3)",1,39,"CX[C[0,0],X[1,1|1,0]]",1,39,"XC[X[0,0|1,1],C[1,0]]",1,39,"AX[A[0,0],X[1,1|1,0]]",1,39,"BX[B[0,0],X[1,1|1,0]]"
40,"(0,4,4)",1,40,"CX[C[0,0],X[1,1|1,1]]",1,40,"XC[X[0,0|1,1],C[1,1]]",1,40,"AX[A[0,0],X[1,1|1,1]]",1,40,"BX[B[0,0],X[1,1|1,1]]"
41,"(0,4,5)",1,41,"CX[C[0,0],X[1,1|1,2]]",1,41,"XC[X[0,0|1,1],C[1,2]]",1,41,"AX[A[0,0],X[1,1|1,2]]",1,41,"BX[B[0,0],X[1,1|1,2]]"
42,"(0,4,6)",1,42,"CX[C[0,0],X[1,1|2,0]]",1,42,"XC[X[0,0|1,1],C[2,0]]",1,42,"AX[A[0,0],X[1,1|2,0]]",1,42,"BX[B[0,0],X[1,1|2,0]]"
43,"(0,4,7)",1,43,"CX[C[0,0],X[1,1|2,1]]",1,43,"XC[X[0,0|1,1],C[2,1]]",1,43,"AX[A[0,0],X[1,1|2,1]]",1,43,"BX[B[0,0],X[1,1|2,1]]"
44,"(0,4,8)",1,44,"CX[C[0,0],X[1,1|2,2]]",1,44,"XC[X[0,0|1,1],C[2,2]]",1,44,"AX[A[0,0],X[1,1|2,2]]",1,44,"BX[B[0,0],X[1,1|2,2]]"
45,"(0,5,0)",1,45,"CX[C[0,0],X[1,2|0,0]]",1,45,"XC[X[0,0|1,2],C[0,0]]",1,45,"AX[A[0,0],X[1,2|0,0]]",1,45,"BX[B[0,0],X[1,2|0,0]]"
46,"(0,5,1)",1,46,"CX[C[0,0],X[1,2|0,1]]",1,46,"XC[X[0,0|1,2],C[0,1]]",1,46,"AX[A[0,0],X[1,2|0,1]]",1,46,"BX[B[0,0],X[1,2|0,1]]"
47,"(0,5,2)",1,47,"CX[C[0,0],X[1,2|0,2]]",1,47,"XC[X[0,0|1,2],C[0,2]]",1,47,"AX[A[0,0],X[1,2|0,2]]",1,47,"BX[B[0,0],X[1,2|0,2]]"
48,"(0,5,3)",1,48,"CX[C[0,0],X[1,2|1,0]]",1,48,"XC[X[0,0|1,2],C[1,0]]",1,48,"AX[A[0,0],X[1,2|1,0]]",1,48,"BX[B[0,0],X[1,2|1,0]]"
49,"(0,5,4)",1,49,"CX[C[0,0],X[1,2|1,1]]",1,49,"XC[X[0,0|1,2],C[1,1]]",1,49,"AX[A[0,0],X[1,2|1,1]]",1,49,"BX[B[0,0],X[1,2|1,1]]"
50,"(0,5,5)",1,50,"CX[C[0,0],X[1,2|1,2]]",1,50,"XC[X[0,0|1,2],C[1,2]]",1,50,"AX[A[0,0],X[1,2|1,2]]",1,50,"BX[B[0,0],X[1,2|1,2]]"
51,"(0,5,6)",1,51,"CX[C[0,0],X[1,2|2,0]]",1,51,"XC[X[0,0|1,2],C[2,0]]",1,51,"AX[A[0,0],X[1,2|2,0]]",1,51,"BX[B[0,0],X[1,2|2,0]]"
52,"(0,5,7)",1,52,"CX[C[0,0],X[1,2|2,1]]",1,52,"XC[X[0,0|1,2],C[2,1]]",1,52,"AX[A[0,0],X[1,2|2,1]]",1,52,"BX[B[0,0],X[1,2|2,1]]"
53,"(0,5,8)",1,53,"CX[C[0,0],X[1,2|2,2]]",1,53,"XC[X[0,0|1,2],C[2,2]]",1,53,"AX[A[0,0],X[1,2|2,2]]",1,53,"BX[B[0,0],X[1,2|2,2]]"
