c_local_id,c_name,r,u,fiber_size,x0_local_id,x0_name,x1_local_id,x1_name,x2_local_id,x2_name
0,"C[0,0]",0,0,3,0,"X[0,0|0,0]",12,"X[0,1|1,0]",24,"X[0,2|2,0]"
1,"C[0,1]",0,1,3,1,"X[0,0|0,1]",13,"X[0,1|1,1]",25,"X[0,2|2,1]"
2,"C[0,2]",0,2,3,2,"X[0,0|0,2]",14,"X[0,1|1,2]",26,"X[0,2|2,2]"
3,"C[1,0]",1,0,3,27,"X[1,0|0,0]",39,"X[1,1|1,0]",51,"X[1,2|2,0]"
4,"C[1,1]",1,1,3,28,"X[1,0|0,1]",40,"X[1,1|1,1]",52,"X[1,2|2,1]"
5,"C[1,2]",1,2,3,29,"X[1,0|0,2]",41,"X[1,1|1,2]",53,"X[1,2|2,2]"
6,"C[2,0]",2,0,3,54,"X[2,0|0,0]",66,"X[2,1|1,0]",78,"X[2,2|2,0]"
7,"C[2,1]",2,1,3,55,"X[2,0|0,1]",67,"X[2,1|1,1]",79,"X[2,2|2,1]"
8,"C[2,2]",2,2,3,56,"X[2,0|0,2]",68,"X[2,1|1,2]",80,"X[2,2|2,2]"
