subset_size,subset_count,passing_count,max_abs_residual,provenance
0,1,1,0.0000000000,EXACT_DERIVED
1,9,9,0.0000000000,EXACT_DERIVED
2,36,36,0.0000000000,EXACT_DERIVED
3,84,84,0.0000000000,EXACT_DERIVED
4,126,126,0.0000000000,EXACT_DERIVED
5,126,126,0.0000000000,EXACT_DERIVED
6,84,84,0.0000000000,EXACT_DERIVED
7,36,36,0.0000000000,EXACT_DERIVED
8,9,9,0.0000000000,EXACT_DERIVED
9,1,1,0.0000000000,EXACT_DERIVED
