rotation_id,family,seed,public_rank23_calibration_residual,cond_a,cond_b,cond_c,max_condition_number,pilot_best_rank,pilot_best_verified_loss,pilot_best_max_abs_residual,pilot_any_exact_hit,pilot_exact_rank_upper_bound,rank19_beats_known_best,known_best_rank19_max_abs,provenance
rot_dct_shared,structured_dct,,5.8501826826030809e-16,1.0000000000000009e+00,1.0000000000000009e+00,1.0000000000000009e+00,1.0000000000000009e+00,21,1.1493484975046884e+00,2.2409030586294140e-01,False,,False,5.2684239970850189e-04,MEASURED_FROM_CODE
rot_gl_01,random_well_conditioned_gl,910000,1.0547118733938987e-15,7.1916668094319602e+00,5.8346051211158141e+00,5.5966218384635367e+00,7.1916668094319602e+00,22,2.6170682657604877e-01,8.2256755045949648e-02,False,,False,5.2684239970850189e-04,MEASURED_FROM_CODE
rot_gl_02,random_well_conditioned_gl,910100,1.1102230246251565e-15,7.6989108310201706e+00,6.8109484430706102e+00,4.6463081251069438e+00,7.6989108310201706e+00,22,2.6440906979956558e-01,7.1539078472176998e-02,False,,False,5.2684239970850189e-04,MEASURED_FROM_CODE
rot_gl_03,random_well_conditioned_gl,910200,1.6653345369377348e-15,3.4236881286632923e+00,5.2595078746864008e+00,6.3239518007001001e+00,6.3239518007001001e+00,22,2.7788598333727288e-01,9.7613521019061483e-02,False,,False,5.2684239970850189e-04,MEASURED_FROM_CODE
