case_id,dropped_terms,retained_term_count,status,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,error,provenance
step83_t09_t10_t11_t17,t09;t10;t11;t17,19,screened_ok,95,92,92,9.9707974097793866e+01,1.0000000000000000e+00,5.6568542494923806e+00,,MEASURED_FROM_CODE
step83_t09_t10_t11_t22,t09;t10;t11;t22,19,screened_ok,96,92,92,1.4407958237227689e+02,1.0000000000000000e+00,5.5677643628300215e+00,,MEASURED_FROM_CODE
step83_t09_t10_t12_t15,t09;t10;t12;t15,19,screened_ok,92,91,91,1.0590938178719047e+02,1.0000000000000000e+00,6.1644140029689760e+00,,MEASURED_FROM_CODE
step83_t09_t10_t12_t17,t09;t10;t12;t17,19,screened_ok,96,93,93,1.0203173115286603e+02,1.0000000000000000e+00,5.2915026221291814e+00,,MEASURED_FROM_CODE
step83_t09_t10_t12_t22,t09;t10;t12;t22,19,screened_ok,97,93,93,1.1251362130204271e+02,1.0000000000000000e+00,5.1961524227066320e+00,,MEASURED_FROM_CODE
step83_t09_t10_t15_t17,t09;t10;t15;t17,19,screened_ok,95,94,94,9.7899236501539335e+01,1.0000000000000000e+00,5.4772255750516612e+00,,MEASURED_FROM_CODE
step83_t09_t10_t15_t22,t09;t10;t15;t22,19,screened_ok,96,95,95,9.8529165958046278e+01,1.0000000000000000e+00,5.5677643628300215e+00,,MEASURED_FROM_CODE
step83_t09_t10_t17_t22,t09;t10;t17;t22,19,screened_ok,100,97,97,1.4608820521993675e+02,1.0000000000000000e+00,4.5825756949558398e+00,,MEASURED_FROM_CODE
step83_t09_t11_t12_t15,t09;t11;t12;t15,19,screened_ok,93,92,92,1.0130140925821863e+02,1.0000000000000000e+00,6.1644140029689760e+00,,MEASURED_FROM_CODE
step83_t09_t11_t12_t17,t09;t11;t12;t17,19,screened_ok,97,94,94,8.4096342735232071e+01,1.0000000000000000e+00,5.2915026221291814e+00,,MEASURED_FROM_CODE
step83_t09_t11_t12_t22,t09;t11;t12;t22,19,screened_ok,98,94,94,8.5958898550488456e+01,1.0000000000000000e+00,5.1961524227066320e+00,,MEASURED_FROM_CODE
step83_t09_t11_t15_t17,t09;t11;t15;t17,19,screened_ok,96,95,95,1.1190318165268044e+02,1.0000000000000000e+00,5.4772255750516612e+00,,MEASURED_FROM_CODE
step83_t09_t11_t15_t22,t09;t11;t15;t22,19,screened_ok,97,96,96,1.2348101237878731e+02,1.0000000000000000e+00,5.5677643628300215e+00,,MEASURED_FROM_CODE
step83_t09_t11_t17_t22,t09;t11;t17;t22,19,screened_ok,101,97,97,1.3923773968695193e+02,1.0000000000000000e+00,4.5825756949558398e+00,,MEASURED_FROM_CODE
step83_t09_t12_t15_t17,t09;t12;t15;t17,19,screened_ok,97,96,96,1.0892970647921345e+02,1.0000000000000000e+00,5.0990195135927845e+00,,MEASURED_FROM_CODE
step83_t09_t12_t15_t22,t09;t12;t15;t22,19,screened_ok,98,97,97,1.0623757270953419e+02,1.0000000000000000e+00,5.1961524227066320e+00,,MEASURED_FROM_CODE
step83_t09_t12_t17_t22,t09;t12;t17;t22,19,screened_ok,102,99,99,9.8234437060810734e+01,1.0000000000000000e+00,4.1231056256176606e+00,,MEASURED_FROM_CODE
step83_t09_t15_t17_t22,t09;t15;t17;t22,19,screened_ok,101,99,99,1.5556980938243100e+02,1.0000000000000000e+00,4.3588989435406740e+00,,MEASURED_FROM_CODE
step83_t10_t11_t12_t15,t10;t11;t12;t15,19,screened_ok,90,89,89,7.9350360178757654e+01,1.0000000000000000e+00,6.6332495807107996e+00,,MEASURED_FROM_CODE
step83_t10_t11_t12_t17,t10;t11;t12;t17,19,screened_ok,94,91,91,1.2660020037116024e+02,1.0000000000000000e+00,5.8309518948453007e+00,,MEASURED_FROM_CODE
step83_t10_t11_t12_t22,t10;t11;t12;t22,19,screened_ok,95,91,91,1.5497576235199776e+02,1.0000000000000000e+00,5.7445626465380286e+00,,MEASURED_FROM_CODE
step83_t10_t11_t15_t17,t10;t11;t15;t17,19,screened_ok,93,92,92,5.3313656860410653e+01,1.0000000000000000e+00,6.0000000000000000e+00,,MEASURED_FROM_CODE
step83_t10_t11_t15_t22,t10;t11;t15;t22,19,screened_ok,94,93,93,5.3313656860410660e+01,1.0000000000000000e+00,6.0827625302982193e+00,,MEASURED_FROM_CODE
step83_t10_t11_t17_t22,t10;t11;t17;t22,19,screened_ok,98,95,95,1.4624174061152695e+02,1.0000000000000000e+00,5.1961524227066320e+00,,MEASURED_FROM_CODE
step83_t10_t12_t15_t17,t10;t12;t15;t17,19,screened_ok,94,93,93,9.2207101331708529e+01,1.0000000000000000e+00,5.6568542494923806e+00,,MEASURED_FROM_CODE
step83_t10_t12_t15_t22,t10;t12;t15;t22,19,screened_ok,95,94,94,1.3981791358702401e+02,1.0000000000000000e+00,5.7445626465380286e+00,,MEASURED_FROM_CODE
step83_t10_t12_t17_t22,t10;t12;t17;t22,19,screened_ok,99,96,96,1.1786279207755699e+02,1.0000000000000000e+00,4.7958315233127191e+00,,MEASURED_FROM_CODE
step83_t10_t15_t17_t22,t10;t15;t17;t22,19,screened_ok,98,96,96,1.1443913630962338e+02,1.0000000000000000e+00,5.0000000000000000e+00,,MEASURED_FROM_CODE
step83_t11_t12_t15_t17,t11;t12;t15;t17,19,screened_ok,95,94,94,1.3159200493139721e+02,1.0000000000000000e+00,5.6568542494923806e+00,,MEASURED_FROM_CODE
step83_t11_t12_t15_t22,t11;t12;t15;t22,19,screened_ok,96,95,95,1.3056349607780018e+02,1.0000000000000000e+00,5.7445626465380286e+00,,MEASURED_FROM_CODE
step83_t11_t12_t17_t22,t11;t12;t17;t22,19,screened_ok,100,97,97,1.3976805454534161e+02,1.0000000000000000e+00,4.7958315233127191e+00,,MEASURED_FROM_CODE
step83_t11_t15_t17_t22,t11;t15;t17;t22,19,screened_ok,99,98,98,2.4916202876008583e+02,1.0000000000000000e+00,5.0000000000000000e+00,,MEASURED_FROM_CODE
step83_t12_t15_t17_t22,t12;t15;t17;t22,19,screened_ok,100,99,99,1.2781579182245029e+02,1.0000000000000000e+00,4.5825756949558398e+00,,MEASURED_FROM_CODE
