profile_orbit_id,canonical_profile,profile_matrix,cxxc_orbit0_support,cxxc_orbit30_support,support_pair_count,max_fiber_activation,nonzero_fibers,fibers_with_0,fibers_with_1,fibers_with_2,fibers_with_3,sample_a_support,sample_b_support,is_generic_full_support_profile
22,"(0, 0, 0, 0, 0, 1, 0, 0, 2)","[[0, 0, 0], [0, 0, 1], [0, 0, 2]]",3,1,1674,2,2,7,1,1,0,110/100/000,100/100/000,False
23,"(0, 0, 0, 0, 0, 1, 0, 0, 3)","[[0, 0, 0], [0, 0, 1], [0, 0, 3]]",4,3,54,3,2,7,1,0,1,111/100/000,100/100/100,False
24,"(0, 0, 0, 0, 0, 1, 0, 1, 0)","[[0, 0, 0], [0, 0, 1], [0, 1, 0]]",2,0,1620,1,2,7,2,0,0,010/100/000,010/100/000,False
25,"(0, 0, 0, 0, 0, 1, 0, 1, 1)","[[0, 0, 0], [0, 0, 1], [0, 1, 1]]",3,0,6696,1,3,6,3,0,0,010/100/000,110/100/000,False
26,"(0, 0, 0, 0, 0, 1, 0, 1, 2)","[[0, 0, 0], [0, 0, 1], [0, 1, 2]]",4,1,3672,2,3,6,2,1,0,110/100/000,100/110/000,False
27,"(0, 0, 0, 0, 0, 1, 0, 1, 3)","[[0, 0, 0], [0, 0, 1], [0, 1, 3]]",5,3,216,3,3,6,2,0,1,111/100/000,100/110/100,False
28,"(0, 0, 0, 0, 0, 1, 0, 2, 0)","[[0, 0, 0], [0, 0, 1], [0, 2, 0]]",3,1,108,2,2,7,1,1,0,011/100/000,010/100/100,False
29,"(0, 0, 0, 0, 0, 1, 0, 2, 1)","[[0, 0, 0], [0, 0, 1], [0, 2, 1]]",4,1,324,2,3,6,2,1,0,011/100/000,010/110/100,False
30,"(0, 0, 0, 0, 0, 1, 0, 2, 2)","[[0, 0, 0], [0, 0, 1], [0, 2, 2]]",5,2,324,2,3,6,1,2,0,011/100/000,100/110/110,False
31,"(0, 0, 0, 0, 0, 1, 0, 2, 3)","[[0, 0, 0], [0, 0, 1], [0, 2, 3]]",6,4,108,3,3,6,1,1,1,111/100/000,100/110/110,False
32,"(0, 0, 0, 0, 0, 1, 1, 1, 0)","[[0, 0, 0], [0, 0, 1], [1, 1, 0]]",3,0,1728,1,3,6,3,0,0,010/100/000,011/100/000,False
33,"(0, 0, 0, 0, 0, 1, 1, 1, 1)","[[0, 0, 0], [0, 0, 1], [1, 1, 1]]",4,0,3672,1,4,5,4,0,0,010/100/000,111/100/000,False
34,"(0, 0, 0, 0, 0, 1, 1, 1, 2)","[[0, 0, 0], [0, 0, 1], [1, 1, 2]]",5,1,2160,2,4,5,3,1,0,110/100/000,100/111/000,False
35,"(0, 0, 0, 0, 0, 1, 1, 1, 3)","[[0, 0, 0], [0, 0, 1], [1, 1, 3]]",6,3,216,3,4,5,3,0,1,111/100/000,100/111/100,False
36,"(0, 0, 0, 0, 0, 1, 1, 2, 0)","[[0, 0, 0], [0, 0, 1], [1, 2, 0]]",4,1,216,2,3,6,2,1,0,011/100/000,001/110/100,False
37,"(0, 0, 0, 0, 0, 1, 1, 2, 1)","[[0, 0, 0], [0, 0, 1], [1, 2, 1]]",5,1,648,2,4,5,3,1,0,011/100/000,010/111/100,False
38,"(0, 0, 0, 0, 0, 1, 1, 2, 2)","[[0, 0, 0], [0, 0, 1], [1, 2, 2]]",6,2,648,2,4,5,2,2,0,011/100/000,100/111/110,False
39,"(0, 0, 0, 0, 0, 1, 1, 2, 3)","[[0, 0, 0], [0, 0, 1], [1, 2, 3]]",7,4,216,3,4,5,2,1,1,111/100/000,100/111/110,False
40,"(0, 0, 0, 0, 0, 1, 2, 2, 0)","[[0, 0, 0], [0, 0, 1], [2, 2, 0]]",5,2,54,2,3,6,1,2,0,011/100/000,001/110/110,False
41,"(0, 0, 0, 0, 0, 1, 2, 2, 1)","[[0, 0, 0], [0, 0, 1], [2, 2, 1]]",6,2,162,2,4,5,2,2,0,011/100/000,001/111/110,False
42,"(0, 0, 0, 0, 0, 1, 2, 2, 2)","[[0, 0, 0], [0, 0, 1], [2, 2, 2]]",7,3,162,2,4,5,1,3,0,011/100/000,100/111/111,False
