c_local_id,c_name,l0_local_id,l0_name,l1_local_id,l1_name,l2_local_id,l2_name,sigma_formula,eta1_formula,eta2_formula
0,"C[0,0]",0,"L[0,0,0]",3,"L[0,1,0]",6,"L[0,2,0]","sigma_k[0,0] = L[0,0,0] + L[0,1,0] + L[0,2,0]","eta1_k[0,0] = L[0,0,0] - L[0,1,0]","eta2_k[0,0] = L[0,1,0] - L[0,2,0]"
1,"C[0,1]",1,"L[0,0,1]",4,"L[0,1,1]",7,"L[0,2,1]","sigma_k[0,1] = L[0,0,1] + L[0,1,1] + L[0,2,1]","eta1_k[0,1] = L[0,0,1] - L[0,1,1]","eta2_k[0,1] = L[0,1,1] - L[0,2,1]"
2,"C[0,2]",2,"L[0,0,2]",5,"L[0,1,2]",8,"L[0,2,2]","sigma_k[0,2] = L[0,0,2] + L[0,1,2] + L[0,2,2]","eta1_k[0,2] = L[0,0,2] - L[0,1,2]","eta2_k[0,2] = L[0,1,2] - L[0,2,2]"
3,"C[1,0]",9,"L[1,0,0]",12,"L[1,1,0]",15,"L[1,2,0]","sigma_k[1,0] = L[1,0,0] + L[1,1,0] + L[1,2,0]","eta1_k[1,0] = L[1,0,0] - L[1,1,0]","eta2_k[1,0] = L[1,1,0] - L[1,2,0]"
4,"C[1,1]",10,"L[1,0,1]",13,"L[1,1,1]",16,"L[1,2,1]","sigma_k[1,1] = L[1,0,1] + L[1,1,1] + L[1,2,1]","eta1_k[1,1] = L[1,0,1] - L[1,1,1]","eta2_k[1,1] = L[1,1,1] - L[1,2,1]"
5,"C[1,2]",11,"L[1,0,2]",14,"L[1,1,2]",17,"L[1,2,2]","sigma_k[1,2] = L[1,0,2] + L[1,1,2] + L[1,2,2]","eta1_k[1,2] = L[1,0,2] - L[1,1,2]","eta2_k[1,2] = L[1,1,2] - L[1,2,2]"
6,"C[2,0]",18,"L[2,0,0]",21,"L[2,1,0]",24,"L[2,2,0]","sigma_k[2,0] = L[2,0,0] + L[2,1,0] + L[2,2,0]","eta1_k[2,0] = L[2,0,0] - L[2,1,0]","eta2_k[2,0] = L[2,1,0] - L[2,2,0]"
7,"C[2,1]",19,"L[2,0,1]",22,"L[2,1,1]",25,"L[2,2,1]","sigma_k[2,1] = L[2,0,1] + L[2,1,1] + L[2,2,1]","eta1_k[2,1] = L[2,0,1] - L[2,1,1]","eta2_k[2,1] = L[2,1,1] - L[2,2,1]"
8,"C[2,2]",20,"L[2,0,2]",23,"L[2,1,2]",26,"L[2,2,2]","sigma_k[2,2] = L[2,0,2] + L[2,1,2] + L[2,2,2]","eta1_k[2,2] = L[2,0,2] - L[2,1,2]","eta2_k[2,2] = L[2,1,2] - L[2,2,2]"
