policy_name,base_label,step_idx,accepted,branch,sample_index,eps,base_kappa_ker,next_kappa_ker,rotation_deg,step_cost,used_budget_after,score,tensor_max_abs_residual,restricted_rank
sweep_rot8_bw0p0,alphatensor_rank23_transpose,0,1,wildcard,24,0.05,0.6245923009701738,0.586216733765717,7.869193533013805,0.21666859980881262,0.21666859980881262,0.586216733765717,4.631941497535499e-15,14
sweep_rot8_bw0p0,alphatensor_rank23_transpose,1,1,wildcard,36,0.05,0.586216733765717,0.5507462899319598,5.250347168969554,0.23854199201019402,0.45521059181900664,0.5507462899319598,3.425321989018474e-15,14
sweep_rot8_bw0p0,alphatensor_rank23_transpose,2,1,wildcard,14,0.05,0.5507462899319598,0.5175070746789934,4.0143747375002725,0.19825449142413035,0.653465083243137,0.5175070746789934,3.607848271865458e-15,14
sweep_rot8_bw0p0,alphatensor_rank23_transpose,3,1,wildcard,18,0.05,0.5175070746789934,0.4838038450881607,3.898960642262362,0.24968922909769575,0.9031543123408328,0.4838038450881607,2.554106942467937e-15,14
sweep_rot8_bw0p0,alphatensor_rank23_transpose,4,1,wildcard,19,0.05,0.4838038450881607,0.4556511635838067,2.4968051114383853,0.22834597618267993,1.1315002885235126,0.4556511635838067,1.9852528491813647e-15,14
sweep_rot8_bw0p0,alphatensor_rank23_transpose,5,1,wildcard,46,0.01,0.4556511635838067,0.4496507066376215,0.50869147973636,0.05189892122363322,1.1833992097471457,0.4496507066376215,2.9976021664879227e-15,14
sweep_rot8_bw0p0,alphatensor_rank23_transpose,6,1,wildcard,28,0.003,0.4496507066376215,0.44797689207527414,0.14094173911609742,0.014536641938982556,1.1979358516861283,0.44797689207527414,2.0758605235729677e-15,14
sweep_rot8_bw0p0,alphatensor_rank23_transpose,7,0,none,-1,0.0,0.44797689207527414,0.44797689207527414,0.0,0.0,1.1979358516861283,0.44797689207527414,0.0,14
sweep_rot8_bw0p0,standard_rank27,0,0,none,-1,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.9999999999999996,0.0,18
sweep_rot12_bw0p0,alphatensor_rank23_transpose,0,1,wildcard,12,0.05,0.6245923009701738,0.5838018606101341,9.610144434851989,0.24344960618913414,0.24344960618913414,0.5838018606101341,3.8273392280356785e-15,14
sweep_rot12_bw0p0,alphatensor_rank23_transpose,1,1,wildcard,29,0.05,0.5838018606101341,0.5491361167721224,4.37247960742294,0.22224026867715718,0.4656898748662913,0.5491361167721224,3.3716953610827723e-15,14
sweep_rot12_bw0p0,alphatensor_rank23_transpose,2,1,wildcard,27,0.05,0.5491361167721224,0.5154518585802521,3.455705799982184,0.20940872254605672,0.675098597412348,0.5154518585802521,2.1317193090621836e-15,14
sweep_rot12_bw0p0,alphatensor_rank23_transpose,3,1,wildcard,10,0.05,0.5154518585802521,0.4853034183011747,3.267599945332575,0.22366176947054558,0.8987603668828936,0.4853034183011747,2.6293538431243634e-15,14
sweep_rot12_bw0p0,alphatensor_rank23_transpose,4,1,wildcard,19,0.05,0.4853034183011747,0.4532538749407947,2.982860701410107,0.22389601843830687,1.1226563853212004,0.4532538749407947,2.2620200883004812e-15,14
sweep_rot12_bw0p0,alphatensor_rank23_transpose,5,1,wildcard,24,0.01,0.4532538749407947,0.44803326530131066,0.5065427311379099,0.04368035245938387,1.1663367377805842,0.44803326530131066,2.6806820537311117e-15,14
sweep_rot12_bw0p0,alphatensor_rank23_transpose,6,1,wildcard,25,0.01,0.44803326530131066,0.44344956109971134,0.40225868253188424,0.033080265236441385,1.1994170030170257,0.44344956109971134,2.4424906541753444e-15,14
sweep_rot12_bw0p0,alphatensor_rank23_transpose,7,0,none,-1,0.0,0.44344956109971134,0.44344956109971134,0.0,0.0,1.1994170030170257,0.44344956109971134,0.0,14
sweep_rot12_bw0p0,standard_rank27,0,1,wildcard,43,0.05,0.9999999999999996,0.93876658565904,11.674181634678906,0.130376025028237,0.130376025028237,0.93876658565904,3.3306690738754696e-16,18
sweep_rot12_bw0p0,standard_rank27,1,1,wildcard,35,0.05,0.93876658565904,0.8811423945420092,0.18069528542225058,0.1294520001614599,0.25982802518969694,0.8811423945420092,2.220446049250313e-16,18
sweep_rot12_bw0p0,standard_rank27,2,1,wildcard,23,0.05,0.8811423945420092,0.8244057094610371,0.16198113637399625,0.12242242064878195,0.3822504458384789,0.8244057094610371,3.3306690738754696e-16,18
sweep_rot12_bw0p0,standard_rank27,3,1,wildcard,8,0.05,0.8244057094610371,0.7768615915167023,0.2641239199090822,0.12053656725322313,0.502787013091702,0.7768615915167023,3.3306690738754696e-16,18
sweep_rot12_bw0p0,standard_rank27,4,1,wildcard,15,0.05,0.7768615915167023,0.7337116872187264,0.2100161092899054,0.10376392070014079,0.6065509337918429,0.7337116872187264,3.3306690738754696e-16,18
sweep_rot12_bw0p0,standard_rank27,5,1,wildcard,6,0.05,0.7337116872187264,0.6913488040909826,0.16602228635550473,0.1090489283142475,0.7155998621060904,0.6913488040909826,3.3306690738754696e-16,18
sweep_rot12_bw0p0,standard_rank27,6,1,wildcard,5,0.05,0.6913488040909826,0.6491130907763929,0.2676483077203447,0.11055950054339768,0.8261593626494881,0.6491130907763929,3.3306690738754696e-16,18
sweep_rot12_bw0p0,standard_rank27,7,1,wildcard,46,0.05,0.6491130907763929,0.610954448791164,0.5575651238842407,0.11988754244421314,0.9460469050937013,0.610954448791164,3.3306690738754696e-16,18
sweep_rot12_bw0p0,standard_rank27,8,1,wildcard,15,0.05,0.610954448791164,0.5746093448827354,0.2804113957011005,0.12568462400499222,1.0717315290986935,0.5746093448827354,3.3306690738754696e-16,18
sweep_rot12_bw0p0,standard_rank27,9,1,wildcard,3,0.05,0.5746093448827354,0.5425062045154746,0.11195911229664084,0.10166568866672923,1.1733972177654228,0.5425062045154746,3.3306690738754696e-16,18
sweep_rot12_bw0p0,standard_rank27,10,1,wildcard,32,0.01,0.5425062045154746,0.5357886681675781,0.038092211427822195,0.025403431239522885,1.1988006490049457,0.5357886681675781,3.3306690738754696e-16,18
sweep_rot12_bw0p0,standard_rank27,11,0,none,-1,0.0,0.5357886681675781,0.5357886681675781,0.0,0.0,1.1988006490049457,0.5357886681675781,0.0,18
sweep_rot12_bw0p3,alphatensor_rank23_transpose,0,1,structured,0,0.001,0.6245923009701738,0.6239670716119048,0.18551051755612386,0.0032377554228093693,0.0032377554228093693,0.6252475824346745,2.5495347402774828e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,1,1,structured,0,0.001,0.6239670716119048,0.6233424714689694,0.18429498245549888,0.0032331844099295235,0.006470939832738893,0.6246195850960407,3.1373854632626695e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,2,1,structured,0,0.001,0.6233424714689694,0.6227185000842123,0.18305444603001425,0.003228641978925588,0.009699581811664481,0.6239921834212733,2.751916733414263e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,3,1,structured,0,0.001,0.6227185000842123,0.6220951569854097,0.1817917056107644,0.003224133703218166,0.012923715514882647,0.6233653832723932,2.666593144946091e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,4,1,wildcard,25,0.001,0.6220951569854097,0.6215466453504661,0.10845392537077977,0.0032846769530587836,0.01620839246794143,0.6227128049786684,2.5419013631804528e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,5,1,structured,0,0.001,0.6215466453504661,0.6209244821557749,0.17954192516946474,0.0032167239446270887,0.01942511641256852,0.6221887358811121,2.8295878544962885e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,6,1,structured,0,0.001,0.6209244821557749,0.6203029564035057,0.17636740428267733,0.003208802469044497,0.022633918881613018,0.6215595428180236,3.4507003185059757e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,7,1,structured,0,0.001,0.6203029564035057,0.6196820567445982,0.17508174777750224,0.003204539074885521,0.02583845795649854,0.6209352213800263,2.8527272484442233e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,8,1,structured,0,0.001,0.6196820567445982,0.6190617826687409,0.17378096729790596,0.003200311329115353,0.029038769285613893,0.620311511012972,2.6142622798411924e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,9,1,wildcard,36,0.001,0.6190617826687409,0.6184781867666431,0.12715739147625113,0.0033263096193782986,0.03236507890499219,0.6196880086382504,2.1019003973458164e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,10,1,structured,0,0.001,0.6184781867666431,0.6178591156815272,0.17311390247083486,0.0031961455470114887,0.03556122445200368,0.6191064825164154,2.6645352591003757e-15,14
sweep_rot12_bw0p3,alphatensor_rank23_transpose,11,1,structured,0,0.001,0.6178591156815272,0.6172406688487604,0.17174042827428532,0.0031919207298491503,0.03875314518185283,0.618484479114839,2.854653427154528e-15,14
