policy_name,base_label,rotation_cap_deg,budget_weight,max_steps,initial_kappa_ker,final_kappa_ker,accepted_steps,wildcard_wins,budget_used,total_gain,total_gain_per_budget,total_rotation_deg,total_gain_per_rotation_deg,first_step_gain,first_step_cost,first_step_gain_per_budget,avg_step_gain,avg_step_cost
sweep_rot8_bw0p0,alphatensor_rank23_transpose,8.0,0.0,16,0.6245923009701738,0.44797689207527414,7,7,1.1979358516861283,0.17661540889489968,0.14743311058460146,24.179314412036835,0.007304401021683966,0.038375567204456784,0.21666859980881262,0.1771164222149366,0.025230772699271382,0.17113369309801832
sweep_rot8_bw0p0,standard_rank27,8.0,0.0,16,0.9999999999999996,0.9999999999999996,0,0,0.0,0.0,,0.0,,,,,,
sweep_rot12_bw0p0,alphatensor_rank23_transpose,12.0,0.0,16,0.6245923009701738,0.44344956109971134,7,7,1.1994170030170257,0.18114273987046248,0.1510256561436216,24.597591902669585,0.007364246898120258,0.04079044036003976,0.24344960618913414,0.1675518847557715,0.025877534267208926,0.17134528614528938
sweep_rot12_bw0p0,standard_rank27,12.0,0.0,16,0.9999999999999996,0.5357886681675781,11,11,1.1988006490049457,0.46421133183242147,0.38722979689553566,13.912696523059791,0.0333660215374502,0.061233414340959524,0.130376025028237,0.46966775009207035,0.04220103016658377,0.10898187718226779
sweep_rot12_bw0p3,alphatensor_rank23_transpose,12.0,0.3,16,0.6245923009701738,0.61487596146338,16,3,0.051372814432811324,0.009716339506793847,0.18913387584597885,2.613219049978079,0.0037181496541116034,0.0006252293582690305,0.0032377554228093693,0.19310580220618548,0.0006072712191746155,0.0032108009020507078
sweep_rot12_bw0p3,standard_rank27,12.0,0.3,16,0.9999999999999996,0.4369819266423335,16,1,1.1542784503688963,0.5630180733576661,0.4877662518759931,11.732159598519612,0.04798929546003695,0.05678776887170034,0.09325437380759077,0.6089555540726594,0.03518862958485413,0.07214240314805602
sweep_rot12_bw0p6,alphatensor_rank23_transpose,12.0,0.6,24,0.6245923009701738,0.6097594620740213,24,0,0.07651166096159505,0.0148328388961525,0.1938637680810227,4.079993566218843,0.003635505462303686,0.0006252293582690305,0.0032377554228093693,0.19310580220618548,0.0006180349540063542,0.003187985873399794
sweep_rot12_bw0p6,standard_rank27,12.0,0.6,24,0.9999999999999996,0.7966188942955966,24,0,0.31916923028785094,0.20338110570440293,0.6372202781608317,11.671578977568075,0.017425329177422063,0.05208363197092536,0.07875292466827208,0.6613548917746895,0.008474212737683456,0.013298717928660456
sweep_rot16_bw0p6,alphatensor_rank23_transpose,16.0,0.6,24,0.6245923009701738,0.6097594620740213,24,0,0.07651166096159505,0.0148328388961525,0.1938637680810227,4.079993566218843,0.003635505462303686,0.0006252293582690305,0.0032377554228093693,0.19310580220618548,0.0006180349540063542,0.003187985873399794
sweep_rot16_bw0p6,standard_rank27,16.0,0.6,24,0.9999999999999996,0.7966188942955966,24,0,0.31916923028785094,0.20338110570440293,0.6372202781608317,11.671578977568075,0.017425329177422063,0.05208363197092536,0.07875292466827208,0.6613548917746895,0.008474212737683456,0.013298717928660456
