policy_name,alpha_total_gain_per_budget,standard_total_gain_per_budget,efficiency_gap_alpha_minus_standard,alpha_total_gain_per_rotation_deg,standard_total_gain_per_rotation_deg,rotation_efficiency_gap_alpha_minus_standard,alpha_wildcard_wins,standard_wildcard_wins
sweep_rot8_bw0p0,0.14743311058460146,,,0.007304401021683966,,,7,0
sweep_rot12_bw0p0,0.1510256561436216,0.38722979689553566,-0.23620414075191407,0.007364246898120258,0.0333660215374502,-0.02600177463932994,7,11
sweep_rot12_bw0p3,0.18913387584597885,0.4877662518759931,-0.29863237603001425,0.0037181496541116034,0.04798929546003695,-0.044271145805925345,3,1
sweep_rot12_bw0p6,0.1938637680810227,0.6372202781608317,-0.44335651007980903,0.003635505462303686,0.017425329177422063,-0.013789823715118377,0,0
sweep_rot16_bw0p6,0.1938637680810227,0.6372202781608317,-0.44335651007980903,0.003635505462303686,0.017425329177422063,-0.013789823715118377,0,0
