base_label,candidate,t_value,R,annihilator_projection_residual,lambda_H_max_abs,lambda_to_ker_angle_deg,rank_H_numeric,restricted_rank_numeric,functional_defect_dim_numeric,tensor_max_abs_residual,tensor_loss
alphatensor_rank23_transpose,softest_kernel_direction,0.0,23,2.1267709815475655e-15,0.3201972295418893,0.0,14,14,0,2.4933823149916585e-15,1.6201168903461137e-28
alphatensor_rank23_transpose,softest_kernel_direction,0.1,23,2.1267709815475655e-15,0.28817750658770036,2.3916775394610275,14,14,0,0.07130410938617415,0.09869680630469396
alphatensor_rank23_transpose,softest_kernel_direction,0.2,23,2.1267709815475655e-15,0.25615778363351144,5.3563441197266455,14,14,0,0.15252931637611744,0.45178441018266413
alphatensor_rank23_transpose,softest_kernel_direction,0.3,23,2.1267709815475655e-15,0.22413806067932246,9.034776267073214,14,14,0,0.2688909438119417,1.1293879446046298
alphatensor_rank23_transpose,softest_kernel_direction,0.4,23,2.1267709815475655e-15,0.19211833772513354,13.547957732737057,14,14,0,0.4090964990916667,2.1435704446942405
alphatensor_rank23_transpose,softest_kernel_direction,0.5,23,2.1267709815475655e-15,0.16009861477094464,18.918901078978116,14,14,0,0.5599639002594361,3.420295942774063
alphatensor_rank23_transpose,softest_kernel_direction,0.6,23,2.1267709815475655e-15,0.12807889181675572,24.969822079601318,14,14,0,0.7369879320765085,4.825986164193987
alphatensor_rank23_transpose,softest_kernel_direction,0.7,23,2.1267709815475655e-15,0.09605916886256681,31.338151217257604,14,14,0,0.884292557361277,6.232367467502856
alphatensor_rank23_transpose,softest_kernel_direction,0.8,23,2.1267709815475655e-15,0.06403944590837783,37.800467994052774,14,14,0,0.9846526449829889,7.55956311864405
alphatensor_rank23_transpose,softest_kernel_direction,0.9,23,2.1267709815475655e-15,0.03201972295418892,44.18388747013289,14,14,0,1.0398418442978319,8.766853847162885
alphatensor_rank23_transpose,softest_kernel_direction,1.0,23,2.1267709815475655e-15,2.1371793224034263e-15,48.67994766486628,14,14,0,1.0612249246423127,9.816738670377866
alphatensor_rank23_transpose,random_kernel_direction_1,0.0,23,7.98666688339722e-15,0.9158066317071248,0.0,14,14,0,2.4933823149916585e-15,1.6201168903461137e-28
alphatensor_rank23_transpose,random_kernel_direction_1,0.1,23,7.98666688339722e-15,0.8242259685364127,1.7796161091320037,14,14,0,0.08149539175536469,0.12040118609749098
alphatensor_rank23_transpose,random_kernel_direction_1,0.2,23,7.98666688339722e-15,0.7326453053657007,3.9748333927051487,14,14,0,0.18684439764056468,0.5483076910243921
alphatensor_rank23_transpose,random_kernel_direction_1,0.3,23,7.98666688339722e-15,0.6410646421949886,6.700525878015798,14,14,0,0.30576575465405964,1.360789554040215
alphatensor_rank23_transpose,random_kernel_direction_1,0.4,23,7.98666688339722e-15,0.5494839790242765,10.062171905270686,14,14,0,0.44142317771818285,2.564067136870379
