label,pair,basis_vector,weight_vector,shared_channel_rank,shared_channel_matrix,all_complementary_images_nonzero,complementary_images
alphatensor_rank23,01,b6,"{t01:1, t02:1, t03:3, t05:-1, t06:2, t16:1, t18:1, t22:-1}",1,"[[0, -2, 1], [0, -2, 1], [0, 0, 0]]",True,"02:[[0], [-6], [1], [0], [-5], [2], [0], [-1], [-1]] | 12:[[0], [-6], [1], [0], [-5], [2], [0], [-1], [-1]]"
alphatensor_rank23,01,b7,"{t01:13, t02:1, t03:27, t04:-24, t05:-18, t06:14, t07:5, t08:12, t09:-5, t10:5, t13:2, t14:1, t15:-1, t16:1, t23:2}",3,"[[-5, -31, 18], [-1, -14, 0], [-3, 0, 0]]",True,"02:[[-5], [-105], [23], [-1], [-41], [0], [-3], [-23], [4]] | 12:[[-5], [-105], [23], [-1], [-41], [0], [-3], [-23], [4]]"
alphatensor_rank23,02,b0,"{t01:17, t02:4, t03:-21, t04:-30, t05:26, t06:-38, t07:-47, t08:17, t09:-32, t10:-53, t11:-117, t12:32, t13:6, t14:-8, t15:-4, t16:14, t17:-4, t19:-6}",3,"[[-32, -70, 53], [-4, -21, 0], [-38, -79, 67]]",True,"01:[[-196], [-255], [196], [-12], [-59], [0], [-163], [-196], [184]] | 12:[[196], [255], [-196], [12], [59], [0], [163], [196], [-184]]"
alphatensor_rank23,02,b1,"{t01:12, t02:4, t03:-16, t04:-6, t05:2, t06:-28, t07:-7, t08:1, t09:-4, t10:-9, t11:-17, t12:4, t14:1, t15:-1, t16:2, t17:-1, t18:3, t20:3}",3,"[[-4, -21, 9], [-1, -16, 0], [-4, -11, 11]]",True,"01:[[-28], [-72], [28], [0], [-44], [-3], [-20], [-28], [28]] | 12:[[28], [72], [-28], [0], [44], [3], [20], [28], [-28]]"
alphatensor_rank23,02,b2,"{t01:1, t03:-1, t04:-6, t05:6, t06:-2, t07:-11, t08:5, t09:-8, t10:-13, t11:-29, t12:8, t16:6, t21:6}",3,"[[-8, -14, 13], [0, -1, 0], [-8, -19, 19]]",True,"01:[[-48], [-51], [48], [6], [-3], [6], [-31], [-48], [54]] | 12:[[48], [51], [-48], [-6], [3], [-6], [31], [48], [-54]]"
alphatensor_rank23,02,b3,"{t01:2, t02:1, t03:-3, t05:-1, t06:-5, t07:1, t08:-1, t09:1, t10:1, t11:3, t12:-1, t16:-1, t18:-1, t22:1}",2,"[[1, -1, -1], [0, -3, 1], [1, 2, -2]]",True,"01:[[5], [-3], [-5], [0], [-8], [2], [4], [5], [-5]] | 12:[[-5], [3], [5], [0], [8], [-2], [-4], [-5], [5]]"
alphatensor_rank23,02,b4,"{t01:6, t02:2, t03:-8, t04:-9, t05:7, t06:-14, t07:-14, t08:5, t09:-8, t10:-15, t11:-31, t12:8, t13:3, t14:-1, t15:-2, t16:4, t17:-2, t23:3}",3,"[[-8, -21, 15], [-2, -8, 0], [-8, -22, 19]]",True,"01:[[-53], [-75], [53], [-3], [-22], [0], [-37], [-53], [50]] | 12:[[53], [75], [-53], [3], [22], [0], [37], [53], [-50]]"
alphatensor_rank23,12,b0,"{t02:1, t04:-1, t08:2, t09:-3, t10:1, t11:-1, t12:-1}",2,"[[1, 2, -1], [0, 0, 0], [1, 1, -1]]",True,"01:[[-4], [-8], [7], [0], [-1], [1], [-4], [-4], [4]] | 02:[[-4], [-8], [7], [0], [-1], [1], [-4], [-4], [4]]"
alphatensor_rank23,12,b1,"{t01:14, t02:10, t03:7, t04:-8, t05:-2, t06:-7, t07:2, t08:4, t09:-2, t11:-2, t14:2, t15:4, t16:-2, t17:-2}",3,"[[0, 17, 0], [-2, 7, 0], [0, 2, -2]]",True,"01:[[-2], [-47], [16], [6], [-31], [14], [4], [-2], [8]] | 02:[[-2], [-47], [16], [6], [-31], [14], [4], [-2], [8]]"
alphatensor_rank23,12,b2,"{t01:14, t02:10, t03:7, t04:-8, t05:-2, t06:-7, t07:2, t08:4, t09:-2, t11:-2, t13:-2, t16:-2, t19:2}",2,"[[0, 17, 0], [0, 7, 0], [2, 2, -2]]",True,"01:[[-2], [-47], [16], [0], [-31], [10], [-6], [-2], [2]] | 02:[[-2], [-47], [16], [0], [-31], [10], [-6], [-2], [2]]"
alphatensor_rank23,12,b3,"{t01:42, t02:22, t03:21, t04:-14, t05:-8, t06:-21, t08:-8, t09:8, t10:-8, t14:2, t15:4, t16:-6, t18:-2, t20:-2, t21:-2}",2,"[[0, 35, 8], [0, 21, 0], [0, 0, 2]]",True,"01:[[8], [-83], [-2], [4], [-85], [28], [14], [8], [-4]] | 02:[[8], [-83], [-2], [4], [-85], [28], [14], [8], [-4]]"
alphatensor_rank23,12,b4,"{t01:4, t02:3, t03:2, t04:-2, t05:-1, t06:-2, t08:-1, t09:1, t10:-1, t15:2, t16:-1, t18:-1, t20:-2, t22:-1}",2,"[[0, 4, 1], [0, 2, -1], [0, 0, 0]]",True,"01:[[1], [-9], [0], [2], [-9], [8], [3], [1], [1]] | 02:[[1], [-9], [0], [2], [-9], [8], [3], [1], [1]]"
alphatensor_rank23,12,b5,"{t01:4, t03:2, t04:1, t05:-1, t06:-2, t07:-1, t08:-5, t09:3, t10:-2, t11:1, t13:-1, t15:1, t16:-1, t23:-1}",2,"[[0, 0, 2], [0, 2, 0], [0, -1, 1]]",True,"01:[[3], [4], [-10], [1], [-6], [1], [3], [3], [-2]] | 02:[[3], [4], [-10], [1], [-6], [1], [3], [3], [-2]]"
