case,trials,min_gap,median_gap,max_gap,min_total_nullity,max_total_nullity
random_3x3_R20,6,1.3203603166521747,1.7547681598709586,3.3798976429439196,0,0
random_3x3_R21,6,0.33754655791006255,1.0802271353046868,3.4879903983698677,0,0
random_3x3_R22,6,0.39050121217123374,1.258679136473332,2.6029924582619954,0,0
