base_label,candidate,R,tangent_rank,tangent_nullity,tangent_smallest_positive_singular,constraint_rank,constraint_nullity,feasible_exact_tangent_dim,min_norm_direction_norm,min_norm_first_order_residual_l2,min_norm_first_order_residual_max_abs,optimized_direction_norm,tangent_correction_norm,tangent_correction_ratio,optimized_first_order_residual_l2,optimized_first_order_residual_max_abs,optimized_residual_improvement_factor,relative_transversality_min_norm,relative_transversality_optimized,constraint_residual_min_norm,constraint_residual_optimized,fd_min_norm_residual_over_eps,fd_optimized_residual_over_eps,fd_min_norm_loss_over_eps_sq,fd_optimized_loss_over_eps_sq,curvature_residual_eps_0p001,curvature_loss_eps_0p001,curvature_residual_over_eps_sq_0p001,curvature_residual_eps_0p01,curvature_loss_eps_0p01,curvature_residual_over_eps_sq_0p01,curvature_residual_eps_0p05,curvature_loss_eps_0p05,curvature_residual_over_eps_sq_0p05,curvature_residual_eps_0p1,curvature_loss_eps_0p1,curvature_residual_over_eps_sq_0p1,first_curvature_residual_over_1e_2,first_curvature_residual_over_5e_2,path_residual_eps_0p1,path_loss_eps_0p1,path_lambda_h_ratio_eps_0p1,path_angle_deg_eps_0p1,path_residual_eps_0p2,path_loss_eps_0p2,path_lambda_h_ratio_eps_0p2,path_angle_deg_eps_0p2,path_residual_eps_0p5,path_loss_eps_0p5,path_lambda_h_ratio_eps_0p5,path_angle_deg_eps_0p5,path_residual_eps_1p0,path_loss_eps_1p0,path_lambda_h_ratio_eps_1p0,path_angle_deg_eps_1p0,first_path_residual_over_1e_2,first_path_residual_over_5e_2,first_path_angle_over_5_deg,first_path_angle_over_15_deg,base_lambda_h_max_abs,min_norm_progress_lambda_h_eps_0p1,min_norm_progress_lambda_h_ratio_eps_0p1,optimized_progress_lambda_h_eps_0p1,optimized_progress_lambda_h_ratio_eps_0p1
alphatensor_rank23_transpose,softest_kernel_direction,23,14,55,0.787381988974389,18,51,41,4.076199224901369,2.9108098588350466,0.7440549635978719,4.944135865220102,2.7980492012595484,0.6864358307529123,1.924129404199861e-14,6.7931771319251766e-15,151279318973117.16,0.7140990168127709,3.891740552146422e-15,3.885780586188048e-16,4.440892098500626e-16,0.744040915903188,2.220446049250313e-11,8.474151944287325,1.7095640643261568e-20,1.6372167446842537e-15,1.298053410938725e-28,1.6372167446842537e-09,4.157341726018591e-15,5.59775953349142e-28,4.157341726018591e-11,2.29335938612631e-15,1.3004071225267184e-28,9.173437544505239e-13,3.3306690738754696e-15,3.3431187259400274e-28,3.330669073875469e-13,,,3.3306690738754696e-15,3.3431187259400274e-28,0.9,1.1508368370922002,3.621887943306293e-15,4.627637031601657e-28,0.7999999999999998,2.57814501329677,2.9976021664879227e-15,2.234670763241711e-28,0.4999999999999999,9.832781539614492,1.6353585152728556e-13,2.530873288154839e-25,1.384215124990925e-15,89.99999999999642,,,0.5,1.0,0.3201972295418893,0.28817750658770036,0.9,0.28817750658770036,0.9
alphatensor_rank23_transpose,random_kernel_direction_1,23,14,55,0.787381988974389,18,51,41,4.255542249932176,3.217597878814448,0.7027892450594478,5.17033084832625,2.9364402326960857,0.6900272774269569,1.3711984751246389e-14,2.4980018054066022e-15,234655882221716.7,0.756095860372607,2.65205170684295e-15,9.992007221626409e-16,9.992007221626409e-16,0.7027779847579296,2.3314683517128287e-11,10.354573441773313,1.3528367775569264e-20,2.220446049250313e-15,1.232350224374557e-28,2.220446049250313e-09,1.6294213359770406e-15,1.1375140739177006e-28,1.6294213359770406e-11,4.000687704750247e-15,4.889067947768541e-28,1.6002750819000984e-12,1.7763568394002505e-15,1.1656616837364734e-28,1.7763568394002502e-13,,,1.7763568394002505e-15,1.1656616837364734e-28,0.9,1.4634480338935345,1.9984014443252818e-15,1.125114554907111e-28,0.8,3.280174397901492,2.746873647206456e-15,1.6112331090584006e-28,0.5000000000000001,12.40443115057945,1.0880185641326534e-14,9.321801896247978e-28,1.1062144287839554e-15,89.99999999999952,,,0.5,1.0,0.9158066317071248,0.8242259685364124,0.9,0.8242259685364124,0.9
alphatensor_rank23_transpose,random_kernel_direction_2,23,14,55,0.787381988974389,18,51,41,4.572443167469841,2.703082223963728,0.6752382860672448,5.235191642762958,2.549508779493314,0.5575812943136225,1.3358396760616324e-14,3.224111972601297e-15,202350796461821.4,0.5911680309543305,2.5516538213233797e-15,1.5543122344752192e-15,1.5543122344752192e-15,0.6752499404605317,3.8209130458803906e-11,7.307763256431638,2.7026392952230263e-20,2.432604149771007e-15,2.734589577982828e-28,2.4326041497710068e-09,3.212675193879903e-15,3.0273050299329747e-28,3.212675193879903e-11,2.3059372572623342e-15,1.8910500706734464e-28,9.223749029049335e-13,3.2045381903215028e-15,1.9738059074509205e-28,3.204538190321502e-13,,,3.2045381903215028e-15,1.9738059074509205e-28,0.9,1.7340406319613317,6.771392964101381e-15,4.302788772452451e-28,0.8000000000000003,3.8847904588205795,3.4645950339022705e-15,2.208317516716382e-28,0.5000000000000004,14.612364059363237,2.653433028854124e-13,1.2479723233668608e-24,8.810308381316052e-16,89.99999999999874,,,0.5,1.0,1.5594244077622206,1.4034819669859986,0.9,1.4034819669859986,0.9
standard_rank27,softest_kernel_direction,27,0,81,0.0,14,67,67,3.7416573867739413,0.0,0.0,3.7416573867739413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-12,3.3306690738754696e-12,1.355854680848614e-22,1.355854680848614e-22,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,6.902532920683853e-31,1.3322676295501876e-13,2.220446049250313e-16,4.930380657631324e-32,2.2204460492503128e-14,,,2.220446049250313e-16,4.930380657631324e-32,0.9,0.0,2.220446049250313e-16,7.395570986446986e-32,0.8,8.537736462515939e-07,0.0,0.0,0.49999999999999994,0.0,1.0,14.0,1.7876595717457935e-16,0.0,1.0,1.0,,,0.6924861328562251,0.6232375195706026,0.9,0.6232375195706026,0.9
standard_rank27,random_kernel_direction_1,27,0,81,0.0,18,63,63,4.242640687119286,0.0,0.0,4.242640687119286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-16,5.551115123125783e-16,3.3306690738754696e-12,3.3306690738754696e-12,1.0846837446788912e-22,1.0846837446788912e-22,3.3306690738754696e-16,4.437342591868191e-31,3.3306690738754696e-10,3.3306690738754696e-16,6.286235338479938e-31,3.3306690738754696e-12,3.3306690738754696e-16,5.546678239835239e-31,1.3322676295501876e-13,3.3306690738754696e-16,5.669937756276022e-31,3.330669073875469e-14,,,3.3306690738754696e-16,5.669937756276022e-31,0.8999999999999999,2.5736997548357405,2.220446049250313e-16,3.0814879110195774e-31,0.7999999999999999,5.768231621439366,2.220446049250313e-16,2.9582283945787943e-31,0.5000000000000001,21.69044217740542,3.3306690738754696e-16,4.190823558986625e-31,7.045325365488376e-16,89.99999999999996,,,0.2,0.5,0.6697274589716321,0.6027547130744688,0.8999999999999999,0.6027547130744688,0.8999999999999999
standard_rank27,random_kernel_direction_2,27,0,81,0.0,18,63,63,4.242640687119285,0.0,0.0,4.242640687119285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,9.992007221626409e-16,3.3306690738754696e-12,3.3306690738754696e-12,6.409494854920721e-23,6.409494854920721e-23,3.3306690738754696e-16,8.7514256672956e-31,3.3306690738754696e-10,3.3306690738754696e-16,6.656013887802287e-31,3.3306690738754696e-12,3.3306690738754696e-16,4.930380657631324e-31,1.3322676295501876e-13,3.3306690738754696e-16,7.888609052210118e-31,3.330669073875469e-14,,,3.3306690738754696e-16,7.888609052210118e-31,0.9,1.9898816518241662,3.3306690738754696e-16,5.7931972727168054e-31,0.7999999999999999,4.458979992421818,2.220446049250313e-16,3.821045009664276e-31,0.4999999999999998,16.843270235511167,3.3306690738754696e-16,3.0814879110195774e-31,1.33099644891388e-15,89.99999999999963,,,0.5,0.5,0.7715695249347111,0.69441257244124,0.9,0.69441257244124,0.9
