base_label,step_idx,branch,sample_index,eps,step_norm,delta_norm,dot_lambda_norm,base_kappa_ker,kappa_ker_state,honest_defect_l2,tensor_max_abs_residual,tensor_loss,restricted_rank,kernel_dim,is_regular
alphatensor_rank23_transpose,0,structured,0,0.001,2.98433915262839,2.9126425604127832,0.6502257247931716,0.6245923009701738,0.6239670716119048,0.623967559121639,2.5495347402774828e-15,2.8221079051823196e-28,14,14,1
alphatensor_rank23_transpose,0,structured,0,0.003,2.98433915262839,2.9126425604127832,0.6502257247931716,0.6245923009701738,0.6227128426484574,0.6227171809869965,2.6645352591003757e-15,2.6415107538257526e-28,14,14,1
alphatensor_rank23_transpose,0,structured,0,0.01,2.98433915262839,2.9126425604127832,0.6502257247931716,0.6245923009701738,0.6182852022162333,0.6183316092284173,3.0654149253262746e-15,2.627388505347261e-28,14,14,1
alphatensor_rank23_transpose,0,structured,0,0.03,2.98433915262839,2.9126425604127832,0.6502257247931716,0.6245923009701738,0.6053488503195167,0.6057295230993113,3.0030078388482373e-15,2.2962835395715707e-28,14,14,1
alphatensor_rank23_transpose,0,structured,0,0.05,2.98433915262839,2.9126425604127832,0.6502257247931716,0.6245923009701738,0.5920644505108291,0.5930582165028025,2.497101157017693e-15,2.539425130755831e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,1,0.001,3.0470380622219304,2.935302149980557,0.8175831706613689,0.6245923009701738,0.6240135654096867,0.6240150538302486,3.4032686990161848e-15,2.3455569348805334e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,1,0.003,3.0470380622219304,2.935302149980557,0.8175831706613689,0.6245923009701738,0.6228529749460402,0.6228663514894934,2.3123742910900706e-15,1.300111247239868e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,1,0.01,3.0470380622219304,2.935302149980557,0.8175831706613689,0.6245923009701738,0.6187595661094851,0.6189075525149169,2.220446049250313e-15,1.2026901484549646e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,1,0.03,3.0470380622219304,2.935302149980557,0.8175831706613689,0.6245923009701738,0.6068262698776216,0.6081497669722995,2.6819473656034192e-15,1.4785192143215403e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,1,0.05,3.0470380622219304,2.935302149980557,0.8175831706613689,0.6245923009701738,0.5946010161600506,0.5982877471237387,2.9244699399559973e-15,2.500496648222832e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,2,0.001,3.5978747336888635,3.4845346645464135,0.8959468571802263,0.6245923009701738,0.6239251773911757,0.6239276752320528,2.3754017733791488e-15,2.8298197974769983e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,2,0.003,3.5978747336888635,3.4845346645464135,0.8959468571802263,0.6245923009701738,0.6225836945925531,0.6226060562985453,3.60479324128937e-15,2.6540148661076244e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,2,0.01,3.5978747336888635,3.4845346645464135,0.8959468571802263,0.6245923009701738,0.6178176988781112,0.6180618866047689,2.9976021664879227e-15,2.4122212536700097e-28,14,14,1
