label,R,rank_gamma_numeric,ker_gamma_dim_numeric,rank_H_numeric,defect_dim_numeric,center_identity_max_abs,lift0_kernel_residual_max_abs,lift1_kernel_residual_max_abs,lift2_kernel_residual_max_abs,sum_lifts_max_abs,pair01_equal_max_abs,pair12_equal_max_abs,pair02_equal_max_abs,lift_span_rank_numeric,rank_gamma_exact,ker_gamma_dim_exact,rank_H_exact,defect_dim_exact,center_identity_exact,lift0_kernel_exact,lift1_kernel_exact,lift2_kernel_exact,sum_lifts_exact
alphatensor_rank23_transpose,23,9,14,14,0,0.0,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.0,2.0,1.0,2,9,14,14,0,True,True,True,True,True
standard_rank27,27,9,18,18,0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,2,9,18,18,0,True,True,True,True,True
