trial,sampled_points,rank_W,projection_max_abs,projection_loss,tensor_feasible
14,22,22,0.898833335862747,18.333884424173043,False
90,22,22,0.8378935924191141,18.418975259807944,False
61,22,22,0.9153985072039038,18.568656631672702,False
30,22,22,0.9188602181474396,18.57327635504639,False
96,22,22,0.9057753805175122,18.582866191203298,False
54,22,22,0.9159051701732392,18.690387353668697,False
64,22,22,0.9091274482534188,18.690638891131066,False
58,22,22,0.8900658430836983,18.77920999075373,False
10,22,22,0.9214763592956838,18.856833910112144,False
66,22,22,0.8422255424477985,18.86533769207747,False
74,22,22,0.8896501259715093,18.86547248757536,False
62,22,22,0.9614281037322415,18.907438906558237,False
83,22,22,0.8659743429874531,18.977119525305305,False
80,22,22,0.8881358184986663,18.99067596508139,False
11,22,22,0.893296397192277,18.99943369938454,False
4,22,22,0.8925066311916854,19.01434964872756,False
78,22,22,0.8693530805804732,19.02140473076605,False
87,22,22,0.9411450207170562,19.14707768034023,False
34,22,22,0.9216218653413129,19.148930193287722,False
42,22,22,0.901222296281825,19.15600602613325,False
13,22,22,0.9268532233885621,19.197431663634838,False
86,22,22,0.8586665037370682,19.23494265519352,False
44,22,22,0.8864443598219816,19.255340830639092,False
27,22,22,0.9059606164610766,19.264928590834913,False
39,22,22,0.936563471567185,19.278659858222092,False
6,22,22,0.9108939837069501,19.296821899591848,False
19,22,22,0.9777731002316905,19.319404110704497,False
36,22,22,0.9576702044134215,19.32059639569811,False
60,22,22,0.9856884060525912,19.3480512846778,False
28,22,22,1.0106000856890174,19.350084877138144,False
94,22,22,0.8943330105855396,19.36428882000279,False
53,22,22,0.9425900568677191,19.390320429137944,False
76,22,22,0.9684757445889548,19.393718369569413,False
71,22,22,0.9617910714995999,19.39984272408198,False
16,22,22,0.9297941848006425,19.401136686454727,False
92,22,22,0.939319305912735,19.415412301029498,False
57,22,22,0.9665524872759612,19.418094027590023,False
31,22,22,0.9377992600791517,19.446239467623744,False
8,22,22,0.8677108387087662,19.466876278207476,False
72,22,22,0.8955326501299933,19.485550934307874,False
43,22,22,0.9090839165342515,19.49917930797465,False
37,22,22,0.9475616021921636,19.52409884349538,False
97,22,22,0.8994158721322432,19.531516262399215,False
68,22,22,0.9336582126079734,19.544603912671196,False
25,22,22,0.9130383667253532,19.545191205882013,False
82,22,22,0.9183429127517218,19.58751403561152,False
45,22,22,0.9517367238681506,19.627864562489354,False
52,22,22,0.9163558696950083,19.632952384548823,False
3,22,22,0.8796212319320338,19.660642687325797,False
7,22,22,0.8839466521106304,19.68018058475136,False
69,22,22,0.8961537758140954,19.689087210520253,False
29,22,22,0.9487526503605058,19.70569548136965,False
98,22,22,0.8816824657105746,19.720849421879286,False
26,22,22,0.9121997971615388,19.72855776512413,False
46,22,22,0.9356366510078087,19.746239463667862,False
77,22,22,0.9063475153182101,19.751207031704,False
2,22,22,0.9545240785246447,19.751863752802066,False
81,22,22,0.9857998194560801,19.844523043791156,False
85,22,22,0.8811586057992508,19.85617047287512,False
12,22,22,0.9820816178491536,19.873385743596856,False
47,22,22,0.8850566573741812,19.885482105737808,False
20,22,22,0.9519939961092888,19.90816810431653,False
67,22,22,0.9187770174802332,19.91474911844244,False
79,22,22,0.9221421555519813,19.928565684395814,False
18,22,22,0.9737190282988173,19.933510347723164,False
23,22,22,0.9014627472956915,19.959112799457802,False
93,22,22,0.954465492143594,19.961837661294865,False
91,22,22,0.9238255710955013,19.970104507592072,False
49,22,22,0.9246930243638605,19.970204977667517,False
24,22,22,0.9639493261993672,20.057757207255747,False
65,22,22,0.8798253000092856,20.083421419945743,False
70,22,22,0.8869940518024351,20.085793660325763,False
88,22,22,1.0239192580854184,20.117613239702802,False
35,22,22,0.9541105995498399,20.158775423862203,False
84,22,22,0.9062395005680961,20.180259933874027,False
21,22,22,0.9624650695506262,20.212905542713553,False
17,22,22,0.910860006475192,20.214378929736057,False
5,22,22,0.9671720039584006,20.221865929241872,False
41,22,22,0.9590535867097945,20.242269416506872,False
32,22,22,0.9439025344013426,20.24714126287235,False
75,22,22,0.9098589623120411,20.27680675314405,False
59,22,22,0.9321840382894685,20.30015334994305,False
0,22,22,0.913540559063307,20.304914686644363,False
95,22,22,0.9821452320679742,20.313300958358752,False
63,22,22,0.8981365856773942,20.339638305400204,False
51,22,22,0.9119320172426866,20.3650934948203,False
1,22,22,0.9898534539815561,20.391305883979797,False
15,22,22,0.954514426376358,20.420214032193435,False
40,22,22,0.9177535942460473,20.470807073719342,False
50,22,22,0.9733242185244697,20.53620777693498,False
56,22,22,0.9583898527906154,20.54417446735195,False
89,22,22,0.9089393341334085,20.55303385404742,False
38,22,22,0.9129288335441622,20.645448987259368,False
33,22,22,0.9482251452722497,20.650873093519643,False
9,22,22,1.0249984019970655,20.734074283990083,False
22,22,22,0.9906267865916083,20.772034798805283,False
48,22,22,0.978663562715348,20.849507402661843,False
99,22,22,0.9176256629395367,20.91921214453182,False
55,22,22,0.9287822435473245,21.038259241101883,False
73,22,22,0.9341155012447346,21.06580114265534,False
