trial,sampled_points,sigma_rank,rank_W,projection_max_abs,projection_loss
1,22,9,22,0.9075379843352899,18.26324631761861
29,22,9,22,0.9552264729149404,18.309307180878093
62,22,9,22,0.9256522560757887,18.50092028342074
28,22,9,22,0.953365622951966,18.613904735652824
54,22,9,22,0.876986135674692,18.656774795131383
59,22,9,22,0.9576404747831507,18.759730778643554
13,22,9,22,0.9288850360120596,18.77666195652025
63,22,9,22,0.9267725456932769,18.799436488110302
43,22,9,22,0.9188665286375062,18.80430188829021
27,22,9,22,0.9551750729602547,18.8240893839747
5,22,9,22,0.8928458584542645,18.93885255385774
45,22,9,22,0.9340990576436708,18.95709014053579
0,22,9,22,0.9687705943633305,18.972001556130877
20,22,9,22,0.8938575017588857,19.059110429196505
8,22,9,22,0.8883150135247816,19.06485965599815
53,22,9,22,0.8722321828754724,19.076861229554943
47,22,9,22,0.9431738303716984,19.152313851611886
33,22,9,22,0.9957011323769144,19.22503271854389
44,22,9,22,0.8781214041150573,19.225916203901132
14,22,9,22,0.9376246383335203,19.228756391005447
36,22,9,22,0.9022947662325894,19.236046001519497
57,22,9,22,0.8607198177062908,19.24619999344126
61,22,9,22,0.9455917254509758,19.35882040305975
32,22,9,22,0.9023168351276056,19.37318053864131
26,22,9,22,0.9177740337349577,19.412629848458323
49,22,9,22,0.9216478427959035,19.440211963893702
37,22,9,22,0.9652700750910113,19.449637337463777
15,22,9,22,0.8651907731832073,19.536214011490056
16,22,9,22,0.9049966289420392,19.674470425751863
51,22,9,22,0.8643122467989263,19.677125109392335
18,22,9,22,0.9657542576258425,19.686787272514458
40,22,9,22,0.9807094838314571,19.71408594255326
22,22,9,22,0.9860320765088911,19.79731738270583
11,22,9,22,0.92899098051622,19.799349418115348
9,22,9,22,0.8867847180110949,19.813966839057883
23,22,9,22,0.9902757803923046,19.829978408506403
34,22,9,22,0.9361619638734829,19.83033291294917
39,22,9,22,0.9000547353550608,19.838769302039783
30,22,9,22,0.9548107200772682,19.89743124449161
60,22,9,22,0.9940088124631024,19.930488636851
50,22,9,22,0.9741088347626566,19.935336818311193
48,22,9,22,0.9052279433445232,19.93561824824451
6,22,9,22,0.9910619102228007,19.979153998080854
56,22,9,22,0.9560495237905428,20.027934813519735
19,22,9,22,0.8879007997350672,20.043685833114996
17,22,9,22,0.9405358515033693,20.053834712875112
41,22,9,22,0.8980867027223363,20.054345193284274
3,22,9,22,0.9924436100985725,20.069541264971402
4,22,9,22,0.9823756286520549,20.08048505794701
52,22,9,22,0.9453307187490366,20.19690282813067
42,22,9,22,0.9400127563857513,20.203574710911983
25,22,9,22,0.9314673740059232,20.20787787834148
10,22,9,22,0.9338909808875836,20.20832893709484
46,22,9,22,0.8936123339698124,20.210967206156255
7,22,9,22,0.9461151149604495,20.22230714898813
55,22,9,22,0.8856553026550755,20.256671493402827
38,22,9,22,0.9920010557970361,20.276165562618438
21,22,9,22,0.9705090730470257,20.2846172118457
58,22,9,22,0.9985654817210347,20.313822625570026
2,22,9,22,0.9100239513980591,20.363834510262457
31,22,9,22,0.9056118513636936,20.379092649658773
24,22,9,22,0.9364935946599345,20.49801011532668
35,22,9,22,0.9476572073544594,20.507507699696692
12,22,9,22,0.9838407466582308,20.538806772528893
