term_id,coordinate,value,expected,abs_error,matches
t13,"S[0,1]",0.0,0.0,0.0,True
t13,"S[0,2]",0.0,0.0,0.0,True
t13,"S[1,0]",0.0,0.0,0.0,True
t13,"S[1,1]",0.0,0.0,0.0,True
t13,"S[1,2]",0.0,0.0,0.0,True
t13,"S[2,0]",1.0,1.0,0.0,True
t13,"S[2,1]",0.0,0.0,0.0,True
t13,"S[2,2]",0.0,0.0,0.0,True
t14,"S[0,0]",0.0,0.0,0.0,True
t14,"S[0,1]",0.0,0.0,0.0,True
t14,"S[0,2]",0.0,0.0,0.0,True
t14,"S[1,0]",-1.0,-1.0,0.0,True
t14,"S[1,1]",0.0,0.0,0.0,True
t14,"S[1,2]",0.0,0.0,0.0,True
t14,"S[2,0]",0.0,0.0,0.0,True
t14,"S[2,1]",0.0,0.0,0.0,True
t14,"S[2,2]",1.0,1.0,0.0,True
t15,"S[0,0]",0.0,0.0,0.0,True
t15,"S[0,1]",0.0,0.0,0.0,True
t15,"S[0,2]",0.0,0.0,0.0,True
t15,"S[1,0]",1.0,1.0,0.0,True
t15,"S[1,1]",0.0,0.0,0.0,True
t15,"S[1,2]",1.0,1.0,0.0,True
t15,"S[2,0]",1.0,1.0,0.0,True
t15,"S[2,1]",0.0,0.0,0.0,True
t15,"S[2,2]",1.0,1.0,0.0,True
t16,"S[0,0]",0.0,0.0,0.0,True
t16,"S[0,1]",0.0,0.0,0.0,True
t16,"S[0,2]",0.0,0.0,0.0,True
t16,"S[1,0]",0.0,0.0,0.0,True
t16,"S[1,1]",0.0,0.0,0.0,True
t16,"S[1,2]",0.0,0.0,0.0,True
t16,"S[2,0]",0.0,0.0,0.0,True
t16,"S[2,1]",0.0,0.0,0.0,True
t16,"S[2,2]",1.0,1.0,0.0,True
t17,"S[0,0]",0.0,0.0,0.0,True
t17,"S[0,1]",0.0,0.0,0.0,True
t17,"S[0,2]",0.0,0.0,0.0,True
t17,"S[1,0]",1.0,1.0,0.0,True
t17,"S[1,1]",0.0,0.0,0.0,True
t17,"S[1,2]",0.0,0.0,0.0,True
t17,"S[2,0]",0.0,0.0,0.0,True
t17,"S[2,1]",0.0,0.0,0.0,True
t17,"S[2,2]",0.0,0.0,0.0,True
t18,"S[0,0]",0.0,0.0,0.0,True
t18,"S[0,1]",0.0,0.0,0.0,True
t18,"S[0,2]",0.0,0.0,0.0,True
t18,"S[1,0]",0.0,0.0,0.0,True
t18,"S[1,1]",0.0,0.0,0.0,True
t18,"S[1,2]",1.0,1.0,0.0,True
t18,"S[2,0]",0.0,0.0,0.0,True
t18,"S[2,1]",0.0,0.0,0.0,True
t18,"S[2,2]",0.0,0.0,0.0,True
t19,"S[0,0]",0.0,0.0,0.0,True
t19,"S[0,1]",0.0,0.0,0.0,True
t19,"S[0,2]",0.0,0.0,0.0,True
t19,"S[1,0]",0.0,0.0,0.0,True
t19,"S[1,1]",0.0,0.0,0.0,True
t19,"S[1,2]",0.0,0.0,0.0,True
t19,"S[2,0]",1.0,1.0,0.0,True
t19,"S[2,1]",0.0,0.0,0.0,True
t19,"S[2,2]",0.0,0.0,0.0,True
t20,"S[0,0]",0.0,0.0,0.0,True
t20,"S[0,1]",0.0,0.0,0.0,True
t20,"S[0,2]",0.0,0.0,0.0,True
t20,"S[1,0]",0.0,0.0,0.0,True
t20,"S[1,1]",0.0,0.0,0.0,True
t20,"S[1,2]",-1.0,-1.0,0.0,True
t20,"S[2,0]",0.0,0.0,0.0,True
t20,"S[2,1]",0.0,0.0,0.0,True
t20,"S[2,2]",0.0,0.0,0.0,True
t21,"S[0,0]",0.0,0.0,0.0,True
t21,"S[0,1]",0.0,0.0,0.0,True
t21,"S[0,2]",0.0,0.0,0.0,True
t21,"S[1,0]",-1.0,-1.0,0.0,True
t21,"S[1,1]",0.0,0.0,0.0,True
t21,"S[1,2]",-1.0,-1.0,0.0,True
t21,"S[2,0]",-1.0,-1.0,0.0,True
t21,"S[2,1]",0.0,0.0,0.0,True
t21,"S[2,2]",-1.0,-1.0,0.0,True
t22,"S[0,0]",0.0,0.0,0.0,True
t22,"S[0,1]",0.0,0.0,0.0,True
t22,"S[0,2]",0.0,0.0,0.0,True
t22,"S[1,0]",0.0,0.0,0.0,True
t22,"S[1,1]",0.0,0.0,0.0,True
t22,"S[1,2]",1.0,1.0,0.0,True
t22,"S[2,0]",0.0,0.0,0.0,True
t22,"S[2,1]",0.0,0.0,0.0,True
t22,"S[2,2]",0.0,0.0,0.0,True
t23,"S[0,0]",0.0,0.0,0.0,True
t23,"S[0,1]",0.0,0.0,0.0,True
t23,"S[0,2]",0.0,0.0,0.0,True
t23,"S[1,0]",0.0,0.0,0.0,True
t23,"S[1,1]",0.0,0.0,0.0,True
t23,"S[1,2]",0.0,0.0,0.0,True
t23,"S[2,0]",-1.0,-1.0,0.0,True
t23,"S[2,1]",0.0,0.0,0.0,True
t23,"S[2,2]",0.0,0.0,0.0,True
