term_id,coordinate,value,expected,abs_error,matches
t06,"E2[2,1]",0.0,0.0,0.0,True
t06,"E2[2,2]",0.0,0.0,0.0,True
t07,"E1[0,0]",1.0,1.0,0.0,True
t07,"E1[0,1]",0.0,0.0,0.0,True
t07,"E1[0,2]",0.0,0.0,0.0,True
t07,"E1[1,0]",0.0,0.0,0.0,True
t07,"E1[1,1]",0.0,0.0,0.0,True
t07,"E1[1,2]",0.0,0.0,0.0,True
t07,"E1[2,0]",0.0,0.0,0.0,True
t07,"E1[2,1]",1.0,1.0,0.0,True
t07,"E1[2,2]",-1.0,-1.0,0.0,True
t07,"E2[0,0]",-1.0,-1.0,0.0,True
t07,"E2[0,1]",0.0,0.0,0.0,True
t07,"E2[0,2]",0.0,0.0,0.0,True
t07,"E2[1,0]",0.0,0.0,0.0,True
t07,"E2[1,1]",0.0,0.0,0.0,True
t07,"E2[1,2]",0.0,0.0,0.0,True
t07,"E2[2,0]",0.0,0.0,0.0,True
t07,"E2[2,1]",0.0,0.0,0.0,True
t07,"E2[2,2]",0.0,0.0,0.0,True
t08,"E1[0,0]",0.0,0.0,0.0,True
t08,"E1[0,1]",-1.0,-1.0,0.0,True
t08,"E1[0,2]",1.0,1.0,0.0,True
t08,"E1[1,0]",0.0,0.0,0.0,True
t08,"E1[1,1]",0.0,0.0,0.0,True
t08,"E1[1,2]",0.0,0.0,0.0,True
t08,"E1[2,0]",0.0,0.0,0.0,True
t08,"E1[2,1]",0.0,0.0,0.0,True
t08,"E1[2,2]",0.0,0.0,0.0,True
t08,"E2[0,0]",0.0,0.0,0.0,True
t08,"E2[0,1]",0.0,0.0,0.0,True
t08,"E2[0,2]",0.0,0.0,0.0,True
t08,"E2[1,0]",0.0,0.0,0.0,True
t08,"E2[1,1]",0.0,0.0,0.0,True
t08,"E2[1,2]",0.0,0.0,0.0,True
t08,"E2[2,0]",0.0,0.0,0.0,True
t08,"E2[2,1]",0.0,0.0,0.0,True
t08,"E2[2,2]",0.0,0.0,0.0,True
t09,"E1[0,0]",1.0,1.0,0.0,True
t09,"E1[0,1]",1.0,1.0,0.0,True
t09,"E1[0,2]",-1.0,-1.0,0.0,True
t09,"E1[1,0]",0.0,0.0,0.0,True
t09,"E1[1,1]",0.0,0.0,0.0,True
t09,"E1[1,2]",0.0,0.0,0.0,True
t09,"E1[2,0]",1.0,1.0,0.0,True
t09,"E1[2,1]",1.0,1.0,0.0,True
t09,"E1[2,2]",-1.0,-1.0,0.0,True
t09,"E2[0,0]",0.0,0.0,0.0,True
t09,"E2[0,1]",0.0,0.0,0.0,True
t09,"E2[0,2]",0.0,0.0,0.0,True
t09,"E2[1,0]",0.0,0.0,0.0,True
t09,"E2[1,1]",0.0,0.0,0.0,True
t09,"E2[1,2]",0.0,0.0,0.0,True
t09,"E2[2,0]",0.0,0.0,0.0,True
t09,"E2[2,1]",0.0,0.0,0.0,True
t09,"E2[2,2]",0.0,0.0,0.0,True
t10,"E1[0,0]",0.0,0.0,0.0,True
t10,"E1[0,1]",0.0,0.0,0.0,True
t10,"E1[0,2]",0.0,0.0,0.0,True
t10,"E1[1,0]",0.0,0.0,0.0,True
t10,"E1[1,1]",0.0,0.0,0.0,True
t10,"E1[1,2]",0.0,0.0,0.0,True
t10,"E1[2,0]",0.0,0.0,0.0,True
t10,"E1[2,1]",0.0,0.0,0.0,True
t10,"E1[2,2]",0.0,0.0,0.0,True
t10,"E2[0,0]",0.0,0.0,0.0,True
t10,"E2[0,1]",-1.0,-1.0,0.0,True
t10,"E2[0,2]",1.0,1.0,0.0,True
t10,"E2[1,0]",0.0,0.0,0.0,True
t10,"E2[1,1]",0.0,0.0,0.0,True
t10,"E2[1,2]",0.0,0.0,0.0,True
