term_id,fiber,eta1,eta2,xi_plus,xi_minus,xi_plus_formula_holds,xi_minus_formula_holds,conjugacy_holds
t11,"(0,2)",-1,1,-1/2 + sqrt(3)*I/2,-1/2 - sqrt(3)*I/2,True,True,True
t11,"(1,0)",0,0,0,0,True,True,True
t11,"(1,1)",0,0,0,0,True,True,True
t11,"(1,2)",0,0,0,0,True,True,True
t11,"(2,0)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t11,"(2,1)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t11,"(2,2)",-1,1,-1/2 + sqrt(3)*I/2,-1/2 - sqrt(3)*I/2,True,True,True
t12,"(0,0)",0,1,1/2 + sqrt(3)*I/2,1/2 - sqrt(3)*I/2,True,True,True
t12,"(0,1)",0,0,0,0,True,True,True
t12,"(0,2)",0,0,0,0,True,True,True
t12,"(1,0)",0,0,0,0,True,True,True
t12,"(1,1)",0,0,0,0,True,True,True
t12,"(1,2)",0,0,0,0,True,True,True
t12,"(2,0)",0,1,1/2 + sqrt(3)*I/2,1/2 - sqrt(3)*I/2,True,True,True
t12,"(2,1)",0,0,0,0,True,True,True
t12,"(2,2)",0,0,0,0,True,True,True
t13,"(0,0)",0,0,0,0,True,True,True
t13,"(0,1)",0,0,0,0,True,True,True
t13,"(0,2)",0,0,0,0,True,True,True
t13,"(1,0)",0,0,0,0,True,True,True
t13,"(1,1)",0,0,0,0,True,True,True
t13,"(1,2)",0,0,0,0,True,True,True
t13,"(2,0)",1,0,1,1,True,True,True
t13,"(2,1)",0,0,0,0,True,True,True
t13,"(2,2)",0,0,0,0,True,True,True
t14,"(0,0)",0,0,0,0,True,True,True
t14,"(0,1)",0,0,0,0,True,True,True
t14,"(0,2)",0,0,0,0,True,True,True
t14,"(1,0)",1,-1,1/2 - sqrt(3)*I/2,1/2 + sqrt(3)*I/2,True,True,True
t14,"(1,1)",0,0,0,0,True,True,True
t14,"(1,2)",0,0,0,0,True,True,True
t14,"(2,0)",2,-1,3/2 - sqrt(3)*I/2,3/2 + sqrt(3)*I/2,True,True,True
t14,"(2,1)",0,0,0,0,True,True,True
t14,"(2,2)",1,0,1,1,True,True,True
t15,"(0,0)",0,0,0,0,True,True,True
t15,"(0,1)",0,0,0,0,True,True,True
