R,step52_max_nuisance_rank,claimed_even_eta_cap_if_theorem_held,alpha_tensor_observed_eta_rank_even,usable_as_theorem
23,14,14,True,False
22,13,12,True,False
21,12,12,True,False
20,11,10,True,False
19,10,10,True,False
