R,trial_index,a0,a1,a2,b0,b1,b2,rank_H_numeric,rank_HDelta_numeric,lift_span_rank_numeric,channel0_identity_max_abs,channel1_identity_max_abs,channel2_identity_max_abs,tensor_max_abs_residual,tensor_loss
23,1,0.983139475481816,0.794198223865426,-1.6864783060449715,-1.4045491979601097,0.47305301858819354,0.04850565094564035,9,9,1,0.8463135482494504,1.041814048913379,0.9908954897416283,1.041814048913379,25.911207782140117
23,2,-1.556150531197812,1.8454868361741799,-1.0335812377709606,0.9382957033860029,-0.9301703435127762,1.5080610632038889,9,9,1,0.7505624308879874,0.7067459807790495,0.7337227416908603,0.7505624308879875,19.719280380221075
23,3,0.20957175774434456,-1.1799425626041231,-1.3479626849463082,-0.9274949071967414,-1.102059556098848,-0.9534122614751189,9,9,1,1.0478824495778163,0.6796697133707932,0.6834147525431364,1.0478824495778163,21.698702239425707
23,4,-2.38215809021043,-0.5667699067739167,-1.186796642443605,0.36540942015977396,-1.2004891633191885,-0.27987516663216233,9,9,1,1.0101053978009455,0.9921010725974169,0.9961439401185945,1.0101053978009455,26.98515369465261
23,5,-0.3322113296044998,0.5619992780010806,0.001534090668204197,-1.8478116051686464,0.23606247402968536,0.5583784969815463,9,9,1,0.7153690632484038,0.9384861818551338,0.999602817883374,0.999602817883374,23.881122566882205
23,6,-0.9538563412921574,-0.6177340254768446,-1.456838726277708,0.31417227422486793,0.8449337175429362,0.6321539944072642,9,9,1,0.8738135375983459,0.7802210456591709,0.6122102710236786,0.8738135375983459,20.396203688530754
23,7,0.9906541074595828,1.8222955444524858,0.46224470074699286,0.30784929704526204,-0.4180363331867168,-1.2275782768669725,9,9,1,1.0389378735828756,0.9027376266138684,0.9275508731754759,1.0389378735828756,25.82303736034998
23,8,0.5364742830641858,0.16441976819516466,-0.5705158604603887,-1.5847880051734375,-0.28981936924309787,-1.1096191798622088,9,9,1,0.9081262285985319,0.994850644217333,1.0684089836632396,1.0684089836632396,26.742472708311936
23,9,0.08109240561944907,2.0579440363627497,0.17779612436009967,1.5553028094816967,0.14358286387278754,-1.579627710963515,9,9,1,0.9991581597903668,0.9980277103447251,1.0018746127164189,1.0018746127164189,26.991544345663595
23,10,0.4889614376781075,-0.31594414036421153,0.7312666841484023,-0.4916478063119588,2.071119414206164,0.5426403938669103,9,9,1,0.9716074483572272,0.9227157220093379,1.0468666181367705,1.0468666181367705,26.470708096530018
23,11,0.6264001097536699,-1.0307208750037973,0.7069703796288596,0.8113963929233162,0.7062177198758016,-0.17933444397606602,9,9,1,1.0757495815006761,0.8915136688794466,0.981104418185925,1.0757495815006761,26.535309017094427
23,12,-0.476608815882962,-0.8701147107662184,-0.06665343440067811,-0.5658347656631046,-1.062033546140364,-1.1078662405603426,9,9,1,0.8707654945647499,0.5571654141349397,0.9646135784595822,0.9646135784595822,21.532900384433443
23,13,-0.025594995870490606,0.9501027554348127,-0.2971058513111757,-0.06383316706821657,0.22929649345085693,-1.2445510551439238,9,9,1,0.9993953133908501,0.919369958024442,0.8631474741742211,0.9993953133908501,25.037214710305616
23,14,0.11794233111677838,1.354066870305327,0.441087850719274,-0.7878905698309282,0.9011577079762455,-0.7208761282066616,9,9,1,1.0188633470890236,0.7523011100663803,1.0645459334716867,1.0645459334716867,25.52139351564381
23,15,-0.39641893506170295,0.1488960212762923,2.163791627110364,1.5949802454508668,1.2438218196250541,0.46983010779756823,9,9,1,1.0171797914917655,0.9949678977916877,0.9723774054101112,1.0171797914917655,26.860725852242076
23,16,-0.04377956433199796,-0.8181740063550245,0.3873722838141036,-0.8013146666745277,0.42416004698974624,0.4785084263285308,9,9,1,1.0051445429039723,0.9491082128124008,1.0271825628094267,1.0271825628094267,26.832917866732195
23,17,-1.6464097871203995,0.12389477397697923,-0.41696442190243316,0.4780758509479149,0.9344997324058737,-0.7020574980119991,9,9,1,0.9355616687992607,1.0094785456916118,1.023965208988954,1.023965208988954,26.72104881131844
23,18,-0.19149509708204565,-0.22698717352689005,0.16727891218823193,0.030078337389403364,-1.488537103318575,-0.12272527969881981,9,9,1,1.0069221549343972,0.5939394379585552,1.024672039758058,1.024672039758058,23.62980269385909
23,19,-0.2507249607997269,-1.4769247140774093,-0.8963831038564498,-1.7469528174190538,2.3556933561284708,0.6201934027637872,9,9,1,1.0575318585018465,0.5430099219777198,0.926978548740921,1.0575318585018465,22.747682962984385
23,20,-0.5013597540782424,-1.0263822427983762,-0.6102969739752864,-0.39350645563503994,2.1677023928697885,-0.653835377219319,9,9,1,1.0362711626360712,0.5909570297898377,1.0733617661866137,1.0733617661866137,24.305309627512692
23,21,-0.8036680080260662,0.7654415751724069,-0.910364582919438,-0.5202962622516948,1.170335930607878,-0.9078412713757879,9,9,1,0.8237594131718894,0.6224268269860911,0.6516596214228267,0.8237594131718894,18.880612754227258
23,22,-0.18803418690928164,2.2992967942884457,0.14931933881966689,-0.37941222803879027,0.0697487966616012,0.8042689460479039,9,9,1,0.9940976810973571,0.986731974917897,0.9900644505504665,0.9940976810973571,26.738046959091484
23,23,-1.4959040923521638,0.6184993128969506,1.8419322251509016,-0.3086680591377679,-0.25585350059814166,0.38797505345621325,9,9,1,0.7488245625771517,1.0860819924683298,0.6112600508565191,1.0860819924683298,22.015499453117997
23,24,0.5155999905713238,-0.9374818118303107,-0.5417255508720566,0.2980831165464767,0.4979789775630127,0.33776004967128914,9,9,1,1.1175796021014583,0.6428459600149357,0.860018930645128,1.1175796021014583,23.584000434853696
23,25,0.714788038579216,1.344126927000616,-1.1296387307131301,-0.12618427494997753,-0.72191421995041,-0.43709284218334404,9,9,1,0.9804634211367195,0.7898197618668283,1.1069496260972058,1.1069496260972058,25.89509528190678
23,26,-0.4459568338608462,-1.1234407489656268,-1.1629303612247113,-0.16324233992699969,-1.027439428176739,-1.0036055725623532,9,9,1,0.9703510748937955,0.5299005766624191,0.5246646740815313,0.9703510748937955,18.224246930739696
23,27,-0.7708221087171069,-0.9795153031473574,1.558012052021539,-0.047696180272308486,-0.24048621137687662,-0.772958921026028,9,9,1,1.0130886074082723,1.0838604299135757,0.5712709562512427,1.0838604299135757,24.01397994215781
23,28,-0.4481465596364077,-0.9419950201756351,0.6174808366142139,-0.3146789592200161,-0.5205944483523642,1.0112902762605733,9,9,1,0.9134636263760804,0.6990744525261927,0.6168134689544716,0.9134636263760804,20.0641639307107
23,29,-0.37904428934789774,1.2984978384360026,-0.5663788985282916,-0.3404727354192015,0.42170585465518057,-0.7835472901571391,9,9,1,0.9259271026262329,0.6857046931480808,0.7452821900161837,0.9259271026262329,21.21222587211447
23,30,0.05481344227764852,1.315876719429034,0.5897631241633396,0.022794916968740406,0.9225082293014036,0.16992470181658015,9,9,1,0.9991035400482638,0.1290539496824299,0.9280981719375304,0.9991035400482638,18.506300955014012
23,31,0.6207147096145862,-0.14313835565437177,-0.539984844340387,1.112418121673909,0.8761451142598666,0.36624842288316506,9,9,1,0.8299865611661239,1.0308784311402248,1.0486945653212443,1.0486945653212443,26.186036018648338
23,32,-1.0421837129724592,0.7339396698931719,-0.784152137026027,0.3323235470234964,-0.4953012418660076,0.5661661096690643,9,9,1,0.7361786988441493,0.7230928048426464,0.6618194227716168,0.7361786988441493,19.08981833812571
23,33,-1.0454701354316969,-0.013116071276718832,-1.839734141532232,0.25096391297065607,0.06905683344178731,-1.1765496317724802,9,9,1,1.0767231063133036,1.0002648583673481,0.367051187180197,1.0767231063133036,21.996352366747633
23,34,0.10410374723641062,-0.1650910436619362,-0.44110470407089847,-0.2456075809038464,0.04288469764888778,1.6044305061558946,9,9,1,0.9691383157049541,0.9914545023337038,0.14577142592708248,0.9914545023337038,18.957278195691664
23,35,0.26988835411346235,-0.6016064499090923,-0.06687694180533645,0.8048057420762981,1.2630028134342703,0.7627237742935087,9,9,1,1.1039262601162239,0.6364477057468151,0.9755941590450347,1.1039262601162239,24.443713124172657
