rank_target,packet_file,completion_id,fiber_partition_str,rank_H,rank_H_target,gate1_pass,rank_N,delta_leak,gate2_pass,rank_sigma,rank_SN,augmented_gap,gate3_pass,eta_nullity,conservation,conservation_violation,sigma_innovation,sigma_condition_number,sigma_rank_gap,sigma_sv_min,sigma_sv_max,delta_rank,delta_in_H_span,delta_residual_frobenius,delta_residual_max,delta_leak_dims,n_channels_leaking,H_sv_1,H_sv_last,H_spectral_gap,SN_spectral_gap,SN_sv_min,Z_dim,omega_exists,omega_pd,omega_condition,omega_eig_min,omega_eig_max,gamma_lstsq_residual,gamma_max_entry_residual,tensor_reconstruction_error,tensor_reconstruction_rmse,n_zero_alpha_rows,n_zero_beta_cols,alpha_density,beta_density,n_hits_in_pool,basis_size
13,basis_0000_18a1b592de96.npz,0,"(10, 1, 1, 1, 0, 0, 0, 0, 0)",4,4,1,10,6,0,4,10,3,0,14,27,0,0,inf,5,0.0,3.75165271979635,9,0,6.0,1.0,6,6,15.085150186396456,0.46311709149581387,0.46311709149581387,0.0,0.0,-1,0,0,nan,nan,nan,8.509801669503421,2.962959230244905,1.037040769755095,0.19164873094218593,2,1,0.49572649572649574,0.5299145299145299,219337,4
13,basis_0000_18a1b592de96.npz,1,"(8, 2, 1, 1, 1, 0, 0, 0, 0)",4,4,1,11,7,0,5,11,2,0,14,27,0,0,inf,4,3.491440597127669e-51,5.192744773976666,10,0,8.675985665774654,1.1818181818181817,7,6,15.11287612822284,0.6631022328375051,0.6631022328375049,0.0,2.52923051191257e-17,-1,0,0,nan,nan,nan,8.25008257709497,2.93405034857249,1.0171185883059555,0.19073518295844608,2,0,0.48717948717948717,0.6752136752136753,219337,4
13,basis_0000_18a1b592de96.npz,2,"(9, 2, 1, 1, 0, 0, 0, 0, 0)",4,4,1,10,6,0,4,10,3,0,14,27,0,0,inf,5,9.745568923008336e-51,5.12832540616373,9,0,7.062904174956318,1.0769230769230766,6,6,15.623838375195552,1.1200904526314996,1.120090452631499,0.0,1.528398864287187e-34,-1,0,0,nan,nan,nan,8.306317050161136,2.8446872307271063,1.0013599016533417,0.1911006935854129,2,1,0.5042735042735043,0.6153846153846154,219337,4
13,basis_0000_18a1b592de96.npz,3,"(9, 2, 1, 1, 0, 0, 0, 0, 0)",4,4,1,11,7,0,4,11,2,0,14,27,0,0,inf,5,7.878108725466035e-50,5.8374418003522,10,0,9.13151769338566,1.346153846153846,7,6,16.227822110269717,0.8714655260215847,0.8714655260215842,0.0,0.0,-1,0,0,nan,nan,nan,8.268079835991683,2.8211918507580287,0.993204443078163,0.1899923553190073,1,1,0.5384615384615384,0.6153846153846154,219337,4
13,basis_0000_18a1b592de96.npz,4,"(9, 2, 1, 1, 0, 0, 0, 0, 0)",4,4,1,11,7,0,4,11,2,0,14,27,0,0,inf,5,6.5410339313286365e-34,5.018461558418699,10,0,7.609109719582027,1.304347826086957,7,6,15.678970670384047,0.8701207564843317,0.8701207564843314,0.0,1.5843703809010332e-16,-1,0,0,nan,nan,nan,8.230042423207507,2.819096776615362,0.9945845048993334,0.1892271177561956,1,1,0.49572649572649574,0.6068376068376068,219337,4
13,basis_0000_18a1b592de96.npz,5,"(8, 2, 1, 1, 1, 0, 0, 0, 0)",4,4,1,12,8,0,5,12,1,0,14,27,0,0,inf,4,0.0,6.0,11,0,10.457055034760025,1.0,8,6,15.230757908428203,0.7401613542757651,0.7401613542757645,0.0,4.033344213997983e-17,-1,0,0,nan,nan,nan,7.975622992014198,2.9045687574047028,1.0175215914084712,0.19004856103659296,0,1,0.6923076923076923,0.5982905982905983,219337,4
13,basis_0000_18a1b592de96.npz,6,"(9, 2, 1, 1, 0, 0, 0, 0, 0)",4,4,1,10,6,0,4,10,3,0,14,27,0,0,inf,5,0.0,5.6504245402642495,9,0,9.26612708261176,1.3888888888888904,6,6,15.394326273297876,1.0253855444108075,1.0253855444108073,0.0,0.0,-1,0,0,nan,nan,nan,8.365635071283643,2.8821631073314453,1.010606549721773,0.19103789421441314,1,2,0.5811965811965812,0.5555555555555556,219337,4
13,basis_0000_18a1b592de96.npz,7,"(10, 1, 1, 1, 0, 0, 0, 0, 0)",4,4,1,10,6,0,4,10,3,0,14,27,0,0,inf,5,0.0,3.764871623634902,9,0,7.187952884282608,1.0,6,6,15.087055269438888,1.1973419730054087,1.1973419730054085,0.0,8.708826202023514e-31,-1,0,0,nan,nan,nan,8.488348685862496,2.964282229005422,1.035717770994578,0.19153211044480772,1,2,0.5897435897435898,0.46153846153846156,219337,4
13,basis_0000_18a1b592de96.npz,8,"(7, 3, 1, 1, 1, 0, 0, 0, 0)",4,4,1,10,6,0,5,10,3,0,14,27,0,0,inf,4,1.067982259705851e-47,6.1369832587285496,9,0,7.665091205485151,1.1739130434782608,6,6,15.620953854079923,1.332265440129864,1.3322654401298633,0.0,2.4060403853591085e-34,-1,0,0,nan,nan,nan,7.840894329227864,2.751766515327065,0.9951091958089837,0.18620354261940844,1,2,0.6153846153846154,0.5384615384615384,219337,4
13,basis_0000_18a1b592de96.npz,9,"(8, 3, 1, 1, 0, 0, 0, 0, 0)",4,4,1,12,8,0,4,12,1,0,14,27,0,0,inf,5,0.0,5.613600618382749,11,0,9.033271832508971,1.3478260869565224,8,6,16.266368556028986,1.2023275679341638,1.2023275679341632,0.0,0.0,-1,0,0,nan,nan,nan,8.189676836716227,2.7565098132266312,0.9858290231685036,0.18807348733986182,1,0,0.5726495726495726,0.5726495726495726,219337,4
