,rank_H,delta_leak,rank_sigma,rank_SN,augmented_gap,sigma_innovation,delta_residual_frobenius,gamma_lstsq_residual,tensor_reconstruction_error,H_spectral_gap,alpha_density,beta_density
rank_H,,,,,,,,,,,,
delta_leak,,1.0000,,1.0000,-1.0000,,0.6802,-0.1595,-0.0240,-0.0079,0.0141,0.0232
rank_sigma,,,,,,,,,,,,
rank_SN,,1.0000,,1.0000,-1.0000,,0.6802,-0.1595,-0.0240,-0.0079,0.0141,0.0232
augmented_gap,,-1.0000,,-1.0000,1.0000,,-0.6802,0.1595,0.0240,0.0079,-0.0141,-0.0232
sigma_innovation,,,,,,,,,,,,
delta_residual_frobenius,,0.6802,,0.6802,-0.6802,,1.0000,-0.3307,-0.1215,0.0005,0.2261,0.2158
gamma_lstsq_residual,,-0.1595,,-0.1595,0.1595,,-0.3307,1.0000,0.3372,0.0747,-0.0851,-0.0873
tensor_reconstruction_error,,-0.0240,,-0.0240,0.0240,,-0.1215,0.3372,1.0000,0.0252,-0.0777,-0.0812
H_spectral_gap,,-0.0079,,-0.0079,0.0079,,0.0005,0.0747,0.0252,1.0000,0.1037,0.1600
alpha_density,,0.0141,,0.0141,-0.0141,,0.2261,-0.0851,-0.0777,0.1037,1.0000,-0.4590
beta_density,,0.0232,,0.0232,-0.0232,,0.2158,-0.0873,-0.0812,0.1600,-0.4590,1.0000
